"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"1","Jahmyr Gibbs","RB","DET","6","-","-","347.6","15","23.17","1","0","0","0","0","0","272.0","1352.9","13.5","78.8","65.4","478.9","3.2","-","-","-","-","-"
"2","Bijan Robinson","RB","ATL","11","-","-","338.0","15","22.53","1","0","0","0","0","0","292.8","1370.0","9.7","82.4","67.3","587.4","3.1","-","-","-","-","-"
"3","Josh Allen","QB","BUF","7","-","-","335.9","15","22.39","1","466","311","3585","24.6","11","106.1","522.8","9.2","-","-","-","-","-","-","-","-","-"
"4","Puka Nacua","WR","LA","11","-","-","313.6","15","20.91","1","0","0","0","0","0","11.9","73.8","0.5","149.2","108.7","1455.9","8.2","-","-","-","-","-"
"5","Lamar Jackson","QB","BLT","13","-","-","312.2","15","20.81","2","434","283","3528","24.0","9","121.1","668.3","3.5","-","-","-","-","-","-","-","-","-"
"6","Jonathan Taylor","RB","IND","13","-","-","309.1","15","20.61","2","0","0","0","0","0","289.8","1371.8","13.7","55.8","46.0","346.5","1.8","-","-","-","-","-"
"7","Jalen Hurts","QB","PHI","10","-","-","303.4","15","20.22","2","458","301","3354","21.7","7","108.9","502.1","7.1","-","-","-","-","-","-","-","-","-"
"8","Drake Maye","QB","NE","11","-","-","303.1","15","20.21","2","458","309","3728","25.3","10","93.6","478.9","3.2","-","-","-","-","-","-","-","-","-"
"9","Jayden Daniels","QB","WAS","7","-","-","299.4","15","19.96","2","435","282","3087","19.4","8","131.7","807.2","4.8","-","-","-","-","-","-","-","-","-"
"10","Christian McCaffrey","RB","SF","8","-","-","298.8","14.5","20.61","2","0","0","0","0","0","247.4","980.9","8.4","79.7","66.2","563.6","4.8","-","-","-","-","-"
"11","Joe Burrow","QB","CIN","6","-","-","295.7","15","19.71","3","543","368","3971","31.0","11","40.3","173.2","1.5","-","-","-","-","-","-","-","-","-"
"12","Dak Prescott","QB","DAL","14","-","-","295.5","15","19.70","3","536","360","4058","29.3","12","49.5","187.8","1.9","-","-","-","-","-","-","-","-","-"
"13","Trevor Lawrence","QB","JAX","7","-","-","292.1","15","19.47","3","501","319","3758","24.9","12","66.5","295.7","4.5","-","-","-","-","-","-","-","-","-"
"14","De'Von Achane","RB","MIA","6","-","-","287.5","15","19.17","3","0","0","0","0","0","243.1","1256.6","7.4","71.3","60.0","419.1","2.8","-","-","-","-","-"
"15","Ja'Marr Chase","WR","CIN","6","-","-","285.1","15","19.01","2","0","0","0","0","0","3.1","18.5","0.0","145.7","102.2","1269.7","9.1","-","-","-","-","-"
"16","Justin Herbert","QB","LAC","7","-","-","280.6","15","18.71","4","514","340","3783","25.2","10","62.4","306.2","1.8","-","-","-","-","-","-","-","-","-"
"17","Brock Purdy","QB","SF","8","-","-","277.2","15","18.48","4","471","314","3677","27.1","14","56.9","253.5","2.2","-","-","-","-","-","-","-","-","-"
"18","Jaxon Smith-Njigba","WR","SEA","11","-","-","275.3","15","18.35","2","0","0","0","0","0","2.8","14.7","0.0","131.2","91.7","1298.8","8.8","-","-","-","-","-"
"19","Caleb Williams","QB","CHI","10","-","-","272.9","15","18.19","4","506","308","3623","23.7","10","65.3","335.9","2.0","-","-","-","-","-","-","-","-","-"
"20","Saquon Barkley","RB","PHI","10","-","-","272.8","15","18.19","3","0","0","0","0","0","295.7","1323.5","10.1","51.5","40.7","291.7","1.8","-","-","-","-","-"
"21","Jaxson Dart","QB","NYG","8","-","-","272.4","14.5","18.79","4","428","274","3015","18.7","9","100.3","559.3","5.6","-","-","-","-","-","-","-","-","-"
"22","Matthew Stafford","QB","LA","11","-","-","271.6","15","18.10","4","522","340","4015","29.5","10","25.2","23.3","0.4","-","-","-","-","-","-","-","-","-"
"23","Bo Nix","QB","DEN","10","-","-","269.6","15","17.98","4","533","343","3584","23.8","11","69.5","296.5","2.3","-","-","-","-","-","-","-","-","-"
"24","James Cook","RB","BUF","7","-","-","268.0","15","17.87","4","0","0","0","0","0","277.0","1367.4","10.5","39.8","32.4","278.1","1.6","-","-","-","-","-"
"25","Amon-Ra St. Brown","WR","DET","6","-","-","267.1","15","17.81","3","0","0","0","0","0","3.3","18.8","0.1","137.9","94.8","1210.7","8.2","-","-","-","-","-"
"26","Ashton Jeanty","RB","LV","13","-","-","265.1","15","17.67","4","0","0","0","0","0","251.5","1040.0","8.0","72.6","58.7","389.6","2.7","-","-","-","-","-"
"27","Tyler Shough","QB","NO","8","-","-","263.5","15","17.57","5","523","348","3695","20.8","10","63.8","285.3","2.9","-","-","-","-","-","-","-","-","-"
"28","Malik Willis","QB","MIA","6","-","-","263.5","15","17.56","5","408","276","2872","16.9","11","116.2","711.9","4.0","-","-","-","-","-","-","-","-","-"
"29","Jared Goff","QB","DET","6","-","-","262.4","15","17.49","5","513","346","3958","27.1","8","21.2","43.9","0.3","-","-","-","-","-","-","-","-","-"
"30","Kyler Murray","QB","MIN","6","-","-","259.6","14","18.54","5","463","310","3252","20.9","9","71.4","414.6","2.7","-","-","-","-","-","-","-","-","-"
"31","Jordan Love","QB","GB","11","-","-","255.3","15","17.02","5","470","303","3546","24.7","8","41.6","181.1","1.2","-","-","-","-","-","-","-","-","-"
"32","Patrick Mahomes","QB","KC","5","-","-","255.0","14.5","17.59","5","486","317","3503","23.2","11","50.9","295.9","0.9","-","-","-","-","-","-","-","-","-"
"33","CeeDee Lamb","WR","DAL","14","-","-","252.3","15","16.82","3","0","0","0","0","0","2.2","12.9","0.1","132.0","88.3","1179.1","7.5","-","-","-","-","-"
"34","Justin Jefferson","WR","MIN","6","-","-","251.7","15","16.78","4","0","0","0","0","0","2.2","10.2","0.1","134.2","89.2","1160.5","7.6","-","-","-","-","-"
"35","Baker Mayfield","QB","TB","10","-","-","251.4","15","16.76","5","489","308","3451","23.9","12","53.0","255.4","1.1","-","-","-","-","-","-","-","-","-"
"36","Sam Darnold","QB","SEA","11","-","-","247.2","15","16.48","6","470","307","3732","23.3","12","40.8","140.0","0.8","-","-","-","-","-","-","-","-","-"
"37","C.J. Stroud","QB","HST","8","-","-","245.0","15","16.33","6","493","315","3517","22.1","12","48.5","216.7","1.5","-","-","-","-","-","-","-","-","-"
"38","Derrick Henry","RB","BLT","13","-","-","243.9","15","16.26","5","0","0","0","0","0","275.6","1364.2","12.4","19.5","15.9","158.2","0.4","-","-","-","-","-"
"39","Kenneth Walker III","RB","KC","5","-","-","239.2","15","15.95","5","0","0","0","0","0","238.7","1065.4","9.3","45.9","38.3","305.0","1.4","-","-","-","-","-"
"40","Chase Brown","RB","CIN","6","-","-","239.0","15","15.93","5","0","0","0","0","0","205.9","892.4","6.6","66.0","55.5","386.5","2.8","-","-","-","-","-"
"41","Omarion Hampton","RB","LAC","7","-","-","235.2","15","15.68","5","0","0","0","0","0","230.6","1014.9","7.8","55.3","45.9","315.0","1.8","-","-","-","-","-"
"42","Breece Hall","RB","NYJ","13","-","-","232.6","15","15.50","5","0","0","0","0","0","242.2","1071.6","5.8","53.0","45.4","353.6","1.9","-","-","-","-","-"
"43","Drake London","WR","ATL","11","-","-","232.2","15","15.48","5","0","0","0","0","0","-","-","-","133.6","86.4","1055.2","6.8","-","-","-","-","-"
"44","Josh Jacobs","RB","GB","11","-","-","231.7","14","16.55","5","0","0","0","0","0","251.0","1054.8","11.0","40.2","33.5","222.2","1.0","-","-","-","-","-"
"45","Jacoby Brissett","QB","ARZ","14","-","-","230.3","14","16.45","7","469","303","3284","20.6","8","42.0","188.3","1.5","-","-","-","-","-","-","-","-","-"
"46","Jeremiyah Love","RB","ARZ","14","-","-","229.1","15","15.27","5","0","0","0","0","0","220.6","1002.1","7.6","54.7","45.0","308.1","1.8","-","-","-","-","-"
"47","Rashee Rice","WR","KC","5","-","-","227.8","14.5","15.71","5","0","0","0","0","0","5.9","29.1","0.3","114.3","82.1","1009.4","6.9","-","-","-","-","-"
"48","Geno Smith","QB","NYJ","13","-","-","224.7","15","14.98","7","479","317","3370","21.1","14","48.9","171.6","1.0","-","-","-","-","-","-","-","-","-"
"49","Javonte Williams","RB","DAL","14","-","-","223.8","15","14.92","6","0","0","0","0","0","249.6","1097.9","8.7","43.6","36.1","177.2","1.5","-","-","-","-","-"
"50","Chris Olave","WR","NO","8","-","-","220.9","15","14.73","5","0","0","0","0","0","1.3","6.5","0.0","127.5","83.5","1034.1","5.6","-","-","-","-","-"
"51","Cam Ward","QB","TEN","9","-","-","220.9","15","14.72","7","504","316","3277","19.7","10","41.9","176.6","1.2","-","-","-","-","-","-","-","-","-"
"52","Travis Etienne","RB","NO","8","-","-","219.4","15","14.63","6","0","0","0","0","0","220.2","948.6","7.0","48.5","41.2","317.2","1.8","-","-","-","-","-"
"53","Cam Skattebo","RB","NYG","8","-","-","218.3","15","14.55","6","0","0","0","0","0","221.8","926.7","8.0","50.6","41.7","272.9","1.7","-","-","-","-","-"
"54","Nico Collins","WR","HST","8","-","-","218.1","15","14.54","5","0","0","0","0","0","0.7","4.0","0.0","116.9","74.6","1059.5","6.2","-","-","-","-","-"
"55","Kyren Williams","RB","LA","11","-","-","217.7","15","14.51","6","0","0","0","0","0","226.9","1043.2","8.9","38.3","30.6","218.2","1.4","-","-","-","-","-"
"56","David Montgomery","RB","HST","8","-","-","217.7","15","14.51","6","0","0","0","0","0","263.2","1115.0","8.6","36.7","29.9","218.0","0.7","-","-","-","-","-"
"57","Tee Higgins","WR","CIN","6","-","-","217.2","15","14.48","5","0","0","0","0","0","-","-","-","107.4","69.9","974.2","8.4","-","-","-","-","-"
"58","George Pickens","WR","DAL","14","-","-","217.2","14.5","14.98","5","0","0","0","0","0","1.7","9.2","0.1","111.9","74.6","1023.8","6.6","-","-","-","-","-"
"59","Garrett Wilson","WR","NYJ","13","-","-","217.1","15","14.47","6","0","0","0","0","0","2.4","9.7","0.0","125.7","82.9","966.1","6.2","-","-","-","-","-"
"60","A.J. Brown","WR","NE","11","-","-","216.4","15","14.43","6","0","0","0","0","0","2.5","13.1","0.1","106.8","70.1","1058.9","6.5","-","-","-","-","-"
"61","Brock Bowers","TE","LV","13","-","-","214.5","15","14.30","1","0","0","0","0","0","3.6","8.5","0.0","113.1","85.6","916.1","6.1","-","-","-","-","-"
"62","Aaron Rodgers","QB","PIT","9","-","-","212.3","15","14.15","8","479","313","3136","21.8","8","19.0","68.9","0.4","-","-","-","-","-","-","-","-","-"
"63","DeVonta Smith","WR","PHI","10","-","-","212.0","15","14.13","6","0","0","0","0","0","-","-","-","118.2","79.3","961.6","6.1","-","-","-","-","-"
"64","Bryce Young","QB","CAR","5","-","-","211.6","15","14.10","8","462","293","2984","18.9","10","46.0","223.9","1.1","-","-","-","-","-","-","-","-","-"
"65","Zay Flowers","WR","BLT","13","-","-","211.4","15","14.10","6","0","0","0","0","0","5.6","33.2","0.1","105.7","71.4","1030.0","5.6","-","-","-","-","-"
"66","Bucky Irving","RB","TB","10","-","-","207.1","14.5","14.28","7","0","0","0","0","0","218.1","908.4","6.4","42.2","35.4","321.1","1.9","-","-","-","-","-"
"67","Bhayshul Tuten","RB","JAX","7","-","-","206.4","15","13.76","7","0","0","0","0","0","235.8","985.5","8.9","34.4","27.3","203.3","1.4","-","-","-","-","-"
"68","Quinshon Judkins","RB","CLV","11","-","-","206.1","15","13.74","7","0","0","0","0","0","271.1","1010.5","7.5","38.3","30.3","239.2","1.1","-","-","-","-","-"
"69","Daniel Jones","QB","IND","13","-","-","206.0","12","17.17","8","402","266","2883","17.8","9","42.8","162.2","2.3","-","-","-","-","-","-","-","-","-"
"70","Davante Adams","WR","LA","11","-","-","205.9","15","13.73","6","0","0","0","0","0","-","-","-","117.3","69.6","874.4","8.2","-","-","-","-","-"
"71","D'Andre Swift","RB","CHI","10","-","-","202.9","15","13.53","7","0","0","0","0","0","206.4","956.4","7.0","39.7","31.8","261.1","1.4","-","-","-","-","-"
"72","Trey McBride","TE","ARZ","14","-","-","201.7","15","13.45","1","0","0","0","0","0","-","-","-","118.7","90.8","775.8","5.6","-","-","-","-","-"
"73","Rhamondre Stevenson","RB","NE","11","-","-","201.1","15","13.40","7","0","0","0","0","0","182.6","791.7","6.5","45.9","38.8","332.7","2.1","-","-","-","-","-"
"74","Ladd McConkey","WR","LAC","7","-","-","198.2","15","13.22","7","0","0","0","0","0","-","-","-","106.8","70.0","947.7","5.7","-","-","-","-","-"
"75","Terry McLaurin","WR","WAS","7","-","-","197.7","15","13.18","7","0","0","0","0","0","-","-","-","102.7","65.9","958.6","6.0","-","-","-","-","-"
"76","Jameson Williams","WR","DET","6","-","-","195.4","15","13.03","7","0","0","0","0","0","6.0","32.4","0.2","88.6","57.2","974.3","6.1","-","-","-","-","-"
"77","Mike Evans","WR","SF","8","-","-","194.7","15","12.98","7","0","0","0","0","0","-","-","-","98.5","62.1","863.3","7.7","-","-","-","-","-"
"78","Tony Pollard","RB","TEN","9","-","-","193.9","15","12.93","7","0","0","0","0","0","220.4","965.7","6.1","42.9","34.9","210.9","1.0","-","-","-","-","-"
"79","Emeka Egbuka","WR","TB","10","-","-","193.2","15","12.88","7","0","0","0","0","0","1.8","10.1","0.0","113.8","65.7","882.9","6.4","-","-","-","-","-"
"80","Tyler Warren","TE","IND","13","-","-","192.8","15","12.86","2","0","0","0","0","0","4.7","8.8","0.7","105.3","77.7","798.3","5.1","-","-","-","-","-"
"81","Chuba Hubbard","RB","CAR","5","-","-","192.4","15","12.83","7","0","0","0","0","0","225.9","864.3","6.7","44.6","37.4","215.7","1.3","-","-","-","-","-"
"82","Jaylen Waddle","WR","DEN","10","-","-","187.8","15","12.52","7","0","0","0","0","0","1.7","10.2","0.0","104.8","65.9","888.0","5.4","-","-","-","-","-"
"83","Jakobi Meyers","WR","JAX","7","-","-","186.2","15","12.42","7","0","0","0","0","0","3.5","17.5","0.1","103.3","69.8","841.7","5.0","-","-","-","-","-"
"84","Colston Loveland","TE","CHI","10","-","-","186.0","15","12.40","2","0","0","0","0","0","0.8","3.9","0.0","104.2","73.1","796.2","5.5","-","-","-","-","-"
"85","Christian Watson","WR","GB","11","-","-","185.5","14","13.25","7","0","0","0","0","0","1.6","8.9","0.1","92.6","57.1","894.8","6.3","-","-","-","-","-"
"86","Parker Washington","WR","JAX","7","-","-","185.2","15","12.34","7","0","0","0","0","0","5.6","28.7","0.2","100.2","63.4","850.4","5.6","-","-","-","-","-"
"87","Tetairoa McMillan","WR","CAR","5","-","-","185.0","15","12.34","7","0","0","0","0","0","-","-","-","105.5","66.4","858.6","5.5","-","-","-","-","-"
"88","Brian Thomas Jr.","WR","JAX","7","-","-","184.5","15","12.30","7","0","0","0","0","0","2.5","15.8","0.2","101.6","63.0","855.3","5.5","-","-","-","-","-"
"89","Jaylen Warren","RB","PIT","9","-","-","184.4","15","12.29","8","0","0","0","0","0","168.8","767.9","5.1","46.1","40.0","287.9","1.5","-","-","-","-","-"
"90","DJ Moore","WR","BUF","7","-","-","184.1","15","12.27","7","0","0","0","0","0","8.2","48.3","0.2","104.8","67.9","776.6","5.5","-","-","-","-","-"
"91","Rome Odunze","WR","CHI","10","-","-","181.7","15","12.11","8","0","0","0","0","0","-","-","-","109.1","62.0","840.7","6.0","-","-","-","-","-"
"92","DK Metcalf","WR","PIT","9","-","-","180.4","15","12.03","8","0","0","0","0","0","1.3","7.8","0.0","104.1","64.7","809.4","5.7","-","-","-","-","-"
"93","Michael Pittman","WR","PIT","9","-","-","180.1","15","12.01","8","0","0","0","0","0","-","-","-","116.6","78.0","723.5","5.0","-","-","-","-","-"
"94","Courtland Sutton","WR","DEN","10","-","-","176.1","15","11.74","8","0","0","0","0","0","-","-","-","98.2","61.5","798.5","5.9","-","-","-","-","-"
"95","Luther Burden III","WR","CHI","10","-","-","174.6","15","11.64","8","0","0","0","0","0","6.7","35.3","0.0","94.3","63.2","806.7","4.6","-","-","-","-","-"
"96","Jayden Reed","WR","GB","11","-","-","173.1","15","11.54","8","0","0","0","0","0","11.8","76.7","0.4","83.3","57.4","762.3","4.9","-","-","-","-","-"
"97","TreVeyon Henderson","RB","NE","11","-","-","172.6","15","11.51","8","0","0","0","0","0","173.3","785.6","5.9","34.2","29.2","231.9","1.1","-","-","-","-","-"
"98","Travis Kelce","TE","KC","5","-","-","170.8","15","11.39","3","0","0","0","0","0","-","-","-","93.2","69.5","705.2","5.2","-","-","-","-","-"
"99","Rico Dowdle","RB","PIT","9","-","-","170.1","15","11.34","8","0","0","0","0","0","176.7","785.1","5.2","38.7","32.4","218.2","1.1","-","-","-","-","-"
"100","Carnell Tate","WR","TEN","9","-","-","169.5","15","11.30","8","0","0","0","0","0","-","-","-","105.8","68.2","730.8","4.8","-","-","-","-","-"
"101","Kenny Gainwell","RB","TB","10","-","-","168.1","15","11.20","9","0","0","0","0","0","138.4","589.2","4.1","52.0","42.6","318.8","1.9","-","-","-","-","-"
"102","Aaron Jones","RB","MIN","6","-","-","167.0","14","11.93","9","0","0","0","0","0","163.1","676.2","3.3","50.8","42.4","285.7","1.6","-","-","-","-","-"
"103","Deshaun Watson","QB","CLV","11","-","-","166.4","12","13.86","9","391","242","2407","14.4","11","42.4","211.2","0.7","-","-","-","-","-","-","-","-","-"
"104","Jordyn Tyson","WR","NO","8","-","-","165.4","14.5","11.40","9","0","0","0","0","0","-","-","-","101.5","66.4","748.2","4.2","-","-","-","-","-"
"105","Wan'Dale Robinson","WR","TEN","9","-","-","164.8","15","10.99","9","0","0","0","0","0","2.7","14.2","0.0","100.4","67.3","738.8","3.7","-","-","-","-","-"
"106","Kyle Pitts","TE","ATL","11","-","-","164.6","15","10.98","3","0","0","0","0","0","-","-","-","93.9","65.4","749.6","4.1","-","-","-","-","-"
"107","Alec Pierce","WR","IND","13","-","-","163.9","14","11.71","9","0","0","0","0","0","-","-","-","95.0","54.8","813.3","4.7","-","-","-","-","-"
"108","Sam LaPorta","TE","DET","6","-","-","163.6","14","11.68","3","0","0","0","0","0","-","-","-","81.3","63.2","697.4","5.1","-","-","-","-","-"
"109","Jordan Addison","WR","MIN","6","-","-","163.6","15","10.91","9","0","0","0","0","0","2.5","16.7","0.1","90.0","57.4","757.5","4.8","-","-","-","-","-"
"110","Josh Downs","WR","IND","13","-","-","160.2","15","10.68","9","0","0","0","0","0","1.4","7.0","0.0","94.0","64.5","702.6","4.2","-","-","-","-","-"
"111","Jadarian Price","RB","SEA","11","-","-","159.3","15","10.62","9","0","0","0","0","0","211.4","917.7","6.2","21.4","17.8","118.2","0.5","-","-","-","-","-"
