"#","ID","NAME","POS","TEAM","OVERALL","POSITION","ADP"
"1","1214154","Jahmyr Gibbs","RB","DET","1","RB1","1.2"
"2","1228244","Bijan Robinson","RB","ATL","2","RB2","2.1"
"3","1162128","Puka Nacua","WR","LA","3","WR1","4.0"
"4","1109979","Ja'Marr Chase","WR","CIN","4","WR2","3.1"
"5","830517","Christian McCaffrey","RB","SF","5","RB3","6.1"
"6","1214087","Jaxon Smith-Njigba","WR","SEA","6","WR3","5.5"
"7","1065406","Jonathan Taylor","RB","IND","7","RB4","8.5"
"8","1127106","Amon-Ra St. Brown","WR","DET","8","WR4","7.1"
"9","1069535","Justin Jefferson","WR","MIN","9","WR5","9.1"
"10","1062020","CeeDee Lamb","WR","DAL","10","WR6","10.5"
"11","1131012","James Cook","RB","BUF","11","RB5","10.9"
"12","1379646","Ashton Jeanty","RB","LV","12","RB6","12.3"
"13","883302","Saquon Barkley","RB","PHI","13","RB7","13.2"
"14","1231820","De'Von Achane","RB","MIA","14","RB8","19.2"
"15","1164402","Kenneth Walker III","RB","KC","15","RB9","15.7"
"16","1398572","Omarion Hampton","RB","LAC","16","RB10","14.8"
"17","1123379","Chase Brown","RB","CIN","17","RB11","17.0"
"18","1178741","Drake London","WR","ATL","18","WR7","19.2"
"19","944826","A.J. Brown","WR","NE","19","WR8","15.9"
"20","732145","Derrick Henry","RB","BLT","20","RB12","19.5"
"21","1074698","Nico Collins","WR","HST","21","WR9","22.7"
"22","1285917","Brock Bowers","TE","LV","22","TE1","20.4"
"23","1173538","Rashee Rice","WR","KC","23","WR10","25.3"
"24","1172053","George Pickens","WR","DAL","24","WR11","24.0"
"25","1451501","Jeremiyah Love","RB","ARZ","25","RB13","27.7"
"26","1122592","Chris Olave","WR","NO","26","WR12","28.8"
"27","1060262","DeVonta Smith","WR","PHI","27","WR13","28.0"
"28","868199","Josh Allen","QB","BUF","28","QB1","26.5"
"29","1108161","Trey McBride","TE","ARZ","29","TE2","24.9"
"30","1162537","Breece Hall","RB","NYJ","30","RB14","33.4"
"31","1167361","Kyren Williams","RB","LA","31","RB15","29.5"
"32","1177053","Zay Flowers","WR","BLT","32","WR14","32.0"
"33","978579","Tee Higgins","WR","CIN","33","WR15","35.1"
"34","1107881","Javonte Williams","RB","DAL","34","RB16","37.5"
"35","1287825","Emeka Egbuka","WR","TB","35","WR16","31.1"
"36","1218643","Ladd McConkey","WR","LAC","36","WR17","34.6"
"37","1164889","Garrett Wilson","WR","NYJ","37","WR18","38.5"
"38","978577","Travis Etienne","RB","NO","38","RB17","37.2"
"39","944416","Josh Jacobs","RB","GB","39","RB18","41.4"
"40","1280316","Cam Skattebo","RB","NYG","40","RB19","44.4"
"41","946739","David Montgomery","RB","HST","41","RB20","47.9"
"42","836116","Terry McLaurin","WR","WAS","42","WR19","45.2"
"43","611417","Davante Adams","WR","LA","43","WR20","48.7"
"44","1380576","Tetairoa McMillan","WR","CAR","44","WR21","43.6"
"45","1125749","Jaylen Waddle","WR","DEN","45","WR22","45.4"
"46","1378821","Colston Loveland","TE","CHI","46","TE3","39.5"
"47","593587","Mike Evans","WR","SF","47","WR23","51.4"
"48","877790","DJ Moore","WR","BUF","48","WR24","47.7"
"49","1377732","Luther Burden III","WR","CHI","49","WR25","43.2"
"50","1286059","Malik Nabers","WR","NYG","50","WR26","40.3"
"51","1175184","Jameson Williams","WR","DET","51","WR27","53.4"
"52","877745","Lamar Jackson","QB","BLT","52","QB2","52.3"
"53","1383807","Quinshon Judkins","RB","CLV","53","RB21","55.3"
"54","1327169","Bhayshul Tuten","RB","JAX","54","RB22","55.9"
"55","1067918","Christian Watson","WR","GB","55","WR28","54.6"
"56","1069808","D'Andre Swift","RB","CHI","56","RB23","50.2"
"57","1213727","Rome Odunze","WR","CHI","57","WR29","59.2"
"58","1287923","Bucky Irving","RB","TB","58","RB24","60.3"
"59","1286803","Drake Maye","QB","NE","59","QB3","63.5"
"60","1229083","Tyler Warren","TE","IND","60","TE4","61.0"
"61","1441839","Carnell Tate","WR","TEN","61","WR30","62.4"
"62","878785","Joe Burrow","QB","CIN","62","QB4","57.9"
"63","1286064","Brian Thomas Jr.","WR","JAX","63","WR31","64.3"
"64","1287837","TreVeyon Henderson","RB","NE","64","RB25","57.2"
"65","1229074","Parker Washington","WR","JAX","65","WR32","65.2"
"66","1161228","Jayden Daniels","QB","WAS","66","QB5","69.1"
"67","913271","Jalen Hurts","QB","PHI","67","QB6","74.4"
"68","880398","Tony Pollard","RB","TEN","68","RB26","71.6"
"69","1394692","Jordyn Tyson","WR","NO","69","WR33","70.1"
"70","1383791","Jadarian Price","RB","SEA","70","RB27","66.4"
"71","1287828","Marvin Harrison Jr.","WR","ARZ","71","WR34","67.1"
"72","1062047","Chuba Hubbard","RB","CAR","72","RB28","79.3"
"73","945633","DK Metcalf","WR","PIT","73","WR35","76.0"
"74","1174682","Rhamondre Stevenson","RB","NE","74","RB29","76.7"
"75","1213865","Quentin Johnston","WR","LAC","75","WR36","72.7"
"76","591816","Dak Prescott","QB","DAL","76","QB7","79.6"
"77","1176443","Jaylen Warren","RB","PIT","77","RB30","74.9"
"78","1286445","Caleb Williams","QB","CHI","78","QB8","70.7"
"79","1107027","Alec Pierce","WR","IND","79","WR37","80.3"
"80","838878","Courtland Sutton","WR","DEN","80","WR38","83.1"
"81","910562","Justin Herbert","QB","LAC","81","QB9","82.8"
"82","1110711","Trevor Lawrence","QB","JAX","82","QB10","84.8"
"83","911348","Michael Pittman","WR","PIT","83","WR39","92.9"
"84","1441120","Makai Lemon","WR","PHI","84","WR40","89.5"
"85","1123529","Michael Wilson","WR","ARZ","85","WR41","86.2"
"86","835127","Chris Godwin Jr.","WR","TB","86","WR42","81.1"
"87","1181874","Tucker Kraft","TE","GB","87","TE5","77.4"
"88","1123398","Jayden Reed","WR","GB","88","WR43","94.4"
"89","1123026","Kyle Pitts","TE","ATL","89","TE6","87.1"
"90","839031","Patrick Mahomes","QB","KC","90","QB11","95.6"
"91","1168926","Sam LaPorta","TE","DET","91","TE7","91.1"
"92","323205","Matthew Stafford","QB","LA","92","QB12","88.4"
"93","1214250","Jordan Addison","WR","MIN","93","WR44","98.5"
"94","933480","Rico Dowdle","RB","PIT","94","RB31","90.7"
"95","1130705","Kenny Gainwell","RB","TB","95","RB32","95.1"
"96","1215077","Josh Downs","WR","IND","96","WR45","96.6"
