"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","17","2025","Dallas","Cowboys","631","555","381","4521","35","109.7","88","398","4.52","8","0","0","0","0.00","0","23.8","404.6"
"2","Tampa Bay Buccaneers","QB","17","2025","Tampa Bay","Buccaneers","645","568","379","4332","30","97.5","74","350","4.73","6","1","1","-6","-6.00","0","20.5","347.7"
"3","Washington Commanders","QB","17","2025","Washington","Commanders","617","540","350","4371","33","104.0","68","331","4.87","1","0","0","0","0.00","0","20.0","339.9"
"4","New York Jets","QB","17","2025","New York","Jets","577","514","335","3811","35","110.0","74","327","4.42","2","0","0","0","0.00","0","19.9","339.1"
"5","Pittsburgh Steelers","QB","17","2025","Pittsburgh","Steelers","688","613","396","4437","30","92.2","65","260","4.00","5","0","0","0","0.00","0","19.9","338.5"
"6","Chicago Bears","QB","17","2025","Chicago","Bears","594","533","355","4067","32","91.4","64","396","6.19","5","0","0","0","0.00","0","19.8","337.3"
"7","Tennessee Titans","QB","17","2025","Tennessee","Titans","596","514","354","4221","30","108.3","82","330","4.02","3","0","0","0","0.00","0","19.6","332.8"
"8","Cincinnati Bengals","QB","17","2025","Cincinnati","Bengals","604","530","345","4166","30","97.7","70","323","4.61","2","2","2","22","11.00","1","19.4","330.1"
"9","Detroit Lions","QB","17","2025","Detroit","Lions","633","553","341","3994","30","91.9","77","258","3.35","3","1","1","33","33.00","1","19.1","323.9"
"10","New York Giants","QB","17","2025","New York","Giants","623","549","357","3889","25","94.1","89","417","4.69","5","1","1","0","0.00","0","19.0","323.3"
"11","Miami Dolphins","QB","17","2025","Miami","Dolphins","592","515","371","3920","29","105.3","72","359","4.99","4","0","0","0","0.00","0","19.0","322.7"
"12","Baltimore Ravens","QB","17","2025","Baltimore","Ravens","693","625","399","4403","23","89.6","80","308","3.85","5","1","1","-9","-9.00","0","18.6","316.0"
"13","Indianapolis Colts","QB","17","2025","Indianapolis","Colts","696","627","397","4462","24","88.0","61","208","3.41","3","0","0","0","0.00","0","17.8","303.3"
"14","Arizona Cardinals","QB","17","2025","Arizona","Cardinals","626","572","375","4128","31","97.6","73","171","2.34","2","0","0","0","0.00","0","17.8","303.2"
"15","San Francisco 49ers","QB","17","2025","San Francisco","49ers","634","584","398","4110","29","100.5","63","224","3.56","1","0","0","0","0.00","0","17.6","299.8"
"16","Atlanta Falcons","QB","17","2025","Atlanta","Falcons","624","527","331","3773","27","88.7","66","345","5.23","3","0","0","0","0.00","0","17.5","297.4"
"17","Jacksonville Jaguars","QB","17","2025","Jacksonville","Jaguars","702","635","396","3933","25","78.5","61","283","4.64","5","0","0","0","0.00","0","17.3","294.6"
"18","Las Vegas Raiders","QB","17","2025","Las Vegas","Raiders","591","523","359","3644","23","96.6","87","266","3.06","6","2","2","11","5.50","0","17.0","288.5"
"19","Los Angeles Rams","QB","17","2025","Los Angeles","Rams","660","587","376","3960","26","87.0","54","254","4.70","1","0","0","0","0.00","0","16.3","277.8"
"20","Kansas City Chiefs","QB","17","2025","Kansas City","Chiefs","580","508","340","3487","18","90.1","84","328","3.90","6","1","0","0","0.00","0","15.8","269.3"
"21","Green Bay Packers","QB","17","2025","Green Bay","Packers","613","548","360","3516","24","92.8","52","246","4.73","2","0","0","0","0.00","0","15.7","266.2"
"22","Philadelphia Eagles","QB","17","2025","Philadelphia","Eagles","631","543","309","3476","14","75.6","82","400","4.88","7","0","0","0","0.00","0","15.5","263.0"
"23","New England Patriots","QB","17","2025","New England","Patriots","588","525","349","3509","25","93.3","57","276","4.84","1","1","0","0","0.00","0","15.5","263.0"
"24","Seattle Seahawks","QB","17","2025","Seattle","Seahawks","690","600","375","3619","20","77.9","58","292","5.03","3","0","0","0","0.00","0","15.2","258.0"
"25","New Orleans Saints","QB","17","2025","New Orleans","Saints","570","491","312","3336","25","91.8","73","286","3.92","1","0","0","0","0.00","0","14.9","254.0"
"26","Denver Broncos","QB","17","2025","Denver","Broncos","698","593","343","3606","18","78.7","71","311","4.38","3","0","0","0","0.00","0","14.9","253.3"
"27","Carolina Panthers","QB","17","2025","Carolina","Panthers","564","506","336","3657","20","88.4","66","246","3.73","3","0","0","0","0.00","0","14.8","251.9"
"28","Buffalo Bills","QB","17","2025","Buffalo","Bills","527","462","277","2894","19","81.0","55","368","6.69","4","1","0","0","0.00","0","14.1","239.6"
"29","Houston Texans","QB","17","2025","Houston","Texans","618","536","318","3470","20","76.9","52","334","6.42","1","1","1","-13","-13.00","0","14.1","238.9"
"30","Cleveland Browns","QB","17","2025","Cleveland","Browns","562","485","307","3188","24","89.3","66","208","3.15","1","0","0","0","0.00","0","14.0","238.3"
"31","Los Angeles Chargers","QB","17","2025","Los Angeles","Chargers","588","504","306","3306","16","74.9","73","316","4.33","4","0","0","0","0.00","0","13.7","232.8"
"32","Minnesota Vikings","QB","17","2025","Minnesota","Vikings","526","447","279","3021","15","86.0","58","262","4.52","1","0","0","0","0.00","0","11.9","202.0"
