"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","17","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","389","2027","5.21","13","99","79","711","7.18","7","28.4","482.1"
"2","New York Jets","RB","17","2025","New York","Jets","0","0","0","0","0","","427","1866","4.37","17","75","60","555","7.40","11","27.7","470.1"
"3","Arizona Cardinals","RB","17","2025","Arizona","Cardinals","0","0","0","0","0","","405","1926","4.76","17","88","73","582","6.61","4","26.3","447.8"
"4","New York Giants","RB","17","2025","New York","Giants","0","0","0","0","0","","357","1969","5.52","15","88","75","504","5.73","4","25.7","436.3"
"5","Dallas Cowboys","RB","17","2025","Dallas","Cowboys","0","0","0","0","0","","343","1618","4.72","15","96","84","734","7.65","3","25.1","426.2"
"6","Washington Commanders","RB","17","2025","Washington","Commanders","0","0","0","0","0","","413","1933","4.68","16","72","55","537","7.46","4","25.0","425.0"
"7","Miami Dolphins","RB","17","2025","Miami","Dolphins","0","0","0","0","0","","379","1822","4.81","12","92","82","604","6.57","4","24.7","419.6"
"8","Buffalo Bills","RB","17","2025","Buffalo","Bills","0","0","0","0","0","","366","1824","4.98","18","84","66","423","5.04","2","24.0","408.7"
"9","Carolina Panthers","RB","17","2025","Carolina","Panthers","0","0","0","0","0","","394","1808","4.59","16","85","73","480","5.65","1","23.7","402.8"
"10","San Francisco 49ers","RB","17","2025","San Francisco","49ers","0","0","0","0","0","","352","1582","4.49","12","108","94","607","5.62","3","23.6","401.9"
"11","Baltimore Ravens","RB","17","2025","Baltimore","Ravens","0","0","0","0","0","","332","1381","4.16","12","111","93","725","6.53","3","23.2","393.6"
"12","Philadelphia Eagles","RB","17","2025","Philadelphia","Eagles","0","0","0","0","0","","392","1634","4.17","13","82","61","627","7.65","4","22.8","388.1"
"13","Las Vegas Raiders","RB","17","2025","Las Vegas","Raiders","0","0","0","0","0","","411","1656","4.03","16","88","72","414","4.70","1","22.5","383.0"
"14","Tampa Bay Buccaneers","RB","17","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","311","1340","4.31","10","86","78","851","9.90","4","22.2","378.1"
"15","Cleveland Browns","RB","17","2025","Cleveland","Browns","2","2","1","32","1","135.4","386","1638","4.24","12","88","68","444","5.05","3","21.7","368.5"
"16","Atlanta Falcons","RB","17","2025","Atlanta","Falcons","0","0","0","0","0","","380","1729","4.55","9","89","67","510","5.73","4","21.6","367.9"
"17","Green Bay Packers","RB","17","2025","Green Bay","Packers","1","1","0","0","0","39.6","409","1702","4.16","12","93","77","451","4.85","0","21.5","366.3"
"18","Tennessee Titans","RB","17","2025","Tennessee","Titans","0","0","0","0","0","","360","1553","4.31","17","70","54","447","6.39","2","21.5","366.0"
"19","Chicago Bears","RB","17","2025","Chicago","Bears","1","0","0","0","0","","366","1772","4.84","9","83","67","456","5.49","4","21.4","363.8"
"20","New Orleans Saints","RB","17","2025","New Orleans","Saints","0","0","0","0","0","","435","1746","4.01","11","66","56","396","6.00","3","20.8","354.2"
"21","Los Angeles Rams","RB","17","2025","Los Angeles","Rams","0","0","0","0","0","","355","1506","4.24","6","100","78","621","6.21","3","20.3","344.7"
"22","Indianapolis Colts","RB","17","2025","Indianapolis","Colts","0","0","0","0","0","","356","1412","3.97","12","89","66","414","4.65","3","19.7","335.6"
"23","Houston Texans","RB","17","2025","Houston","Texans","0","0","0","0","0","","334","1248","3.74","12","87","70","535","6.15","2","19.5","332.3"
"24","Detroit Lions","RB","17","2025","Detroit","Lions","1","1","0","0","0","39.6","352","1515","4.30","12","76","60","418","5.50","1","19.5","331.3"
"25","Minnesota Vikings","RB","17","2025","Minnesota","Vikings","0","0","0","0","0","","453","1768","3.90","12","67","53","317","4.73","0","19.4","330.5"
"26","Pittsburgh Steelers","RB","17","2025","Pittsburgh","Steelers","0","0","0","0","0","","381","1639","4.30","5","89","75","522","5.87","2","19.3","328.1"
"27","Kansas City Chiefs","RB","17","2025","Kansas City","Chiefs","1","1","0","0","0","39.6","350","1412","4.03","8","77","66","472","6.13","4","19.1","325.4"
"28","New England Patriots","RB","17","2025","New England","Patriots","0","0","0","0","0","","334","1311","3.93","8","97","81","508","5.24","2","18.9","320.9"
"29","Seattle Seahawks","RB","17","2025","Seattle","Seahawks","0","0","0","0","0","","350","1239","3.54","5","121","94","603","4.98","2","18.7","317.2"
"30","Jacksonville Jaguars","RB","17","2025","Jacksonville","Jaguars","0","0","0","0","0","","298","1151","3.86","8","98","79","554","5.65","3","18.4","313.5"
"31","Los Angeles Chargers","RB","17","2025","Los Angeles","Chargers","0","0","0","0","0","","334","1441","4.31","12","79","57","394","4.99","0","18.4","313.5"
"32","Denver Broncos","RB","17","2025","Denver","Broncos","0","0","0","0","0","","313","1218","3.89","8","68","48","361","5.31","6","17.0","288.9"
