"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","17","2025","Dallas","Cowboys","2","1","0","0","0","39.6","20","116","5.80","0","296","206","2907","9.82","26","39.3","667.3"
"2","Indianapolis Colts","WR","17","2025","Indianapolis","Colts","0","0","0","0","0","","12","41","3.42","1","352","228","2861","8.13","15","36.2","616.2"
"3","Baltimore Ravens","WR","17","2025","Baltimore","Ravens","0","0","0","0","0","","13","100","7.69","0","351","221","2883","8.21","16","36.0","612.3"
"4","Chicago Bears","WR","17","2025","Chicago","Bears","0","0","0","0","0","","21","114","5.43","1","283","188","2721","9.61","21","35.9","609.5"
"5","Detroit Lions","WR","17","2025","Detroit","Lions","1","1","1","33","1","158.3","13","142","10.92","1","313","193","2644","8.45","21","35.8","607.9"
"6","Tennessee Titans","WR","17","2025","Tennessee","Titans","0","0","0","0","0","","8","65","8.13","1","285","205","2814","9.87","18","35.6","604.9"
"7","Pittsburgh Steelers","WR","17","2025","Pittsburgh","Steelers","0","0","0","0","0","","3","18","6.00","0","326","213","2782","8.53","17","35.1","597.0"
"8","Washington Commanders","WR","17","2025","Washington","Commanders","0","0","0","0","0","","14","108","7.71","0","310","206","2766","8.92","17","35.0","594.4"
"9","New York Giants","WR","17","2025","New York","Giants","0","0","0","0","0","","9","73","8.11","1","306","197","2580","8.43","16","33.4","568.3"
"10","Atlanta Falcons","WR","17","2025","Atlanta","Falcons","0","0","0","0","0","","9","57","6.33","0","299","189","2438","8.15","20","33.0","561.5"
"11","Los Angeles Rams","WR","17","2025","Los Angeles","Rams","0","0","0","0","0","","14","88","6.29","0","318","202","2563","8.06","16","33.0","561.1"
"12","Las Vegas Raiders","WR","17","2025","Las Vegas","Raiders","1","0","0","0","0","","9","33","3.67","0","297","210","2503","8.43","16","32.9","558.6"
"13","San Francisco 49ers","WR","17","2025","San Francisco","49ers","0","0","0","0","0","","7","25","3.57","0","298","204","2534","8.50","15","32.2","547.9"
"14","Tampa Bay Buccaneers","WR","17","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","5","30","6.00","0","316","199","2509","7.94","14","31.4","533.9"
"15","Jacksonville Jaguars","WR","17","2025","Jacksonville","Jaguars","0","0","0","0","0","","7","8","1.14","0","344","210","2343","6.81","14","31.2","531.1"
"16","Green Bay Packers","WR","17","2025","Green Bay","Packers","0","0","0","0","0","","11","47","4.27","0","277","187","2296","8.29","18","31.2","530.3"
"17","New York Jets","WR","17","2025","New York","Jets","0","0","0","0","0","","19","116","6.11","1","277","179","2313","8.35","15","30.4","516.9"
"18","Arizona Cardinals","WR","17","2025","Arizona","Cardinals","0","0","0","0","0","","9","58","6.44","0","286","190","2330","8.15","14","30.2","512.8"
"19","Miami Dolphins","WR","17","2025","Miami","Dolphins","0","0","0","0","0","","9","43","4.78","0","262","179","2165","8.26","17","29.5","500.8"
"20","New England Patriots","WR","17","2025","New England","Patriots","2","1","0","0","0","39.6","16","149","9.31","1","261","168","2014","7.72","17","28.9","491.3"
"21","Kansas City Chiefs","WR","17","2025","Kansas City","Chiefs","0","0","0","0","0","","10","49","4.90","0","289","189","2183","7.55","10","27.9","474.2"
"22","New Orleans Saints","WR","17","2025","New Orleans","Saints","0","0","0","0","0","","8","16","2.00","0","260","166","2066","7.95","16","27.5","468.2"
"23","Carolina Panthers","WR","17","2025","Carolina","Panthers","0","0","0","0","0","","10","20","2.00","1","272","174","2151","7.91","11","27.2","462.1"
"24","Los Angeles Chargers","WR","17","2025","Los Angeles","Chargers","1","1","1","8","0","100.0","7","31","4.43","0","292","178","2167","7.42","10","27.0","459.1"
"25","Denver Broncos","WR","17","2025","Denver","Broncos","0","0","0","0","0","","11","21","1.91","0","331","199","2224","6.72","6","27.0","458.5"
"26","Philadelphia Eagles","WR","17","2025","Philadelphia","Eagles","0","0","0","0","0","","17","72","4.24","0","309","179","2330","7.54","6","26.8","456.2"
"27","Buffalo Bills","WR","17","2025","Buffalo","Bills","2","1","0","0","0","","26","114","4.38","1","260","164","1965","7.56","12","26.5","450.9"
"28","Seattle Seahawks","WR","17","2025","Seattle","Seahawks","0","0","0","0","0","","9","31","3.44","1","297","173","1899","6.39","12","26.2","446.0"
"29","Cleveland Browns","WR","17","2025","Cleveland","Browns","0","0","0","0","0","","15","53","3.53","0","245","152","1862","7.60","17","26.1","443.5"
"30","Houston Texans","WR","17","2025","Houston","Texans","1","1","0","0","0","","11","7","0.64","0","277","159","2183","7.88","10","25.8","438.0"
"31","Cincinnati Bengals","WR","17","2025","Cincinnati","Bengals","1","1","1","2","1","118.8","15","137","9.13","3","241","149","1980","8.22","9","25.6","435.8"
"32","Minnesota Vikings","WR","17","2025","Minnesota","Vikings","0","0","0","0","0","","11","51","4.64","0","222","149","1971","8.88","9","23.8","404.2"
