"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Chicago Bears","WR","17","2025","Chicago","Bears","0","0","0","0","0","","0","0","","0","110","77","1065","9.68","14","15.7","267.5"
"2","San Francisco 49ers","WR","17","2025","San Francisco","49ers","0","0","0","0","0","","0","0","","0","121","85","1041","8.60","10","14.6","248.1"
"3","Indianapolis Colts","WR","17","2025","Indianapolis","Colts","0","0","0","0","0","","0","0","","0","139","94","1178","8.47","5","14.2","241.8"
"4","Washington Commanders","WR","17","2025","Washington","Commanders","0","0","0","0","0","","0","0","","0","118","85","1161","9.84","6","13.9","236.1"
"5","Pittsburgh Steelers","WR","17","2025","Pittsburgh","Steelers","0","0","0","0","0","","0","0","","0","105","73","991","9.44","7","12.6","214.1"
"6","Baltimore Ravens","WR","17","2025","Baltimore","Ravens","0","0","0","0","0","","0","0","","0","103","72","871","8.46","9","12.5","213.1"
"7","Dallas Cowboys","WR","17","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","105","77","843","8.03","8","12.3","209.3"
"8","Las Vegas Raiders","WR","17","2025","Las Vegas","Raiders","0","0","0","0","0","","0","0","","0","103","78","859","8.34","7","12.1","205.9"
"9","New York Giants","WR","17","2025","New York","Giants","0","0","0","0","0","","0","0","","0","112","75","959","8.56","5","11.8","200.9"
"10","Tennessee Titans","WR","17","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","93","70","837","9.00","8","11.8","200.7"
"11","Detroit Lions","WR","17","2025","Detroit","Lions","0","0","0","0","0","","0","0","","0","105","69","857","8.16","7","11.6","196.7"
"12","Arizona Cardinals","WR","17","2025","Arizona","Cardinals","0","0","0","0","0","","0","0","","0","107","72","798","7.46","7","11.4","193.8"
"13","New York Jets","WR","17","2025","New York","Jets","0","0","0","0","0","","0","0","","0","99","72","886","8.95","4","10.8","183.6"
"14","Miami Dolphins","WR","17","2025","Miami","Dolphins","0","0","0","0","0","","0","0","","0","90","67","726","8.07","5","10.0","169.6"
"15","Tampa Bay Buccaneers","WR","17","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","104","70","705","6.78","4","9.7","164.5"
"16","Kansas City Chiefs","WR","17","2025","Kansas City","Chiefs","0","0","0","0","0","","0","0","","0","112","78","672","6.00","3","9.6","163.2"
"17","Denver Broncos","WR","17","2025","Denver","Broncos","0","0","0","0","0","","0","0","","0","121","75","811","6.70","1","9.5","162.1"
"18","Los Angeles Rams","WR","17","2025","Los Angeles","Rams","0","0","0","0","0","","0","0","","0","109","71","620","5.69","5","9.5","161.0"
"19","Buffalo Bills","WR","17","2025","Buffalo","Bills","0","0","0","0","0","","0","0","","0","109","66","687","6.30","4","9.3","158.7"
"20","Carolina Panthers","WR","17","2025","Carolina","Panthers","0","0","0","0","0","","0","0","","0","101","68","814","8.06","1","9.1","155.4"
"21","New England Patriots","WR","17","2025","New England","Patriots","1","1","0","0","0","39.6","0","0","","0","81","59","553","6.83","7","9.1","155.3"
"22","Jacksonville Jaguars","WR","17","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","114","68","691","6.06","3","9.1","155.1"
"23","Los Angeles Chargers","WR","17","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","100","65","714","7.14","3","9.1","154.4"
"24","Seattle Seahawks","WR","17","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","101","64","726","7.19","3","9.0","153.6"
"25","Houston Texans","WR","17","2025","Houston","Texans","1","1","0","0","0","","0","0","","0","102","66","817","8.01","1","8.9","151.7"
"26","Cincinnati Bengals","WR","17","2025","Cincinnati","Bengals","0","0","0","0","0","","0","0","","0","77","53","692","8.99","5","8.9","151.2"
"27","Atlanta Falcons","WR","17","2025","Atlanta","Falcons","0","0","0","0","0","","0","0","","0","94","62","746","7.94","2","8.7","148.6"
"28","Green Bay Packers","WR","17","2025","Green Bay","Packers","0","0","0","0","0","","0","0","","0","74","55","536","7.24","6","8.5","144.6"
"29","New Orleans Saints","WR","17","2025","New Orleans","Saints","0","0","0","0","0","","0","0","","0","85","59","666","7.84","3","8.4","142.6"
"30","Philadelphia Eagles","WR","17","2025","Philadelphia","Eagles","0","0","0","0","0","","0","0","","0","103","60","650","6.31","1","7.7","131.0"
"31","Cleveland Browns","WR","17","2025","Cleveland","Browns","0","0","0","0","0","","0","0","","0","78","50","507","6.50","4","7.3","124.7"
"32","Minnesota Vikings","WR","17","2025","Minnesota","Vikings","0","0","0","0","0","","0","0","","0","88","60","586","6.66","0","6.9","117.6"
