"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"1","Justin Jefferson","MIN","WR","17","2022","652","0.27","2.77","0.57","202","0.27","3.13","0.54","412","0.28","2.75","0.54","262","0.31","3.58","0.67","390","0.25","2.23","0.47"
"2","Adam Thielen","MIN","WR","17","2022","613","0.17","1.17","0.29","191","0.19","0.85","0.28","392","0.15","1.39","0.27","244","0.22","1.44","0.36","369","0.14","0.99","0.24"
"3","Michael Pittman","IND","WR","16","2022","598","0.24","1.55","0.36","175","0.32","1.58","0.42","403","0.20","1.60","0.33","341","0.28","1.87","0.44","257","0.18","1.12","0.26"
"4","Diontae Johnson","PIT","WR","17","2022","598","0.23","1.47","0.30","159","0.30","1.33","0.27","418","0.21","1.57","0.30","311","0.29","1.99","0.38","287","0.17","0.91","0.19"
"5","Davante Adams","LV","WR","17","2022","597","0.28","2.54","0.56","145","0.28","2.06","0.52","425","0.28","2.70","0.56","264","0.34","3.10","0.67","333","0.24","2.09","0.47"
"6","Garrett Wilson","NYJ","WR","17","2022","575","0.25","1.92","0.38","186","0.30","2.39","0.48","360","0.21","1.83","0.33","345","0.26","2.21","0.39","230","0.22","1.49","0.35"
"7","Mack Hollins","LV","WR","17","2022","571","0.16","1.21","0.27","148","0.17","1.60","0.36","397","0.15","1.11","0.24","255","0.15","0.96","0.23","316","0.16","1.41","0.29"
"8","Parris Campbell","IND","WR","17","2022","570","0.15","1.09","0.26","165","0.13","1.20","0.28","382","0.16","1.08","0.23","322","0.16","1.39","0.31","248","0.13","0.71","0.18"
"9","Mike Evans","TB","WR","15","2022","563","0.22","2.00","0.40","127","0.28","2.16","0.48","402","0.21","2.11","0.41","258","0.27","2.38","0.43","305","0.18","1.67","0.38"
"10","Travis Kelce","KC","TE","17","2022","561","0.26","2.39","0.57","195","0.26","2.46","0.59","324","0.26","2.55","0.47","310","0.25","2.42","0.47","251","0.28","2.34","0.67"
"11","Christian Kirk","JAX","WR","17","2022","560","0.23","1.98","0.43","147","0.29","3.00","0.71","379","0.20","1.64","0.29","288","0.26","2.47","0.47","272","0.19","1.46","0.40"
"12","Josh Palmer","LAC","WR","16","2022","557","0.18","1.38","0.30","145","0.19","1.48","0.26","381","0.17","1.42","0.30","284","0.18","1.57","0.28","273","0.18","1.18","0.32"
"13","DK Metcalf","SEA","WR","17","2022","553","0.25","1.90","0.41","128","0.30","2.51","0.50","400","0.23","1.77","0.35","279","0.30","2.30","0.47","274","0.21","1.48","0.35"
