"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Ja'Marr Chase","CIN","WR","17","2024","686","0.137","2.45","0.25","17.6","15.3","1.9","0.4","6.7","172","127","1708","17","1545","7.1","438","0.148","2.69","0.24","18.9","","","","","0.0","","","","","0.0","14","0.071","2.21","0.29","7.1"
"2","Jerry Jeudy","CLV","WR","17","2024","658","0.076","1.84","0.21","13.8","11.2","2.3","0.3","8.7","142","90","1229","4","1610","8.4","427","0.066","2.03","0.23","14.8","","","","","0.0","3","0.000","3.33","0.33","0.0","4","0.250","1.00","0.25","25.0"
"3","D.J. Moore","CHI","WR","17","2024","623","0.051","1.53","0.22","12.8","11.6","1.1","0.2","9.1","138","98","966","6","1043","6.5","439","0.055","1.63","0.22","13.7","","","","","0.0","","","","","0.0","4","0.000","0.25","0.25","0.0"
"4","Garrett Wilson","NYJ","WR","17","2024","595","0.099","1.81","0.25","15.3","13.4","1.3","0.5","7.7","153","101","1104","7","1430","5.9","397","0.111","1.54","0.25","16.6","","","","","0.0","","","","","0.0","5","0.200","2.80","0.40","20.0"
"5","Tre Tucker","LV","WR","17","2024","584","0.009","0.90","0.13","8.0","6.8","1.0","0.2","8.4","80","47","539","3","993","7.3","439","0.005","0.84","0.14","8.2","","","","","0.0","","","","","0.0","","","","","0.0"
"6","Justin Jefferson","MIN","WR","17","2024","569","0.083","2.66","0.26","16.5","13.5","2.8","0.2","11.2","150","103","1533","10","1709","11.1","408","0.074","2.64","0.25","16.7","","","","","0.0","","","","","0.0","9","0.222","2.67","0.33","22.2"
"7","Jaxon Smith-Njigba","SEA","WR","17","2024","561","0.062","1.96","0.23","10.2","8.2","1.6","0.4","6.1","133","100","1130","6","1220","7.7","85","0.035","1.44","0.20","9.4","","","","","0.0","","","","","0.0","5","0.000","3.60","0.60","0.0"
"8","Elijah Moore","CLV","WR","17","2024","557","0.034","0.95","0.17","9.7","8.3","1.3","0.2","7.9","98","61","538","1","940","7.5","237","0.000","1.02","0.15","8.0","","","","","0.0","","","","","0.0","6","-0.167","0.50","0.17","0.0"
"9","Brock Bowers","LV","TE","17","2024","551","0.015","2.11","0.27","8.0","7.4","0.5","0.0","7.1","150","112","1194","5","1009","5.2","100","-0.070","2.10","0.26","7.0","","","","","0.0","136","0.051","2.33","0.27","11.0","6","0.167","2.50","0.50","16.7"
"10","Jakobi Meyers","LV","WR","15","2024","540","0.065","1.86","0.23","11.9","10.4","1.5","0.0","6.7","125","87","1027","4","1285","8.1","357","0.092","1.99","0.23","14.0","","","","","0.0","","","","","0.0","2","0.000","","","0.0"
