"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Tampa Bay Buccaneers","17","2024","Tampa Bay","Buccaneers","713","16.3","0.53","79.9","0.41","59.5","0.41","40.5","0.50","2.0","11.9","14.7","2.2","46.7","15.6","2.9"
"2","Minnesota Vikings","17","2024","Minnesota","Vikings","712","22.9","0.41","73.7","0.31","36.4","0.33","63.6","0.39","5.5","10.8","24.4","5.3","25.0","19.0","5.3"
"3","Baltimore Ravens","17","2024","Baltimore","Ravens","706","31.7","0.47","64.4","0.35","55.9","0.37","44.1","0.47","4.5","25.6","13.7","1.4","30.0","10.3","10.3"
"4","Denver Broncos","17","2024","Denver","Broncos","704","37.4","0.50","60.1","0.29","54.3","0.38","45.7","0.38","5.4","29.0","11.4","2.0","25.0","15.8","8.0"
"5","Detroit Lions","17","2024","Detroit","Lions","686","46.4","0.45","49.4","0.37","55.1","0.39","44.9","0.44","5.0","37.2","12.7","2.9","17.6","16.0","3.1"
"6","New Orleans Saints","17","2024","New Orleans","Saints","675","31.6","0.46","64.6","0.38","48.3","0.43","51.7","0.40","3.0","25.9","23.7","1.6","22.2","13.5","5.2"
"7","Jacksonville Jaguars","17","2024","Jacksonville","Jaguars","658","41.5","0.58","54.0","0.44","44.8","0.54","55.2","0.49","1.4","32.1","27.1","7.9","11.7","8.7","6.5"
"8","Kansas City Chiefs","17","2024","Kansas City","Chiefs","658","34.2","0.51","60.5","0.37","39.1","0.56","60.9","0.36","6.2","21.3","17.6","5.2","17.5","19.5","5.9"
"9","Atlanta Falcons","17","2024","Atlanta","Falcons","654","20.6","0.65","72.5","0.39","49.7","0.52","50.3","0.50","4.0","14.8","8.7","1.8","33.5","15.1","15.1"
"10","Cincinnati Bengals","17","2024","Cincinnati","Bengals","653","25.6","0.58","69.8","0.37","48.7","0.39","51.1","0.51","4.0","18.8","14.7","2.1","28.8","13.6","12.7"
"11","Los Angeles Chargers","17","2024","Los Angeles","Chargers","650","20.2","0.60","77.7","0.35","41.4","0.43","58.6","0.41","3.4","12.0","15.2","4.0","28.9","21.7","11.8"
"12","Green Bay Packers","17","2024","Green Bay","Packers","646","18.6","0.49","78.3","0.34","51.2","0.37","48.8","0.41","2.3","15.9","25.5","0.3","33.4","7.6","11.8"
"13","Seattle Seahawks","17","2024","Seattle","Seahawks","645","31.8","0.52","63.4","0.31","49.1","0.36","50.9","0.51","7.0","21.9","13.0","2.8","26.8","14.3","9.3"
"14","Buffalo Bills","17","2024","Buffalo","Bills","640","20.6","0.50","73.3","0.36","45.0","0.37","55.0","0.48","2.0","15.2","18.8","3.1","29.5","15.3","9.7"
"15","Pittsburgh Steelers","17","2024","Pittsburgh","Steelers","636","33.3","0.49","64.0","0.33","66.4","0.35","33.6","0.46","2.7","28.5","15.6","1.7","36.9","5.3","6.1"
"16","Houston Texans","17","2024","Houston","Texans","636","26.9","0.48","68.9","0.40","53.9","0.38","46.1","0.57","2.5","24.2","10.8","0.0","28.9","19.5","9.6"
"17","Miami Dolphins","17","2024","Miami","Dolphins","630","22.2","0.49","71.7","0.30","47.3","0.29","52.7","0.47","4.0","16.7","22.7","1.0","30.2","11.6","7.3"
"18","Las Vegas Raiders","17","2024","Las Vegas","Raiders","628","29.5","0.53","64.3","0.36","52.2","0.41","47.8","0.53","8.8","19.1","19.6","1.1","33.0","8.0","3.8"
"19","Philadelphia Eagles","17","2024","Philadelphia","Eagles","620","26.9","0.47","68.4","0.29","52.6","0.31","47.4","0.46","2.1","22.9","2.3","0.8","29.2","19.5","17.4"
"20","Arizona Cardinals","17","2024","Arizona","Cardinals","619","24.1","0.49","70.8","0.35","48.6","0.34","51.4","0.53","6.1","16.5","17.4","0.6","32.0","15.2","6.1"
"21","Indianapolis Colts","17","2024","Indianapolis","Colts","614","16.6","0.61","77.2","0.38","56.2","0.48","43.8","0.49","1.6","13.5","18.9","0.8","40.7","10.9","6.7"
"22","Los Angeles Rams","17","2024","Los Angeles","Rams","611","23.2","0.49","73.5","0.43","55.3","0.56","44.7","0.37","2.3","19.8","13.9","0.8","34.0","11.8","13.7"
"23","Dallas Cowboys","17","2024","Dallas","Cowboys","597","31.3","0.73","66.2","0.39","56.3","0.55","43.7","0.45","4.0","25.3","13.9","1.8","30.0","15.1","7.2"
"24","New York Jets","17","2024","New York","Jets","596","34.1","0.46","61.9","0.37","57.0","0.45","43.0","0.33","2.9","29.9","5.5","0.8","27.0","19.5","9.9"
