season,team,conference,division,offensive_coordinator,oc_play_caller,defensive_coordinator,notes
2021,Arizona Cardinals,NFC,NFC West,Kliff Kingsbury,HC,Vance Joseph,HC Kingsbury called plays as de facto OC
2021,Atlanta Falcons,NFC,NFC South,Dave Ragone,OC,Dean Pees,
2021,Baltimore Ravens,AFC,AFC North,Greg Roman,OC,Don Martindale,
2021,Buffalo Bills,AFC,AFC East,Brian Daboll,OC,Leslie Frazier,
2021,Carolina Panthers,NFC,NFC South,Joe Brady,OC,Phil Snow,Brady fired after season
2021,Chicago Bears,NFC,NFC North,Bill Lazor,OC,Sean Desai,Nagy surrendered play-calling to Lazor mid-year
2021,Cincinnati Bengals,AFC,AFC North,Brian Callahan,OC,Lou Anarumo,
2021,Cleveland Browns,AFC,AFC North,Alex Van Pelt,OC,Joe Woods,
2021,Dallas Cowboys,NFC,NFC East,Kellen Moore,OC,Dan Quinn,
2021,Denver Broncos,AFC,AFC West,Pat Shurmur,OC,Ed Donatell,
2021,Detroit Lions,NFC,NFC North,Anthony Lynn,OC,Aaron Glenn,
2021,Green Bay Packers,NFC,NFC North,Nathaniel Hackett,OC,Joe Barry,
2021,Houston Texans,AFC,AFC South,Tim Kelly,OC,Lovie Smith,
2021,Indianapolis Colts,AFC,AFC South,Marcus Brady,OC,Matt Eberflus,Eberflus hired as Bears HC after season
2021,Jacksonville Jaguars,AFC,AFC South,Darrell Bevell,OC,Joe Cullen,
2021,Kansas City Chiefs,AFC,AFC West,Eric Bieniemy,HC,Steve Spagnuolo,Reid called plays; Bieniemy title only
2021,Las Vegas Raiders,AFC,AFC West,Greg Olson,OC,Gus Bradley,Gruden resigned Week 4; Bisaccia interim HC
2021,Los Angeles Chargers,AFC,AFC West,Joe Lombardi,OC,Renaldo Hill,
2021,Los Angeles Rams,NFC,NFC West,Kevin O'Connell,OC,Raheem Morris,
2021,Miami Dolphins,AFC,AFC East,Chan Gailey,OC,Josh Boyer,Flores fired after season
2021,Minnesota Vikings,NFC,NFC North,Klint Kubiak,OC,Andre Patterson,Zimmer fired after season
2021,New England Patriots,AFC,AFC East,Josh McDaniels,HC,Matt Patricia,Belichick ran defense informally
2021,New Orleans Saints,NFC,NFC South,Pete Carmichael Jr.,OC,Dennis Allen,Payton final season as HC
2021,New York Giants,NFC,NFC East,Jason Garrett,OC,Patrick Graham,Garrett fired Week 11; Kitchens interim OC
2021,New York Jets,AFC,AFC East,Mike LaFleur,OC,Jeff Ulbrich,Saleh 1st year as HC
2021,Philadelphia Eagles,NFC,NFC East,Shane Steichen,OC,Jonathan Gannon,Sirianni 1st year as HC
2021,Pittsburgh Steelers,AFC,AFC North,Matt Canada,OC,Keith Butler,
2021,San Francisco 49ers,NFC,NFC West,Mike McDaniel,OC,DeMeco Ryans,
2021,Seattle Seahawks,NFC,NFC West,Shane Waldron,OC,Ken Norton Jr.,
2021,Tampa Bay Buccaneers,NFC,NFC South,Byron Leftwich,OC,Todd Bowles,Brady 1st return season
2021,Tennessee Titans,AFC,AFC South,Todd Downing,OC,Shane Bowen,
2021,Washington Commanders,NFC,NFC East,Scott Turner,OC,Jack Del Rio,
2022,Arizona Cardinals,NFC,NFC West,Kliff Kingsbury,HC,Vance Joseph,HC Kingsbury called plays
2022,Atlanta Falcons,NFC,NFC South,Dave Ragone,OC,Dean Pees,Pees retired after season
2022,Baltimore Ravens,AFC,AFC North,Greg Roman,OC,Mike Macdonald,Roman fired after season
2022,Buffalo Bills,AFC,AFC East,Ken Dorsey,OC,Leslie Frazier,Frazier resigned after season
2022,Carolina Panthers,NFC,NFC South,Ben McAdoo,OC,Phil Snow,Snow fired; Wilks interim HC/DC late season
2022,Chicago Bears,NFC,NFC North,Luke Getsy,OC,Alan Williams,Eberflus 1st year as HC
2022,Cincinnati Bengals,AFC,AFC North,Brian Callahan,OC,Lou Anarumo,Callahan hired as Titans HC after 2023
2022,Cleveland Browns,AFC,AFC North,Alex Van Pelt,OC,Joe Woods,
2022,Dallas Cowboys,NFC,NFC East,Kellen Moore,OC,Dan Quinn,
2022,Denver Broncos,AFC,AFC West,Justin Outten,OC,Ejiro Evero,Hackett 1st/only year as HC; fired mid-season
2022,Detroit Lions,NFC,NFC North,Ben Johnson,OC,Aaron Glenn,Johnson's 1st year as OC
2022,Green Bay Packers,NFC,NFC North,Adam Stenavich,OC,Joe Barry,
2022,Houston Texans,AFC,AFC South,Pep Hamilton,HC,Lovie Smith,Smith called plays on defense
2022,Indianapolis Colts,AFC,AFC South,Marcus Brady,OC,Gus Bradley,Brady fired mid-season; Reich fired late season
2022,Jacksonville Jaguars,AFC,AFC South,Press Taylor,OC,Mike Caldwell,Pederson 1st year as HC
2022,Kansas City Chiefs,AFC,AFC West,Eric Bieniemy,HC,Steve Spagnuolo,Reid called plays
2022,Las Vegas Raiders,AFC,AFC West,Mick Lombardi,OC,Patrick Graham,McDaniels 1st year as HC
2022,Los Angeles Chargers,AFC,AFC West,Joe Lombardi,OC,Renaldo Hill,Staley 2nd year; fired after 2023
2022,Los Angeles Rams,NFC,NFC West,Liam Coen,OC,Raheem Morris,Defending SB champs; 5-12 dropoff
2022,Miami Dolphins,AFC,AFC East,Frank Smith,HC,Josh Boyer,McDaniel 1st year as HC; called plays himself
2022,Minnesota Vikings,NFC,NFC North,Wes Phillips,OC,Ed Donatell,O'Connell 1st year as HC
2022,New England Patriots,AFC,AFC East,Bill O'Brien,OC,Steve Belichick,
2022,New Orleans Saints,NFC,NFC South,Pete Carmichael Jr.,OC,Ryan Nielsen,Dennis Allen 1st year as HC
2022,New York Giants,NFC,NFC East,Mike Kafka,OC,Don Martindale,Daboll 1st year as HC; Giants made playoffs
2022,New York Jets,AFC,AFC East,Mike LaFleur,OC,Jeff Ulbrich,
2022,Philadelphia Eagles,NFC,NFC East,Shane Steichen,OC,Jonathan Gannon,Eagles went to SB LVII
2022,Pittsburgh Steelers,AFC,AFC North,Matt Canada,OC,Teryl Austin,Butler retired; Austin promoted
2022,San Francisco 49ers,NFC,NFC West,Kyle Shanahan,HC,DeMeco Ryans,McDaniel left as HC in MIA; Shanahan called plays
2022,Seattle Seahawks,NFC,NFC West,Shane Waldron,OC,Clint Hurtt,Carroll final full year
2022,Tampa Bay Buccaneers,NFC,NFC South,Byron Leftwich,OC,Todd Bowles,Brady retired mid-offseason then returned
2022,Tennessee Titans,AFC,AFC South,Todd Downing,OC,Shane Bowen,
2022,Washington Commanders,NFC,NFC East,Scott Turner,OC,Jack Del Rio,
2023,Arizona Cardinals,NFC,NFC West,Drew Petzing,OC,Nick Rallis,Gannon 1st year as HC
2023,Atlanta Falcons,NFC,NFC South,Dave Ragone,OC,Ryan Nielsen,Ragone fired mid-season; Nielsen took over offense
2023,Baltimore Ravens,AFC,AFC North,Todd Monken,OC,Mike Macdonald,Macdonald hired as Seahawks HC after season
2023,Buffalo Bills,AFC,AFC East,Ken Dorsey,OC,Leslie Frazier,Dorsey fired mid-season; Brady interim; Frazier resigned
2023,Carolina Panthers,NFC,NFC South,Thomas Brown,OC,Ejiro Evero,Canales 1st year as HC; Brown called plays
2023,Chicago Bears,NFC,NFC North,Luke Getsy,OC,Eric Washington,
2023,Cincinnati Bengals,AFC,AFC North,Brian Callahan,OC,Lou Anarumo,Callahan hired as Titans HC after season
2023,Cleveland Browns,AFC,AFC North,Alex Van Pelt,OC,Jim Schwartz,Schwartz came out of retirement
2023,Dallas Cowboys,NFC,NFC East,Brian Schottenheimer,OC,Dan Quinn,Quinn hired as Seahawks HC after season
2023,Denver Broncos,AFC,AFC West,Joe Lombardi,OC,Ejiro Evero,Hackett fired; Payton 1st year as HC
2023,Detroit Lions,NFC,NFC North,Ben Johnson,OC,Aaron Glenn,
2023,Green Bay Packers,NFC,NFC North,Adam Stenavich,OC,Joe Barry,Barry fired after season
2023,Houston Texans,AFC,AFC South,Bobby Slowik,OC,Matt Burke,Slowik 1st year as OC; DeMeco Ryans 1st year as HC
2023,Indianapolis Colts,AFC,AFC South,Jim Bob Cooter,OC,Gus Bradley,Steichen 1st year as HC
2023,Jacksonville Jaguars,AFC,AFC South,Press Taylor,OC,Mike Caldwell,
2023,Kansas City Chiefs,AFC,AFC West,Matt Nagy,OC,Steve Spagnuolo,Bieniemy left; Nagy hired; Reid still called plays
2023,Las Vegas Raiders,AFC,AFC West,Mick Lombardi,HC,Patrick Graham,McDaniels called plays then fired mid-season
2023,Los Angeles Chargers,AFC,AFC West,Kellen Moore,OC,Derrick Ansley,Staley fired after season
2023,Los Angeles Rams,NFC,NFC West,Mike LaFleur,HC,Raheem Morris,McVay called plays; LaFleur title only
2023,Miami Dolphins,AFC,AFC East,Frank Smith,HC,Vic Fangio,McDaniel called plays
2023,Minnesota Vikings,NFC,NFC North,Wes Phillips,OC,Brian Flores,
2023,New England Patriots,AFC,AFC East,Bill O'Brien,OC,Steve Belichick,Belichick final year; both fired after season
2023,New Orleans Saints,NFC,NFC South,Pete Carmichael Jr.,OC,Ryan Nielsen,
2023,New York Giants,NFC,NFC East,Mike Kafka,OC,Don Martindale,Martindale fired mid-season
2023,New York Jets,AFC,AFC East,Nathaniel Hackett,OC,Jeff Ulbrich,Rodgers torn ACL Week 1
2023,Philadelphia Eagles,NFC,NFC East,Brian Johnson,OC,Sean Desai,Steichen left as HC in IND
2023,Pittsburgh Steelers,AFC,AFC North,Matt Canada,OC,Teryl Austin,Canada fired mid-season; Faulkner interim
2023,San Francisco 49ers,NFC,NFC West,Kyle Shanahan,HC,Steve Wilks,Shanahan called plays
2023,Seattle Seahawks,NFC,NFC West,Shane Waldron,OC,Clint Hurtt,Carroll final season
2023,Tampa Bay Buccaneers,NFC,NFC South,Dave Canales,OC,Kacy Rodgers,Canales hired as Panthers HC after season
2023,Tennessee Titans,AFC,AFC South,Tim Kelly,OC,Shane Bowen,Vrabel fired after season
2023,Washington Commanders,NFC,NFC East,Eric Bieniemy,OC,Jack Del Rio,Del Rio fired after season
2024,Arizona Cardinals,NFC,NFC West,Drew Petzing,OC,Nick Rallis,
2024,Atlanta Falcons,NFC,NFC South,Zac Robinson,OC,Jeff Ulbrich,Raheem Morris 1st year as HC
2024,Baltimore Ravens,AFC,AFC North,Todd Monken,OC,Zach Orr,Macdonald left as HC in SEA; Orr promoted
