"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Puka Nacua","LA","WR","1","2025","1","16","SEA","44","86.3","9.8","156","35.2","16","16.0","32.7","0.36","12","75.0","225","225.0","49.2","5.11","14.06","18.75","128","10.67","55","4.58","2","66.7","2","1","1","2","13","48.1","3","0.25","7","0.159","0","","13","81.3","1","6.3","3","2","66.7","0","156.3","39.0","6.2","68.2","27.3","2.3","2.3","1.06","46.5","46.5","32.5","32.5","0.74","32.5"
"2","Michael Wilson","ARZ","WR","1","2025","1","11","SF","47","82.5","12.7","229","60.9","18","18.0","31.6","0.38","15","83.3","185","185.0","40.9","3.94","10.28","12.33","40","2.67","21","1.40","0","0.0","0","0","0","4","14","40.0","0","","9","0.191","0","","16","88.9","0","","7","6","85.7","0","109.5","39.1","1.9","83.0","17.0","","","0.71","33.5","33.5","29.4","29.4","0.63","29.4"
"3","DeVonta Smith","PHI","WR","1","2025","1","7","MIN","26","100.0","15.6","172","61.9","11","11.0","47.8","0.42","9","81.8","183","183.0","56.1","7.04","16.64","20.33","40","4.44","21","2.33","1","33.3","0","0","0","3","8","66.7","0","","5","0.192","0","","11","100.0","1","9.1","3","1","33.3","1","149.1","47.8","7.3","38.5","61.5","","","1.28","33.3","33.3","18.1","18.1","0.70","18.1"
"4","Puka Nacua","LA","WR","1","2025","1","15","DET","26","63.4","12.7","140","31.5","11","11.0","28.9","0.42","9","81.8","181","181.0","49.2","6.96","16.45","20.11","62","6.89","38","4.22","0","0.0","0","0","0","2","11","34.4","3","0.33","8","0.308","1","9.1","11","100.0","0","","2","1","50.0","1","118.8","47.8","8.0","65.4","34.6","","","1.07","27.9","27.9","22.4","22.4","0.83","21.7"
"5","Puka Nacua","LA","WR","1","2025","1","4","IND","38","84.4","10.9","164","50.0","15","15.0","36.6","0.39","13","86.7","170","170.0","45.3","4.47","11.33","13.08","56","4.31","24","1.85","1","33.3","2","0","0","4","14","50.0","0","","8","0.211","0","","13","86.7","2","13.3","0","0","0.0","1","136.1","44.1","3.2","73.7","23.7","2.6","","0.95","36.0","36.0","21.3","21.3","0.56","21.3"
"6","George Pickens","DAL","WR","1","2025","1","6","CAR","31","91.2","11.8","130","61.0","11","11.0","32.4","0.35","9","81.8","168","168.0","64.4","5.42","15.27","18.67","85","9.44","49","5.44","1","33.3","1","2","0","1","10","52.6","2","0.22","7","0.226","0","","9","81.8","0","","1","1","100.0","0","149.1","36.7","7.0","71.0","29.0","","","1.03","31.8","31.8","21.3","21.3","0.69","21.3"
"7","Jaxon Smith-Njigba","SEA","WR","1","2025","1","12","TEN","26","96.3","13.6","136","66.0","10","10.0","38.5","0.38","8","80.0","167","167.0","68.4","6.42","16.70","20.88","72","9.00","15","1.88","2","100.0","5","2","1","3","9","56.3","2","0.25","5","0.192","0","","9","90.0","0","","1","0","0.0","0","158.3","41.7","8.0","73.1","26.9","","","1.43","37.1","37.1","21.1","21.1","0.79","20.6"
"8","Malik Nabers","NYG","WR","1","2025","1","2","DAL","42","93.3","21.5","279","52.9","13","13.0","31.7","0.31","9","69.2","167","167.0","37.1","3.98","12.85","18.56","18","2.00","6","0.67","2","66.7","1","3","2","6","12","44.4","2","0.22","6","0.143","1","7.7","10","76.9","0","","1","1","100.0","1","119.4","33.3","2.7","85.7","14.3","","","0.90","37.7","37.7","22.9","22.9","0.55","22.9"
"9","Puka Nacua","LA","WR","1","2025","1","14","ARZ","20","64.5","13.9","153","63.0","11","11.0","35.5","0.55","7","63.6","167","167.0","59.4","8.35","15.18","23.86","30","4.29","17","2.43","2","66.7","0","0","0","4","10","43.5","0","","7","0.350","1","9.1","9","81.8","0","","6","5","83.3","4","146.8","50.0","6.3","45.0","55.0","","","1.79","35.7","35.7","18.8","18.8","0.94","18.8"
"10","Kyle Pitts","ATL","TE","1","2025","1","15","TB","40","88.9","7.3","87","24.9","12","12.0","27.3","0.30","11","91.7","166","166.0","44.5","4.15","13.83","15.09","82","7.45","9","0.82","3","100.0","3","1","1","0","5","20.0","2","0.18","8","0.200","0","","12","100.0","0","","2","1","50.0","0","158.3","30.0","6.5","17.5","42.5","40.0","","1.14","45.6","45.6","21.8","21.8","0.54","21.8"
"11","Ja'Marr Chase","CIN","WR","1","2025","1","2","JAX","47","97.9","7.0","112","30.6","16","16.0","35.6","0.34","14","87.5","165","165.0","52.1","3.51","10.31","11.79","90","6.43","26","1.86","1","33.3","3","0","0","2","15","46.9","3","0.21","10","0.213","0","","15","93.8","4","25.0","3","2","66.7","0","130.5","39.0","3.1","63.8","36.2","","","0.78","36.5","36.5","28.9","28.9","0.61","28.9"
"12","Amon-Ra St. Brown","DET","WR","1","2025","1","15","LA","41","97.6","7.9","143","32.6","18","18.0","43.9","0.44","13","72.2","164","164.0","48.5","4.00","9.11","12.62","71","5.46","17","1.31","2","66.7","7","1","1","1","16","55.2","4","0.31","9","0.220","0","","13","72.2","1","5.6","1","1","100.0","0","137.3","48.6","1.7","39.0","58.5","","2.4","1.01","41.4","41.4","36.9","36.9","0.90","36.9"
