Coach,Coach,Coach,Coach,Coach,Record,Record,Record,Record,Points,Points,Points,Points,Points,Plays,Plays,Plays,Plays,Plays,Plays,Plays,Plays
RANK,COACH,ROLE,TEAM,G,W,L,T,WIN %,PF,PA,DIFF,PF/G,PA/G,PLAYS,PLAYS/G,YDS,Y/P,EPA/P,SUCC %,PASS %,RUN %
,,,,,8.32258064516129,7.967741935483871,0.0967741935483871,50.18387096774194,361.51612903225805,357.83870967741933,3.6774193548387095,21.996774193548383,21.8741935483871,990.5483870967741,60.590322580645164,5821.1612903225805,5.86774193548387,0.05358064516129033,48.951612903225815,57.890322580645176,42.11290322580644
1,DeMeco Ryans,DC,SF,17,13,4,0,76.5,450,277,173,26.5,16.3,982,57.8,5417,5.52,-0.045,45.5,63,37
2,Leslie Frazier,DC,BUF,16,13,3,0,81.3,455,286,169,28.4,17.9,957,59.8,5394,5.64,0.009,48.3,62.6,37.4
3,Jonathan Gannon,DC,PHI,17,14,3,0,82.4,477,344,133,28.1,20.2,1002,58.9,5616,5.6,0.064,48.7,58.8,41.2
4,Steve Spagnuolo,DC,KC,17,14,3,0,82.4,496,369,127,29.2,21.7,1038,61.1,5967,5.75,0.069,49.5,63.4,36.6
5,Dan Quinn,DC,DAL,17,12,5,0,70.6,467,342,125,27.5,20.1,1047,61.6,5965,5.7,-0.002,48.7,55.2,44.8
6,Lou Anarumo,DC,CIN,16,12,4,0,75,418,322,96,26.1,20.1,966,60.4,5534,5.73,0.01,46.4,59.8,40.2
7,Mike Caldwell,DC,JAX,17,9,8,0,52.9,404,350,54,23.8,20.6,1071,63,6207,5.8,0.032,48.6,59.3,40.7
8,Mike Macdonald,DC,BLT,17,10,7,0,58.8,350,315,35,20.6,18.5,999,58.8,5818,5.82,0.054,49.8,62,38
9,Aaron Glenn,DC,DET,17,9,8,0,52.9,453,427,26,26.6,25.1,1037,61,6937,6.69,0.138,52.2,58.1,41.9
10,Renaldo Hill,DC,LAC,17,10,7,0,58.8,391,384,7,23,22.6,962,56.6,6171,6.41,0.074,50.3,55.1,44.9
11,Clint Hurtt,DC,SEA,17,9,8,0,52.9,407,401,6,23.9,23.6,1072,63.1,6445,6.01,0.069,48.3,54,46
12,Al Holcomb,DC,CAR,12,6,6,0,50,254,252,2,21.2,21,737,61.4,4358,5.91,0.077,50.1,57.1,43
13,Joe Barry,DC,GB,17,8,9,0,47.1,370,371,-1,21.8,21.8,957,56.3,5925,6.19,0.08,50.6,52.2,47.8
14,Josh Boyer,DC,MIA,17,9,8,0,52.9,397,399,-2,23.4,23.5,1046,61.5,6033,5.77,0.077,46.3,62.6,37.4
15,Ed Donatell,DC,MIN,17,13,4,0,76.5,424,427,-3,24.9,25.1,1080,63.5,6849,6.34,0.078,50.3,60.7,39.3
16,Don Martindale,DC,NYG,17,9,7,1,52.9,365,371,-6,21.5,21.8,1037,61,6360,6.13,0.109,49.5,57.5,42.5
17,"Ryan Nielsen, Kris Richard",DC,NO,17,7,10,0,41.2,330,345,-15,19.4,20.3,1028,60.5,5631,5.48,0.003,47.5,54.7,45.3
18,Jeff Ulbrich,DC,NYJ,17,7,10,0,41.2,296,316,-20,17.4,18.6,1048,61.6,5594,5.34,0.014,46.1,56,44
19,Joe Woods,DC,CLV,17,7,10,0,41.2,361,381,-20,21.2,22.4,1007,59.2,5842,5.8,0.068,48.9,52.9,47.1
20,Dean Pees,DC,ATL,17,7,10,0,41.2,365,386,-21,21.5,22.7,1061,62.4,6304,5.94,0.092,54.8,54.7,45.3
21,Jack Del Rio,DC,WAS,17,8,8,1,47.1,321,343,-22,18.9,20.2,955,56.2,5457,5.71,-0.005,43.8,57.5,42.5
22,Patrick Graham,DC,LV,17,6,11,0,35.3,395,418,-23,23.2,24.6,1050,61.8,6428,6.12,0.09,54.5,58.5,41.5
23,Phil Snow,DC,CAR,5,1,4,0,20,93,122,-29,18.6,24.4,331,66.2,1825,5.51,0.024,47.1,55,45
24,Teryl Austin,DC,PIT,17,9,8,0,52.9,308,346,-38,18.1,20.4,984,57.9,5904,6,0.077,46.4,58.7,41.3
25,"Larry Foote, Kacy Rodgers",DC,TB,17,8,9,0,47.1,313,358,-45,18.4,21.1,1028,60.5,5844,5.68,0.044,44.9,58.1,41.9
26,Shane Bowen,DC,TEN,17,7,10,0,41.2,298,359,-61,17.5,21.1,1061,62.4,6242,5.88,0.055,45.9,66,34
27,Ejiro Evero,DC,DEN,17,5,12,0,29.4,287,359,-72,16.9,21.1,1043,61.4,5685,5.45,-0.009,47.5,60.5,39.5
28,Raheem Morris,DC,LA,17,5,12,0,29.4,307,384,-77,18.1,22.6,1011,59.5,6048,5.98,0.067,51.5,57.5,42.5
29,Vance Joseph,DC,ARZ,17,4,13,0,23.5,340,449,-109,20,26.4,1039,61.1,6197,5.96,0.072,53.4,59.3,40.7
30,Alan Williams,DC,CHI,17,3,14,0,17.6,326,463,-137,19.2,27.2,1023,60.2,6514,6.37,0.13,52.7,50,50
31,Gus Bradley,DC,IND,17,4,12,1,23.5,289,427,-138,17,25.1,1048,61.6,5945,5.67,0.046,49.4,53.8,46.2
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-10 04:45 UTC,,,,,,,,,,,,,,,,,,,,,
