,Team Details,Team Details,Team Details,Team Details,Man/Zone,Man/Zone,Man/Zone,Man/Zone,Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Disguised Coverage,Disguised Coverage,Disguised Coverage,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press
Season,Rank,Name,G,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,DISGUISE %,TO 1-HI %,TO 2-HI %,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,BASE %,NICKEL %,DIME %,PRESS % (ANY),PRESS % (TGT)
2026,,League Avg,,,19.2,0.56,76.2,0.41,48.8,0.48,51.2,0.5,30.5,22.9,7.5,3.1,14.9,11.2,0.9,33,17.1,14.9,16.9,73.3,9,24.8,6.8
2026,1,Detroit Lions,1,63,25.4,0.68,69.8,0.25,50.8,0.47,49.2,0.35,39.7,31.7,7.9,15.9,7.9,6.3,1.6,41.3,12.7,9.5,19,69.8,6.3,9.5,1.6
2026,2,Minnesota Vikings,1,46,4.3,0,82.6,0.45,32.6,0.2,67.4,0.59,10.9,2.2,8.7,0,4.3,23.9,0,28.3,15.2,15.2,30.4,69.6,0,34.8,8.7
2026,3,Atlanta Falcons,1,43,18.6,0.07,74.4,0.22,67.4,0.14,32.6,0.56,44.2,41.9,2.3,0,16.3,2.3,2.3,48.8,16.3,7,11.6,86,0,32.6,7
2026,4,Chicago Bears,1,43,44.2,0.45,51.2,0.95,60.5,0.88,39.5,0.64,25.6,25.6,0,2.3,41.9,18.6,0,18.6,11.6,2.3,16.3,81.4,2.3,32.6,4.7
2026,5,Buffalo Bills,1,42,16.7,0.63,83.3,0.4,38.1,0.83,61.9,0.2,38.1,14.3,23.8,0,7.1,11.9,9.5,31,19,21.4,19,47.6,33.3,28.6,11.9
2026,6,Seattle Seahawks,1,42,9.5,0,88.1,0.23,38.1,0.17,61.9,0.38,31,23.8,7.1,0,9.5,9.5,0,28.6,9.5,40.5,2.4,95.2,0,16.7,7.1
2026,7,New Orleans Saints,1,41,2.4,0,90.2,0.3,58.5,0.39,41.5,0.36,24.4,22,2.4,0,2.4,4.9,0,56.1,7.3,22,17.1,82.9,0,4.9,2.4
2026,8,Los Angeles Chargers,1,39,10.3,0.51,84.6,0.3,35.9,0.39,64.1,0.43,15.4,5.1,10.3,0,7.7,15.4,0,28.2,30.8,10.3,17.9,46.2,35.9,46.2,17.9
2026,9,New York Jets,1,39,23.1,0.69,74.4,0.19,41,0.45,59,0.2,28.2,25.6,2.6,2.6,20.5,28.2,0,20.5,5.1,20.5,5.1,94.9,0,25.6,0
2026,10,Carolina Panthers,1,38,7.9,0.57,89.5,0.88,63.2,1.14,36.8,0.6,52.6,42.1,7.9,0,7.9,18.4,0,55.3,10.5,5.3,28.9,47.4,21.1,2.6,2.6
2026,11,Philadelphia Eagles,1,38,21.1,0.74,71.1,0.27,52.6,0.76,47.4,0.12,31.6,31.6,0,7.9,13.2,0,0,34.2,15.8,21.1,15.8,78.9,5.3,21.1,2.6
2026,12,Las Vegas Raiders,1,37,8.1,0.19,86.5,0.27,62.2,0.32,37.8,0.66,43.2,27,16.2,0,8.1,13.5,0,51.4,5.4,16.2,8.1,89.2,2.7,21.6,8.1
2026,13,Tampa Bay Buccaneers,1,37,27,0.37,70.3,0.23,73,0.44,27,0.18,40.5,29.7,10.8,5.4,21.6,13.5,0,48.6,8.1,0,10.8,89.2,0,21.6,2.7
