,Team Details,Team Details,Team Details,Splits,Splits,Splits,Team Details,Man/Zone,Man/Zone,Man/Zone,Man/Zone,Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Disguised Coverage,Disguised Coverage,Disguised Coverage,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press
Season,Rank,Name,G,WEEK,OPP,DB %,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,DISGUISE %,TO 1-HI %,TO 2-HI %,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,BASE %,NICKEL %,DIME %,PRESS % (ANY),PRESS % (TGT)
2026,,League Avg,,,,,,22.4,0.5,72.5,0.4,51.5,0.37,48.5,0.54,31.8,20.7,10.4,2.8,17.9,14.1,1.5,32.4,14.5,11.4,19.6,70.7,9.2,23.8,6.6
2026,1,Cincinnati Bengals,1,2,HST,100,63,17.5,0.21,69.8,0.33,44.4,0.29,55.6,0.26,30.2,19,11.1,3.2,14.3,19,0,27,7.9,15.9,4.8,84.1,9.5,7.9,3.2
2026,2,Indianapolis Colts,1,2,KC,100,51,29.4,0.75,68.6,0.47,51,0.29,49,0.86,15.7,3.9,11.8,3.9,23.5,21.6,0,27.5,9.8,9.8,21.6,70.6,7.8,29.4,5.9
2026,3,Green Bay Packers,1,2,NYJ,100,49,10.2,0.99,83.7,0.26,40.8,0.45,59.2,0.23,44.9,26.5,18.4,0,10.2,14.3,0,26.5,30.6,12.2,20.4,79.6,0,22.4,4.1
2026,4,New England Patriots,1,2,PIT,100,46,52.2,0.08,45.7,0.21,56.5,0.1,43.5,0.18,45.7,19.6,21.7,2.2,41.3,13,8.7,15.2,15.2,2.2,6.5,89.1,2.2,56.5,17.4
2026,5,Buffalo Bills,1,2,DET,100,44,13.6,1.02,79.5,0.42,43.2,0.54,56.8,0.78,29.5,11.4,18.2,2.3,9.1,13.6,2.3,31.8,22.7,11.4,15.9,50,31.8,9.1,4.5
2026,6,Dallas Cowboys,1,2,WAS,100,42,21.4,0.72,76.2,0.5,54.8,0.81,45.2,0.2,23.8,21.4,2.4,4.8,16.7,0,0,38.1,19,19,4.8,92.9,2.4,28.6,4.8
2026,7,Minnesota Vikings,1,2,CHI,100,42,4.8,0.06,78.6,0.27,40.5,0.12,59.5,0.29,21.4,7.1,11.9,2.4,2.4,21.4,0,33.3,9.5,14.3,42.9,42.9,14.3,7.1,0
2026,8,Tennessee Titans,1,2,PHI,100,42,11.9,1.18,83.3,0.36,26.2,0.25,73.8,0.48,28.6,21.4,7.1,2.4,9.5,14.3,0,16.7,28.6,23.8,4.8,90.5,4.8,11.9,4.8
