,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,FP,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,SNAP %,DB,ATT,CMP,CMP %,YDS,YPA,TD,XTD,INT,1D,RATE,ANY/A,SUCC %,SACK,SACK %,SK YDS,SCR,SCR YDS,SCR TD,ATT,YDS,TD,CPOE,ADJ CMP %,ADOT,AYDS,DEEP %,EZATT,YAC %,1ST RD %,ACC %,CATCH %,OFF TGT %,HERO %,TWT %,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QBSK,PRESS %,QK PRES %,P2S %,PRES O/E,RB TGT %,WR TGT %,TE TGT %,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,CKD %,RPO %,TA,BPA,SPK,EPA,EPA/DB,EPA/P,FP/DB,FP/OPP,FP,XFP,FP/G,XFP/G,DIFF,PASS FP,RUSH FP
2026,,League Avg,,,,,,,85.83513513513512,31.324324324324323,27.45945945945946,17.864864864864863,65.1,197.7027027027027,7.2,1.2972972972972974,1.3778378378378375,0.5135135135135135,9.45945945945946,89.98648648648647,6.34,49,2.108108108108108,6.7,13.162162162162161,1.7567567567567568,12.783783783783784,0.08108108108108109,3.27027027027027,14.864864864864865,0.16216216216216217,3.2,76.7,8.16,205.21621621621622,10.5,1.7027027027027026,46.4,66.4,61.1,76,14.7,4.1,3,4.9,10.972972972972974,2.5456756756756747,2.5478378378378386,2.8470270270270275,3.973513513513514,0.40540540540540543,35.3,16.3,19.1,4.8,18.5,59.5,22,40.9,30.6,12,16.6,11.1,2.5,1.4054054054054055,0.3783783783783784,0.16216216216216217,2.924324324324324,0.094,0.095,0.46,0.47,14.964864864864863,16.021621621621613,14.96216216216216,16.023243243243243,-1.0610810810810811,12.586486486486482,2.378378378378379
2026,1,Patrick Mahomes,KC,QB,1,2,IND,100,100,51,47,32,68.1,382,8.13,3,3.64,0,19,114,8.8,55.3,2,3.9,11,2,17,0,2,17,0,13.6,89.7,6.77,264,8.5,3,58.9,66,57.4,76.6,6.4,8.5,2.1,6.4,55,2.5,2.54,3.45,5.5,1,27.5,13.7,14.3,-3.2,25,45,30,17.5,42.5,15,25,10.6,5.9,5,2,0,13.9,0.273,0.273,0.57,0.57,29,28.7,28.98,28.72,0.26,27.3,1.7
2026,2,C.J. Stroud,HST,QB,1,2,CIN,100,98.7,62,55,30,54.5,353,6.42,0,0.97,0,15,74.3,5.32,43.6,4,6.5,39,3,29,0,3,29,0,-5.9,63.8,9.67,445,12.7,4,41.4,54.5,52.7,61.8,20,3.6,0,0,0,2.71,2.5,3.73,5.33,0,43.5,22.6,14.8,10.8,16.7,50,33.3,31.3,35.4,20.8,12.5,7.3,1.6,4,0,2,-4.1,-0.066,-0.066,0.27,0.28,17,19.5,17.02,19.45,-2.43,14.1,2.9
2026,3,Matthew Stafford,LA,QB,1,2,NYG,100,100,33,31,22,71,327,10.55,4,2.65,1,15,131.3,11.03,58.1,1,3,9,1,2,0,4,-1,0,10.6,80,11.37,341,16.1,2,38.5,80.6,74.2,93.5,3.2,6.5,3.2,6.5,4,2.33,2.7,4.5,5.3,0,18.2,6.1,16.7,-10.3,10,50,40,40,33.3,13.3,13.3,3.2,0,0,0,1,18,0.546,0.546,0.86,0.87,28,24.9,27.98,24.93,3.05,28.1,-0.1
2026,4,Jared Goff,DET,QB,1,2,BUF,100,100,44,38,26,68.4,327,8.61,4,2.62,0,19,130,8.79,63.2,4,9.1,38,2,7,0,3,7,0,5.4,77.1,8.91,312,5.3,4,41.3,60.5,60.5,71.1,21.1,7.9,2.6,2.6,5,2.73,2.55,3.52,4.8,0,40.9,13.6,22.2,8.9,22.9,57.1,20,34.3,31.4,11.4,22.9,21.1,0,0,3,0,18.2,0.414,0.365,0.68,0.66,29.8,23.3,29.78,23.25,6.53,29.1,0.7
2026,5,Bo Nix,DEN,QB,1,2,JAX,100,100,31,31,22,71,288,9.29,1,1.51,1,13,97.2,8.48,54.8,0,0,0,0,0,0,5,6,0,6.8,78.6,9.64,270,12.9,2,38.2,67.7,71,77.4,12.9,6.5,6.5,0,0,2.51,2.41,0,0,0,25.8,12.9,0,-7.5,21.4,64.3,14.3,39.3,28.6,14.3,17.9,12.9,3.2,3,0,0,8.4,0.272,0.293,0.47,0.46,15.1,17.3,15.12,17.31,-2.19,14.5,0.6
2026,6,Brock Purdy,SF,QB,1,2,MIA,100,85.7,25,22,20,90.9,287,13.05,2,2.33,0,16,149.1,14.86,81.8,0,0,0,3,30,1,3,30,1,27.4,100,8.33,175,0,1,41.1,68.2,81.8,95.5,0,9.1,0,4.5,4,2.28,2.13,0,2.63,0,16,12,0,-9.8,28.6,52.4,19,28.6,33.3,23.8,14.3,9.1,4,1,0,0,26.4,1.058,1.058,1.14,1.14,28.5,22.7,28.48,22.72,5.76,19.5,9
2026,7,Bryce Young,CAR,QB,1,2,ATL,100,93.3,39,36,23,63.9,287,7.97,3,3.83,0,12,116.3,8.74,47.2,2,5.1,15,1,6,0,1,6,0,6.6,76.7,10.1,303,19.4,6,32.4,61.1,44.4,63.9,19.4,5.6,0,0,0,2.78,2.48,3.05,3.8,0,43.6,25.6,11.8,8.4,10,70,20,43.3,36.7,10,10,5.6,2.6,4,1,0,12.1,0.312,0.312,0.62,0.62,24.1,26.6,24.08,26.62,-2.54,23.5,0.6
2026,8,Dak Prescott,DAL,QB,1,2,WAS,100,100,36,31,26,83.9,279,9,4,3.52,0,16,143.8,10.48,67.7,2,5.6,13,3,23,0,4,26,0,13.8,86.7,8,240,12.9,4,36.9,71,74.2,90.3,6.5,3.2,0,0,0,2.49,2.46,3.55,5.53,0,44.4,27.8,12.5,15.9,10,76.7,13.3,63.3,20,3.3,13.3,9.7,2.8,0,0,0,16.6,0.462,0.459,0.82,0.8,29.8,27.5,29.76,27.54,2.22,27.2,2.6
