,Player Details,Player Details,Player Details,Player Details,Player Details,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Total Rushing,Total Rushing,Total Rushing,Scrambles,Scrambles,Scrambles,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,DB,ATT,CMP,CMP %,YDS,YPA,TD,INT,1D,RATE,SACK,SACK %,SK YDS,ANY/A,ATT,YDS,TD,SCR,SCR YDS,SCR TD,FP/DB,FP/OPP,FP,FP/G,OPP
2026,,League Avg,,,,31.694444444444443,27.61111111111111,18.055555555555557,65.4,200.69444444444446,7.27,1.4722222222222223,0.6111111111111112,9.25,91.48333333333333,2,6.3,11.5,6.45,4.111111111111111,18.27777777777778,0.25,2.0833333333333335,16.13888888888889,0.19444444444444445,0.51,0.51,16.43888888888889,16.43888888888889,32.77777777777778
2026,1,Tyler Shough,NO,QB,1,63,56,35,62.5,410,7.32,3,2,19,87.6,5,7.9,32,5.7,4,8,0,2,4,0,0.43,0.42,26.2,26.2,64
2026,2,Jordan Love,GB,QB,1,46,42,21,50,387,9.21,2,1,16,88.1,4,8.7,34,7.57,1,0,0,0,0,0,0.49,0.48,21.5,21.48,47
2026,3,Bryce Young,CAR,QB,1,41,37,23,62.2,361,9.76,3,1,17,110.3,2,4.9,8,9.44,2,10,1,2,10,1,0.79,0.79,32.4,32.44,41
2026,4,Josh Allen,BUF,QB,1,32,29,20,69,334,11.52,2,0,13,130.5,2,6.3,11,11.71,6,23,2,1,21,1,0.92,0.99,35.7,35.66,36
2026,5,Lamar Jackson,BLT,QB,1,30,25,17,68,324,12.96,1,0,11,124.2,2,6.7,20,12,7,40,1,3,38,0,0.69,0.9,26,25.96,30
2026,6,Jacoby Brissett,ARZ,QB,1,39,37,27,73,277,7.49,1,0,15,103.1,1,2.6,0,7.82,6,14,0,1,11,0,0.41,0.4,16.5,16.48,41
2026,7,C.J. Stroud,HST,QB,1,42,38,26,68.4,274,7.21,2,0,11,106.7,3,7.1,17,7.24,2,15,0,1,15,0,0.49,0.48,18.5,18.46,43
2026,8,Caleb Williams,CHI,QB,1,38,29,21,72.4,269,9.28,2,0,13,124.1,2,5.3,8,9.71,10,65,2,7,59,2,0.96,0.91,37.3,37.26,41
2026,9,Joe Burrow,CIN,QB,1,37,35,25,71.4,254,7.26,1,1,14,89.5,1,2.7,9,6.11,5,20,0,1,6,0,0.37,0.38,15.2,15.16,40
2026,10,Trevor Lawrence,JAX,QB,1,24,23,18,78.3,245,10.65,4,0,13,150.6,1,4.2,11,13.08,2,3,0,0,0,0,1.07,1,26.1,26.1,26
2026,11,Jaxson Dart,NYG,QB,1,33,29,23,79.3,230,7.93,3,0,14,134.2,2,6.1,1,9.32,11,54,0,2,10,0,0.67,0.68,26.6,26.6,39
2026,12,Aaron Rodgers,PIT,QB,1,42,40,24,60,221,5.53,1,0,10,83.4,2,4.8,15,5.38,3,-3,0,0,0,0,0.31,0.3,12.5,12.54,42
2026,13,Malik Willis,MIA,QB,1,37,27,15,55.6,220,8.15,0,1,7,66.9,5,13.5,35,4.38,6,39,1,5,39,1,0.48,0.47,17.7,17.7,38
2026,14,Baker Mayfield,TB,QB,1,36,28,23,82.1,216,7.71,0,0,12,98.8,4,11.1,23,6.03,5,30,1,4,31,1,0.49,0.49,14.6,14.64,36
2026,15,Geno Smith,NYJ,QB,1,26,24,19,79.2,215,8.96,0,0,7,104,0,0,0,8.96,6,7,0,2,10,0,0.37,0.34,9.3,9.3,27
2026,16,Justin Herbert,LAC,QB,1,35,27,17,63,209,7.74,1,1,9,83.7,3,8.6,22,5.4,5,29,0,5,29,0,0.41,0.41,14.3,14.26,35
2026,17,Jared Goff,DET,QB,1,41,39,26,66.7,206,5.28,2,0,10,96.7,1,2.4,2,6.1,2,2,0,1,2,0,0.4,0.39,16.4,16.44,42
2026,18,Deshaun Watson,CLV,QB,1,30,22,16,72.7,205,9.32,1,1,9,97.7,5,16.7,20,5.93,6,38,0,3,20,0,0.44,0.45,15,15,33
2026,19,Brock Purdy,SF,QB,1,36,34,25,73.5,205,6.03,3,1,12,105.6,0,0,0,6.47,5,29,0,2,26,0,0.61,0.57,22.1,22.1,39
2026,20,Jalen Hurts,PHI,QB,1,33,25,14,56,203,8.12,3,0,6,122.2,3,9.1,21,8.64,7,46,0,5,48,0,0.76,0.75,24.7,24.72,33
2026,21,Drew Lock,SEA,QB,1,24,22,16,72.7,187,8.5,1,0,8,113.3,1,4.2,7,8.7,2,13,0,1,14,0,0.54,0.53,12.8,12.78,24
2026,22,Patrick Mahomes,KC,QB,1,33,27,15,55.6,184,6.81,2,1,7,86,2,6.1,12,5.76,7,23,1,4,27,1,0.7,0.69,22.7,22.66,33
2026,23,Drake Maye,NE,QB,1,42,33,23,69.7,178,5.39,1,3,9,54.9,3,7.1,10,1.47,7,47,0,6,44,0,0.3,0.3,12.8,12.82,43
2026,24,Dak Prescott,DAL,QB,1,36,34,22,64.7,175,5.15,2,1,12,84.8,0,0,0,5,2,14,0,2,14,0,0.43,0.43,15.4,15.4,36
