,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Total Rushing,Total Rushing,Total Rushing,Scrambles,Scrambles,Scrambles,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,ATT,CMP,CMP %,YDS,YPA,TD,INT,1D,RATE,SACK,SACK %,SK YDS,ANY/A,ATT,YDS,TD,SCR,SCR YDS,SCR TD,FP/DB,FP/OPP,FP,FP/G,OPP
2026,,League Avg,,,,,,,31.324324324324323,27.45945945945946,17.864864864864863,65.1,197.7027027027027,7.2,1.2972972972972974,0.5135135135135135,9.45945945945946,89.98648648648647,2.108108108108108,6.7,13.162162162162161,6.34,3.27027027027027,14.864864864864865,0.16216216216216217,1.7567567567567568,12.783783783783784,0.08108108108108109,0.46,0.47,14.964864864864863,14.96216216216216,32.189189189189186
2026,1,Patrick Mahomes,KC,QB,1,2,IND,100,51,47,32,68.1,382,8.13,3,0,19,114,2,3.9,11,8.8,2,17,0,2,17,0,0.57,0.57,29,28.98,51
2026,2,C.J. Stroud,HST,QB,1,2,CIN,100,62,55,30,54.5,353,6.42,0,0,15,74.3,4,6.5,39,5.32,3,29,0,3,29,0,0.27,0.28,17,17.02,60
2026,3,Matthew Stafford,LA,QB,1,2,NYG,100,33,31,22,71,327,10.55,4,1,15,131.3,1,3,9,11.03,4,-1,0,1,2,0,0.86,0.87,28,27.98,32
2026,4,Jared Goff,DET,QB,1,2,BUF,100,44,38,26,68.4,327,8.61,4,0,19,130,4,9.1,38,8.79,3,7,0,2,7,0,0.68,0.66,29.8,29.78,45
2026,5,Bo Nix,DEN,QB,1,2,JAX,100,31,31,22,71,288,9.29,1,1,13,97.2,0,0,0,8.48,5,6,0,0,0,0,0.47,0.46,15.1,15.12,33
2026,6,Brock Purdy,SF,QB,1,2,MIA,100,25,22,20,90.9,287,13.05,2,0,16,149.1,0,0,0,14.86,3,30,1,3,30,1,1.14,1.14,28.5,28.48,25
2026,7,Bryce Young,CAR,QB,1,2,ATL,100,39,36,23,63.9,287,7.97,3,0,12,116.3,2,5.1,15,8.74,1,6,0,1,6,0,0.62,0.62,24.1,24.08,39
2026,8,Dak Prescott,DAL,QB,1,2,WAS,100,36,31,26,83.9,279,9,4,0,16,143.8,2,5.6,13,10.48,4,26,0,3,23,0,0.82,0.8,29.8,29.76,37
2026,9,Jalen Hurts,PHI,QB,1,2,TEN,100,42,37,26,70.3,264,7.14,2,2,16,85.9,3,7.1,12,5.05,5,16,0,2,11,0,0.42,0.4,18.2,18.16,45
2026,10,Kirk Cousins,LV,QB,1,2,LAC,100,32,29,19,65.5,253,8.72,3,1,11,113.1,2,6.3,5,8.48,4,1,0,1,4,0,0.67,0.66,21.2,21.22,32
2026,11,Tyler Shough,NO,QB,1,2,BLT,100,39,34,27,79.4,252,7.41,1,0,11,107.4,3,7.7,19,6.84,9,23,1,2,12,0,0.39,0.5,22.4,22.38,45
2026,12,Josh Allen,BUF,QB,1,2,DET,100,38,31,20,64.5,248,8,3,0,14,121.4,2,5.3,5,9.18,14,69,2,5,49,1,0.86,0.93,40.8,40.82,44
2026,13,Geno Smith,NYJ,QB,1,2,GB,100,49,41,27,65.9,247,6.02,1,0,11,90.2,4,8.2,29,5.29,5,17,0,4,17,0,0.32,0.32,15.6,15.58,49
2026,14,Deshaun Watson,CLV,QB,1,2,TB,100,35,30,24,80,238,7.93,2,0,10,121.9,2,5.7,15,8.22,7,22,0,3,14,0,0.54,0.53,19.7,19.72,37
2026,15,Lamar Jackson,BLT,QB,1,2,NO,100,38,31,21,67.7,235,7.58,1,1,11,87.4,3,7.9,31,5.26,4,34,0,4,34,0,0.42,0.43,15.8,15.8,37
2026,16,Drew Lock,SEA,QB,1,2,ARZ,100,27,26,19,73.1,235,9.04,3,0,12,139.1,1,3.7,16,10.33,0,0,0,0,0,0,0.79,0.79,21.4,21.4,27
2026,17,Daniel Jones,IND,QB,1,2,KC,100,33,31,22,71,210,6.77,1,1,12,86.8,0,0,0,5.97,3,10,0,2,7,0,0.37,0.36,12.4,12.4,34
2026,18,Drake Maye,NE,QB,1,2,PIT,100,27,22,14,63.6,208,9.45,0,1,6,75.6,3,11.1,17,5.84,4,17,0,2,20,0,0.35,0.33,9,9.02,27
2026,19,Joe Burrow,CIN,QB,1,2,HST,100,36,31,20,64.5,207,6.68,2,0,9,105.2,5,13.9,25,6.17,1,-1,0,0,0,0,0.45,0.45,16.2,16.18,36
2026,20,Malik Willis,MIA,QB,1,2,SF,100,28,23,14,60.9,197,8.57,1,0,8,103,4,14.3,15,7.48,2,6,0,1,4,0,0.44,0.43,12.5,12.48,29
2026,21,Justin Herbert,LAC,QB,1,2,LV,100,31,27,15,55.6,192,7.11,1,2,8,59.5,3,9.7,9,3.77,3,2,0,1,2,0,0.32,0.3,9.9,9.88,33
2026,22,Trevor Lawrence,JAX,QB,1,2,DEN,100,31,29,17,58.6,189,6.52,0,1,8,63.7,2,6.5,16,4.13,2,6,0,0,0,0,0.21,0.22,7.2,7.16,33
2026,23,Aaron Rodgers,PIT,QB,1,2,NE,100,44,39,23,59,187,4.79,0,1,10,60.5,4,9.1,43,2.3,1,5,0,1,5,0,0.16,0.16,6,5.98,44
2026,24,Cam Ward,TEN,QB,1,2,PHI,100,24,20,13,65,183,9.15,0,0,7,94.4,2,8.3,14,7.68,4,7,2,2,5,1,0.58,0.77,20,20.02,26
2026,25,Baker Mayfield,TB,QB,1,2,CLV,100,40,34,21,61.8,182,5.35,1,1,7,73.4,3,7.5,6,4.08,4,29,0,3,26,0,0.32,0.32,13.2,13.18,41
2026,26,Jordan Love,GB,QB,1,2,NYJ,100,32,29,16,55.2,145,5,2,0,8,91.9,3,9.4,9,5.5,0,0,0,0,0,0,0.43,0.43,13.8,13.8,32
2026,27,Carson Wentz,MIN,QB,1,2,CHI,100,24,20,11,55,143,7.15,0,0,6,77.7,3,12.5,16,5.52,3,6,0,1,4,0,0.26,0.24,6.3,6.32,26
2026,28,Caleb Williams,CHI,QB,1,2,MIN,100,32,26,15,57.7,138,5.31,0,1,5,56.2,3,9.4,20,2.52,5,42,0,3,27,0,0.23,0.26,8.7,8.72,34
2026,29,Jameis Winston,NYG,QB,1,2,LA,100,29,27,11,40.7,111,4.11,0,1,6,37.7,2,6.9,1,2.24,2,1,0,0,0,0,0.12,0.11,3.5,3.54,31
2026,30,Marcus Mariota,WAS,QB,1,2,DAL,100,17,16,11,68.8,111,6.94,1,0,7,109.1,0,0,0,8.19,1,3,0,1,3,0,0.51,0.51,8.7,8.74,17
2026,31,Jayden Daniels,WAS,QB,1,2,DAL,100,23,17,11,64.7,96,5.65,1,0,4,99.1,0,0,0,6.82,7,69,0,6,69,0,0.64,0.61,14.7,14.74,24
2026,32,Jacoby Brissett,ARZ,QB,1,2,SEA,100,31,28,17,60.7,95,3.39,1,1,4,63.8,2,6.5,14,1.87,1,7,0,1,7,0,0.24,0.24,7.5,7.5,31
2026,33,Cooper Rush,ATL,QB,1,2,CAR,100,20,17,10,58.8,86,5.06,0,2,6,32.6,1,5,3,-0.39,2,20,0,2,20,0,0.17,0.17,2.4,2.44,20
2026,34,Jack Strand,ATL,QB,1,2,CAR,100,19,15,8,53.3,59,3.93,0,1,4,35.1,2,10.5,13,0.06,2,16,0,2,16,0,0.16,0.16,2,1.96,19
2026,35,Tyson Bagent,CHI,QB,1,2,MIN,100,10,9,5,55.6,54,6,0,0,2,73.4,1,10,9,4.5,0,0,0,0,0,0,0.22,0.24,2.2,2.16,9
2026,36,Jaxson Dart,NYG,QB,1,2,LA,100,5,5,3,60,20,4,0,0,2,68.8,0,0,0,4,0,0,0,0,0,0,0.16,0.16,0.8,0.8,5
2026,37,Mason Rudolph,PIT,QB,1,2,NE,100,2,1,0,0,0,0,0,0,0,39.6,0,0,0,0,1,3,0,1,3,0,0.15,0.15,0.3,0.3,2
