,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2023,,League Avg,,,,,,,31.97067901234568,64.5,7.02,1.154320987654321,0.6620370370370371,88.9,-0.001,0.42,8.054012345679013,56.6,6.98,0.4799382716049383,0.13734567901234568,92.9,0.004,0.52,22.640432098765434,68.3,7.27,0.4228395061728395,0.49074074074074076,86.1,0.006,0.35,16.807098765432098,62.8,7.28,0.5493827160493827,0.35185185185185186,87.2,-0.001,0.41,15.16358024691358,66.4,6.73,0.6049382716049383,0.3101851851851852,90.9,-0.001,0.42
2023,1,Andy Dalton,CAR,QB,1,3,SEA,100,62,58.6,6.22,2,0,88.4,0.093,0.38,11,30,7.6,0,0,58.8,0.023,0.28,51,64.6,5.94,2,0,94.5,0.108,0.4,34,58.1,8.35,2,0,106.8,0.394,0.57,28,59.3,3.78,0,0,67.2,-0.272,0.15
2023,2,Matthew Stafford,LA,QB,1,2,SF,10.619469026548673,60,61.8,5.58,1,2,67.8,-0.092,0.27,13,50,5.83,0,1,33.3,-0.319,0.14,45,65.9,5.63,0,1,70.3,-0.068,0.22,34,62.5,6.28,0,0,80.3,0.043,0.25,26,60.9,4.61,1,2,50.3,-0.268,0.29
2023,3,Gardner Minshew,IND,QB,1,6,JAX,11.009174311926607,60,60,5.98,1,3,60.3,-0.212,0.24,11,77.8,7.11,1,1,93.8,-0.074,0.51,46,55.8,6.09,0,2,54.6,-0.206,0.19,28,57.7,4.96,0,1,54.8,-0.362,0.16,32,62.1,6.9,1,2,65.3,-0.08,0.32
2023,4,Sam Howell,WAS,QB,1,5,CHI,8.46262341325811,60,72.5,7.61,2,1,99.1,-0.049,0.41,7,50,7,1,0,112.5,0.229,0.88,51,74.4,7.44,0,1,85.4,-0.1,0.26,27,66.7,9.1,0,1,75.7,-0.026,0.31,33,76.7,6.57,2,0,115.6,-0.069,0.49
2023,5,Derek Carr,NO,QB,1,7,JAX,10.034013605442176,59,60,5.47,1,1,73.4,-0.293,0.28,7,28.6,4.86,1,0,86.9,-0.685,0.77,49,68.9,5.93,0,1,75,-0.21,0.23,28,51.9,5.11,1,0,78.9,-0.317,0.38,31,67.9,5.82,0,1,68,-0.271,0.19
2023,6,Jared Goff,DET,QB,1,7,BLT,9.034267912772584,58,62.3,5.36,0,1,68.4,-0.213,0.18,11,50,7.1,0,0,73.3,-0.279,0.26,44,70,5.33,0,1,72.2,-0.091,0.17,26,65.4,6.15,0,1,66.2,0.05,0.21,32,59.3,4.59,0,0,70.6,-0.428,0.15
2023,7,Mac Jones,NE,QB,1,1,PHI,15.303430079155673,58,64.8,5.85,3,1,91.3,-0.194,0.43,15,53.8,4.08,1,0,89.6,-0.341,0.46,43,68.3,6.41,2,1,91.8,-0.142,0.42,41,66.7,6.28,3,1,98.8,-0.28,0.53,17,60,4.73,0,0,71.8,0.013,0.21
2023,8,Zach Wilson,NYJ,QB,1,9,LAC,13.211845102505695,58,67.3,5.37,0,0,80.6,-0.419,0.19,5,50,3,0,0,56.3,-1.201,0.05,50,68.2,5.68,0,0,82.6,-0.295,0.21,17,64.3,4.93,0,0,76.2,-0.769,0.16,41,68.6,5.54,0,0,82.3,-0.274,0.21
