,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2026,,League Avg,,,,,,,31.324324324324323,65.1,7.2,1.2972972972972974,0.5135135135135135,94.3,0.094,0.46,7.027027027027027,57.3,5.78,0.40540540540540543,0.16216216216216217,84.7,-0.079,0.5,22.72972972972973,68.8,7.93,0.5405405405405406,0.32432432432432434,94.7,0.156,0.4,16.18918918918919,63.2,6.97,0.4594594594594595,0.35135135135135137,84.3,0.037,0.38,15.135135135135135,67,7.44,0.8378378378378378,0.16216216216216217,104.8,0.154,0.54
2026,1,C.J. Stroud,HST,QB,1,2,CIN,100,62,54.5,6.42,0,0,74.3,-0.066,0.27,11,36.4,5.27,0,0,54.4,-0.441,0.21,44,66.7,7.56,0,0,89.2,0.136,0.33,28,48,5.56,0,0,65.3,-0.15,0.29,34,60,7.13,0,0,81.8,0.002,0.26
2026,2,Patrick Mahomes,KC,QB,1,2,IND,100,51,68.1,8.13,3,0,114,0.273,0.57,15,64.3,5.71,2,0,119,0.178,0.75,35,68.8,8.47,1,0,105.1,0.326,0.47,26,65.2,7.78,0,0,88.9,0.087,0.29,25,70.8,8.46,3,0,135.9,0.466,0.86
2026,3,Geno Smith,NYJ,QB,1,2,GB,100,49,65.9,6.02,1,0,90.2,0.084,0.32,5,75,6,1,0,129.2,0.006,0.99,41,67.6,6.53,0,0,85.7,0.108,0.26,20,64.7,7.18,1,0,105.5,0.114,0.45,29,66.7,5.21,0,0,79.3,0.063,0.23
2026,4,Aaron Rodgers,PIT,QB,1,2,NE,100,44,59,4.79,0,1,60.5,-0.481,0.16,23,52.4,3.14,0,1,39,-0.689,0.07,20,70.6,7.12,0,0,90.6,-0.278,0.27,26,56.5,4.04,0,1,47.9,-0.644,0.1,18,62.5,5.88,0,0,78.6,-0.246,0.24
2026,5,Jared Goff,DET,QB,1,2,BUF,100,44,68.4,8.61,4,0,130,0.414,0.68,6,66.7,8.83,1,0,134,0.837,1.02,35,65.5,8.72,1,0,104.5,0.267,0.42,19,68.8,8.63,1,0,116.1,0.507,0.54,25,68.2,8.59,3,0,134.3,0.343,0.78
2026,6,Jalen Hurts,PHI,QB,1,2,TEN,100,42,70.3,7.14,2,2,85.9,0.183,0.42,5,100,9.6,1,0,146.3,1.462,1.18,35,70,7.2,1,1,87.6,0.297,0.36,11,88.9,7.56,0,0,98.1,0.092,0.25,31,64.3,7,2,2,78.9,0.215,0.48
2026,7,Baker Mayfield,TB,QB,1,2,CLV,100,40,61.8,5.35,1,1,73.4,-0.235,0.32,26,59.1,4.55,1,0,85.4,-0.061,0.4,13,63.6,7.73,0,1,49.4,-0.52,0.21,34,62.1,5.07,0,0,74.9,-0.215,0.22,6,60,7,1,1,81.3,-0.346,0.88
2026,8,Bryce Young,CAR,QB,1,2,ATL,100,39,63.9,7.97,3,0,116.3,0.312,0.62,9,55.6,3.44,1,0,99.8,-0.116,0.58,25,72.7,11.36,1,0,125.2,0.536,0.58,24,54.5,7.64,2,0,109.7,0.344,0.64,15,78.6,8.5,1,0,125.9,0.26,0.58
