,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,,70.30796963946868,26.91840607210626,71.00645161290319,6.1783681214421255,18.72049335863379,2.14,0.23,10.74561669829223,63.31878557874763,26.42960151802654,57.56356736242884,24.47153700189755,9.32,12.94,4.447817836812145,72,21.33965844402277,4.8,7.476280834914611,1.68,0.3567362428842505,0.3256546489563563,18.831878557874766,0.8140417457305503,0.4060721062618596,0.1840607210626186,2.7191650853889944,0.101,105.05294117647078,4.901328273244782,22.193548387096786,0.46110056925996207,7.5,5.032258064516129,81.4,0.8937381404174574,21.4,0.301707779886148,4.9,0.825426944971537,0.5047438330170778,61.1,0.11005692599620494,0.573055028462998,0.13,25.5,1.21,0.472,50.615180265654665,36.35730550284627,12.446299810246675,0.582732447817837,12.48121442125237,11.783111954459223,12.481252371916504,11.781480075901344,0.6997722960151802,0.46,0.43,11.679886148007608
2025,1,Puka Nacua,LA,WR,1,4,IND,8.520179372197308,9.202453987730062,82.9,38,84.4,15,36.6,4.47,0.39,10.93,164,50,170,45.3,11.33,13.08,13,86.7,56,4.31,24,1.85,1,0.42,33.3,2,0,0,8,0.211,136.1,14,50,2,13.3,13,86.7,4,16.7,0,0,0,0,0,1,0,0,44.1,3.18,0.903,73.7,23.7,2.6,0,36,29.6,36,29.57,6.43,0.95,0.78,29.6
2025,2,George Pickens,DAL,WR,1,6,CAR,5.317324185248713,8.396946564885496,83,31,91.2,11,32.4,5.42,0.35,11.82,130,61,168,64.4,15.27,18.67,9,81.8,85,9.44,49,5.44,1,0.04,33.3,1,2,0,7,0.226,149.1,10,52.6,0,0,9,81.8,1,33.3,0,0,1,1,100,0,2,0.22,36.7,7.02,1.521,71,29,0,0,31.8,18,31.8,17.99,13.81,1.03,0.58,18
2025,3,Malik Nabers,NYG,WR,1,2,DAL,33.07086614173229,40.625,98.5,42,93.3,13,31.7,3.98,0.31,21.46,279,52.9,167,37.1,12.85,18.56,9,69.2,18,2,6,0.67,2,1.9,66.7,1,3,2,6,0.143,119.4,12,44.4,0,0,10,76.9,6,33.3,1,7.7,1,1,100,1,2,0.22,33.3,2.67,0.825,85.7,14.3,0,0,37.7,36,37.7,36.04,1.66,0.9,0.86,36
2025,4,Ja'Marr Chase,CIN,WR,1,2,JAX,7.6672104404567705,8.83977900552486,96.9,47,97.9,16,35.6,3.51,0.34,7,112,30.6,165,52.1,10.31,11.79,14,87.5,90,6.43,26,1.86,1,1.19,33.3,3,0,0,10,0.213,130.5,15,46.9,4,25,15,93.8,2,18.2,0,0,3,2,66.7,0,3,0.21,39,3.13,0.696,63.8,36.2,0,0,36.5,32.9,36.5,32.91,3.59,0.78,0.7,32.9
2025,5,Emeka Egbuka,TB,WR,1,5,SEA,5.88235294117647,5.511811023622047,84.5,29,76.3,7,21.2,5.62,0.24,19.14,134,58.8,163,43,23.29,23.29,7,100,36,5.14,7,1,1,1.15,50,2,1,1,6,0.207,158.3,7,26.9,1,14.3,7,100,2,57.1,0,0,1,1,100,0,0,0,24.1,12.99,2.287,69,31,0,0,31.3,24.7,31.3,24.71,6.59,1.01,0.85,24.7
2025,6,Jaxon Smith-Njigba,SEA,WR,1,6,JAX,5.845511482254697,7.643312101910828,81.5,28,96.6,12,44.4,5.79,0.43,15,180,55.6,162,54.9,13.5,20.25,8,66.7,29,3.63,5,0.63,1,0.41,50,0,0,0,6,0.214,137.5,11,55,2,16.7,11,91.7,3,37.5,2,16.7,2,0,0,1,0,0,54.5,4.3,0.751,89.3,7.1,0,3.6,30.2,30.8,30.2,30.84,-0.64,1.08,1.1,30.8
2025,7,Drake London,ATL,WR,1,6,BUF,8.522727272727272,13.88888888888889,97,30,85.7,15,46.9,5.27,0.5,9.93,149,72.3,158,63.2,10.53,15.8,10,66.7,63,6.3,19,1.9,1,1.01,100,1,0,0,7,0.233,123.8,11,44,0,0,10,66.7,2,44.4,0,0,1,1,100,0,1,0.1,50,2.47,0.342,76.7,23.3,0,0,31.8,27.4,31.8,27.36,4.44,1.06,0.91,27.4
2025,8,Stefon Diggs,NE,WR,1,5,BUF,5.486284289276807,12,48.2,22,61.1,12,40,6.64,0.55,8.92,107,48.4,146,53.5,12.17,14.6,10,83.3,60,6,51,5.1,0,0.21,0,1,1,0,8,0.364,117.4,7,46.7,0,0,11,91.7,1,20,1,8.3,2,2,100,1,4,0.4,66.7,4.53,0.838,68.2,31.8,0,0,24.6,19.7,24.6,19.74,4.86,1.12,0.9,19.7
