,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,,League Avg,,,,,,,,50.09139344262298,16.33606557377049,45.65532786885249,3.0778688524590163,9.890163934426223,1.57,0.19,7.730327868852463,31.15983606557377,13.535245901639328,25.647540983606557,11.20737704918033,8.33,12.22,2.098360655737705,68.2,9.39344262295082,4.48,3.3524590163934427,1.6,0.18442622950819673,0.15881147540983603,9.903688524590164,0.430327868852459,0.18032786885245902,0.10245901639344263,1.2049180327868851,0.074,70.26762295081953,2.4795081967213113,11.630737704918035,0.22540983606557377,7.3,2.4754098360655736,80.4,0.42213114754098363,16.9,0.14754098360655737,4.8,0.5860655737704918,0.3442622950819672,58.7,0.04918032786885246,0.22131147540983606,0.11,21,0.22,0.297,42.09180327868855,33.78647540983606,23.405737704918028,0.7163934426229509,5.804918032786884,5.584836065573764,5.804918032786884,5.585819672131149,0.2190983606557378,0.35,0.34,5.530737704918026
2026,1,Chris Olave,NO,WR,1,1,DET,100,100,86,51,81,13,23.2,3.57,0.25,18.23,237,50.1,182,44.4,14,18.2,10,76.9,30,3,6,0.6,0,0.23,0,1,0,0,7,0.137,118.3,12,29.3,0,0,13,100,5,40,1,7.7,3,1,33.3,0,0,0,30.2,4.26,1.055,64.7,35.3,0,0,28.2,32.8,28.2,32.84,-4.64,0.55,0.64,32.8
2026,2,Zay Flowers,BLT,WR,1,1,IND,100,100,31.3,11,36.7,6,24,13.64,0.55,15.5,93,34.4,150,46.3,25,30,5,83.3,84,16.8,13,2.6,1,0.04,100,0,0,0,5,0.455,158.3,6,31.6,0,0,5,83.3,2,40,0,0,2,2,100,0,1,0.2,60,15.41,2.175,27.3,63.6,0,9.1,26,11.5,26,11.48,14.52,2.36,1.04,11.5
2026,3,Christian Watson,GB,WR,1,1,MIN,100,100,77.6,37,80.4,7,16.7,3.97,0.19,17,119,30,147,38,21,24.5,6,85.7,73,12.17,2,0.33,2,1.48,100,1,1,1,5,0.135,158.3,7,21.2,0,0,6,85.7,2,40,0,0,2,2,100,0,0,0,22.6,11.7,1.927,73,24.3,2.7,0,32.7,20.6,32.7,20.62,12.08,0.88,0.56,20.6
2026,4,Jalen Coker,CAR,WR,1,1,CHI,100,100,87.1,35,81.4,9,23.7,3.94,0.26,14.11,127,37.1,138,38.2,15.33,17.25,8,88.9,34,4.25,11,1.38,2,0.71,66.7,1,0,0,6,0.171,118.8,6,27.3,0,0,8,88.9,3,28.6,0,0,1,1,100,1,3,0.38,30,6.45,1.384,60,40,0,0,33.8,21.4,33.8,21.37,12.43,0.97,0.61,21.4
2026,5,Dalton Kincaid,BUF,TE,1,1,HST,100,100,80.8,22,68.8,6,20.7,5.91,0.27,15.67,94,28.7,130,40.1,21.67,26,5,83.3,42,8.4,10,2,0,0.24,0,0,0,0,4,0.182,118.8,3,20,0,0,6,100,2,60,1,16.7,2,2,100,0,2,0.4,28.6,10.56,1.273,22.7,31.8,45.5,0,18,15.1,18,15.1,2.9,0.82,0.69,15.1
2026,6,Jaxon Smith-Njigba,SEA,WR,1,1,NE,100,100,91.7,26,96.3,11,45.8,4.69,0.42,7.09,78,54.5,122,61,11.09,15.25,8,72.7,63,7.88,50,6.25,1,0.03,100,3,1,0,5,0.192,139.2,11,61.1,1,9.1,8,72.7,1,25,0,0,1,1,100,0,3,0.38,47.8,3.66,0.698,61.5,30.8,0,7.7,26.2,16.1,26.2,16.13,10.07,1.01,0.62,16.1
2026,7,DJ Moore,BUF,WR,1,1,HST,100,100,75,24,75,7,24.1,4.17,0.29,21.29,149,45.4,100,30.9,14.29,20,5,71.4,29,5.8,2,0.4,1,0.18,50,0,0,0,4,0.167,153.3,5,33.3,0,0,5,71.4,3,20,0,0,3,3,100,0,0,0,30.4,4.03,1.022,70.8,29.2,0,0,21,10.9,21,10.92,10.08,0.88,0.46,10.9
2026,8,Trey McBride,ARZ,TE,1,1,LAC,100,100,90.3,34,87.2,12,32.4,2.79,0.35,6.58,79,28.8,95,34.3,7.92,10.56,9,75,38,4.22,24,2.67,1,0.95,100,3,1,1,6,0.176,125.3,11,40.7,1,8.3,11,91.7,1,12.5,1,8.3,2,1,50,0,2,0.22,38.7,0.85,0.362,5.9,73.5,20.6,0,24.5,25.1,24.5,25.12,-0.62,0.72,0.74,25.1
2026,9,Matthew Golden,GB,WR,1,1,MIN,100,100,82.1,40,87,11,26.2,2.38,0.28,9.91,109,27.5,95,24.5,8.64,15.83,6,54.5,36,6,8,1.33,0,0.13,0,3,2,0,4,0.1,83.5,10,30.3,0,0,7,63.6,1,33.3,1,9.1,0,0,0,0,0,0,33.3,0.5,0.172,95,5,0,0,15.5,17,15.5,16.98,-1.48,0.39,0.42,17
2026,10,Caleb Douglas,MIA,WR,1,1,LV,100,100,90,30,81.1,6,22.2,3.13,0.2,16.33,98,32.1,94,42.7,15.67,18.8,5,83.3,37,7.4,7,1.4,0,0.02,0,0,0,0,3,0.1,79.2,6,35.3,0,0,5,83.3,1,40,0,0,0,0,0,0,1,0.2,26.1,5.76,0.536,70,30,0,0,14.4,11.7,14.4,11.67,2.73,0.48,0.39,11.7
2026,11,Justin Jefferson,MIN,WR,1,1,GB,100,100,91.8,29,96.7,9,37.5,3.17,0.31,9.78,88,49.4,92,60.9,10.22,11.5,8,88.9,28,3.5,12,1.5,2,0.59,66.7,2,1,1,5,0.172,148.8,8,53.3,2,22.2,8,88.9,1,16.7,0,0,1,1,100,0,1,0.13,40.9,2.25,1.272,79.3,20.7,0,0,31.2,16.4,31.2,16.43,14.77,1.01,0.57,16.4
2026,12,Kalif Raymond,CHI,WR,1,1,CAR,100,100,60,22,57.9,9,31,3.82,0.41,7.22,65,23.2,84,31.2,9.33,10.5,8,88.9,21,2.63,3,0.38,0,0.08,0,1,0,0,5,0.227,105.6,6,33.3,2,22.2,9,100,1,14.3,0,0,1,0,0,0,0,0,52.9,2.23,0.719,54.5,45.5,0,0,16.4,18,16.4,18.02,-1.62,0.75,0.82,18
2026,13,Parker Washington,JAX,WR,1,1,CLV,100,100,62.5,15,62.5,6,26.1,5.53,0.4,16.83,101,42.6,83,33.9,13.83,16.6,5,83.3,5,1,-1,-0.2,1,1.09,25,0,0,0,4,0.267,158.3,5,27.8,0,0,5,83.3,2,40,0,0,0,0,0,2,0,0,37.5,4.26,1.46,53.3,40,0,6.7,19.3,20.3,19.3,20.34,-1.04,1.29,1.36,20.3
2026,14,Ladd McConkey,LAC,WR,1,1,ARZ,100,100,51,18,51.4,7,25.9,4.56,0.39,13.86,97,34.5,82,39.2,11.71,16.4,5,71.4,15,3,7,1.4,1,0.15,100,2,1,0,5,0.278,150,5,23.8,0,0,6,85.7,0,25,0,0,2,1,50,0,0,0,50,2.14,0.969,33.3,66.7,0,0,19.2,13,19.2,13.02,6.18,1.07,0.72,13
2026,15,Garrett Wilson,NYJ,WR,1,1,TEN,100,100,71.4,21,80.8,7,29.2,3.76,0.33,10.57,74,49,79,36.7,11.29,13.17,6,85.7,20,3.33,6,1,0,0.08,0,0,0,0,3,0.143,113.7,6,37.5,0,0,7,100,1,33.3,0,0,1,1,100,0,0,0,36.8,2.94,0.784,90.5,9.5,0,0,13.9,15.9,13.9,15.92,-2.02,0.66,0.76,15.9
2026,16,Mike Gesicki,CIN,TE,1,1,TB,100,100,33.3,17,45.9,7,20,4.59,0.41,9.71,68,30.2,78,30.7,11.14,15.6,5,71.4,25,5,6,1.2,1,0.83,100,2,1,0,5,0.294,147.6,6,22.2,0,0,6,85.7,1,50,0,0,1,0,0,0,0,0,46.7,3.09,0.98,23.5,76.5,0,0,18.8,17.5,18.8,17.49,1.31,1.11,1.03,17.5
2026,17,Isaiah Likely,NYG,TE,1,1,DAL,100,100,50,23,69.7,8,27.6,3.39,0.35,8.25,66,26.7,78,33.9,9.75,9.75,8,100,15,1.88,0,0,2,1.76,66.7,4,1,1,6,0.261,146.9,7,31.8,0,0,8,100,0,0,0,0,2,2,100,0,2,0.25,38.1,1.72,1.379,21.7,69.6,8.7,0,27.8,24.1,27.8,24.09,3.71,1.21,1.05,24.1
2026,18,Dallas Goedert,PHI,TE,1,1,WAS,100,100,98.1,26,78.8,5,20,2.96,0.19,11.4,57,25.1,77,37.9,15.4,19.25,4,80,32,8,6,1.5,2,0.79,66.7,2,1,1,3,0.115,158.3,4,23.5,0,0,4,80,1,33.3,0,0,0,0,0,1,2,0.5,23.8,7.47,1.66,3.8,34.6,61.5,0,23.7,13.9,23.7,13.88,9.82,0.91,0.53,13.9
2026,19,Kendrick Bourne,ARZ,WR,1,1,LAC,100,100,65.3,29,74.4,8,21.6,2.59,0.28,5.25,42,15.3,75,27.1,9.38,9.38,8,100,33,4.13,16,2,0,0.06,0,1,0,0,5,0.172,105.7,6,22.2,0,0,8,100,0,0,0,0,1,1,100,0,0,0,29.6,2.93,0.727,37.9,62.1,0,0,15.5,13.7,15.5,13.73,1.77,0.53,0.47,13.7
2026,20,Nico Collins,HST,WR,1,1,BUF,100,100,69.9,33,78.6,10,26.3,2.27,0.3,12.2,122,42.8,75,27.4,7.5,10.71,7,70,9,1.29,2,0.29,1,0.47,50,2,1,1,3,0.091,125,10,30.3,0,0,8,80,2,16.7,0,0,4,4,100,0,1,0.14,32.3,-1.49,0.491,93.9,6.1,0,0,21.2,14.7,21.2,14.68,6.52,0.62,0.43,14.2
2026,21,Tetairoa McMillan,CAR,WR,1,1,CHI,100,100,85.5,39,90.7,8,21.1,1.92,0.21,14.63,117,34.2,75,20.8,9.38,15,5,62.5,21,4.2,26,5.2,0,0.09,0,1,0,0,4,0.103,93.2,6,27.3,0,0,5,62.5,1,25,0,0,0,0,0,0,1,0.2,26.7,0.01,-0.315,74.4,25.6,0,0,11.5,11.5,11.5,11.49,0.01,0.32,0.29,11.5
2026,22,Puka Nacua,LA,WR,1,1,SF,100,100,68.4,20,69,9,32.1,3.7,0.45,12.78,115,45.8,74,44,8.22,14.8,5,55.6,38,7.6,25,5,0,0.09,0,1,0,0,2,0.1,43.1,7,33.3,1,11.1,6,66.7,2,50,0,0,5,4,80,0,1,0.2,47.4,-0.83,-0.29,90,10,0,0,12.4,8.4,12.4,8.4,4,0.62,0.42,8.4
2026,23,Dontayvion Wicks,PHI,WR,1,1,WAS,100,100,90.6,27,81.8,4,16,2.7,0.15,21.5,86,37.9,73,36,18.25,36.5,2,50,22,11,3,1.5,1,1.03,33.3,1,1,1,2,0.074,135.4,4,23.5,0,0,3,75,2,100,0,0,1,0,0,0,0,0,19,7.37,0.94,70.4,29.6,0,0,15.3,14,15.3,14,1.3,0.57,0.52,14
