,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,G,ALIGN,RTE %,TGT %,RTE,TGT,YPRR,TPRR,aDOT,AY,YDS,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,2157.5581395348836,102.23255813953489,0.38,0.05,7.145193798449611,1007.3100775193799,814.9767441860465,7.97,11.85,68.79069767441861,67.3,312.1007751937984,4.54,106.68217054263566,1.55,5.441860465116279,5.339147286821701,13.89922480620155,7.558139534883721,3.147286821705426,39.6124031007752,0.018,100.48062015503875,78.43410852713178,0,7.922480620155039,7.7,80.84496124031008,79.1,14.279069767441861,17.9,5.635658914728682,5.5,17.558139534883722,10,57,1.4108527131782946,7.705426356589148,0.11,0,-0.04,0.277,1716.906976744186,1267.6418604651162,523.7511627906977,30.13953488372093,182.93953488372094,180.87519379844963,11.278914728682171,11.169534883720937,0.10937984496124038,0.08,0.08,180.87519379844963
2025,1,Dallas Cowboys,17,Wide,100,49.51219512195122,2224,203,0.96,0.09,13.67,2776,2139,10.54,16.2,132,65,615,4.66,270,2.05,18,19.35,31,29,15,97,0.044,123.6,162,0,9,4.4,152,74.9,43,26.3,12,5.9,30,21,70,3,21,0.16,0,1.64,0.633,100,70,29.1,3,453.9,438.9,26.7,25.82,0.88,0.2,0.2,438.9
2025,2,Baltimore Ravens,17,Wide,100,55.53145336225597,2428,256,0.85,0.11,12.2,3123,2057,8.04,13.36,154,60.2,539,3.5,186,1.21,7,9.27,32,23,6,91,0.037,83.4,201,0,15,5.9,184,71.9,47,24.8,14,5.5,49,29,59.2,2,12,0.08,0,-0.58,0.286,100,58.6,19.1,2,401.7,417.7,23.63,24.57,-0.94,0.17,0.17,417.7
2025,3,Tennessee Titans,17,Wide,100,49,2071,196,0.96,0.09,12.8,2509,1994,10.17,14.55,137,69.9,572,4.18,171,1.25,12,13.1,25,17,9,98,0.047,114.6,160,0,10,5.1,155,79.1,43,26.2,4,2,32,19,59.4,6,12,0.09,0,1.53,0.599,100,63.3,39.3,1.5,408.4,400.5,24.02,23.56,0.46,0.2,0.19,400.5
2025,4,Detroit Lions,17,Wide,100,51.70068027210885,2229,228,0.88,0.1,14.29,3258,1963,8.61,14.43,136,59.6,464,3.41,128,0.94,14,13.58,29,18,8,92,0.041,89.9,183,0,12,5.3,180,78.9,53,28.9,13,5.7,54,20,37,3,14,0.1,0,-0.46,0.264,100,68.4,22.8,2.2,416.3,451.7,24.49,26.57,-2.08,0.19,0.2,451.7
2025,5,Los Angeles Rams,17,Wide,100,48.063781321184514,2319,211,0.83,0.09,13,2742,1918,9.09,14.75,130,61.6,547,4.21,256,1.97,11,9.74,26,17,6,90,0.039,90.9,166,0,11,5.2,154,73,50,29.9,3,1.4,44,25,56.8,8,13,0.1,0,0.37,0.164,100,75.4,31.8,0.9,387.8,364.1,22.81,21.42,1.39,0.17,0.16,364.1
2025,6,Pittsburgh Steelers,17,Wide,100,50.65217391304348,2425,233,0.77,0.1,10.64,2478,1867,8.01,12.7,147,63.1,614,4.18,202,1.37,13,12.85,33,19,7,88,0.036,97.7,190,0,23,9.9,180,77.3,30,18.7,18,7.7,36,21,58.3,3,18,0.12,0,-0.27,0.327,100,69.1,27.5,0.9,411.7,422.8,24.22,24.87,-0.65,0.17,0.17,422.8
2025,7,Jacksonville Jaguars,17,Wide,100,52.04081632653062,2465,255,0.75,0.1,11.16,2846,1861,7.3,11.56,161,63.1,532,3.3,173,1.07,13,12.37,30,22,8,90,0.037,84.1,210,0,18,7.1,195,76.5,44,16.6,14,5.5,70,40,57.1,7,10,0.06,0,-0.93,0.025,100,63.1,26.7,2.4,425.1,422.9,25.01,24.88,0.13,0.17,0.17,422.9
2025,8,Indianapolis Colts,17,Wide,100,47.950819672131146,2448,234,0.75,0.1,11.12,2603,1845,7.88,12.38,149,63.7,552,3.7,222,1.49,15,15.96,42,20,11,95,0.039,105.8,183,0,13,5.6,183,78.2,45,21.1,17,7.3,30,14,46.7,2,16,0.11,0,-0.37,0.337,100,76.1,31.6,0.9,423.5,447.1,24.91,26.3,-1.39,0.17,0.18,447.1
2025,9,Tampa Bay Buccaneers,17,Wide,100,49.887133182844245,2255,221,0.82,0.1,12.22,2701,1844,8.34,13.76,134,60.6,562,4.19,150,1.12,12,10.34,23,23,7,87,0.039,92.3,169,0,9,4.1,156,70.6,40,20.5,11,5,37,24,64.9,5,10,0.07,0,-0.18,0.174,100,65.2,33,2.3,390.4,366.8,22.96,21.57,1.39,0.17,0.16,366.8
2025,10,Green Bay Packers,17,Wide,100,53.36658354114713,2177,214,0.85,0.1,11.75,2514,1840,8.6,13.14,140,65.4,415,2.96,142,1.01,13,9.63,27,18,7,93,0.043,108.8,155,0,10,4.7,161,75.2,34,21.3,9,4.2,47,30,63.8,10,10,0.07,0,0.13,0.468,100,55.6,29.9,1.9,402,361.4,23.65,21.26,2.39,0.18,0.17,361.4
2025,11,Atlanta Falcons,17,Wide,100,53.61596009975062,2197,215,0.82,0.1,12.9,2773,1803,8.39,13.46,134,62.3,430,3.21,168,1.25,18,14.24,26,19,9,84,0.038,99.4,177,0,10,4.7,161,74.9,45,20.7,13,6,42,22,52.4,3,14,0.1,0,-0.16,0.247,100,63.7,21.4,1.4,422.3,390.7,24.84,22.98,1.86,0.19,0.18,390.7
