"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"1","Josh Allen","QB","BUF","2026","2","DET","24.3"
"2","Jahmyr Gibbs","RB","DET","2026","2","BUF","22.7"
"3","Bijan Robinson","RB","ATL","2026","2","CAR","21.5"
"4","Christian McCaffrey","RB","SF","2026","2","MIA","20.9"
"5","Brock Purdy","QB","SF","2026","2","MIA","20.9"
"6","Jalen Hurts","QB","PHI","2026","2","TEN","20.3"
"7","Jonathan Taylor","RB","IND","2026","2","KC","20.1"
"8","Jaxson Dart","QB","NYG","2026","2","LA","20.0"
"9","Dak Prescott","QB","DAL","2026","2","WAS","19.8"
"10","Derrick Henry","RB","BLT","2026","2","NO","19.7"
"11","Jayden Daniels","QB","WAS","2026","2","DAL","19.3"
"12","Amon-Ra St. Brown","WR","DET","2026","2","BUF","19.3"
"13","Caleb Williams","QB","CHI","2026","2","MIN","18.9"
"14","Lamar Jackson","QB","BLT","2026","2","NO","18.7"
"15","Bo Nix","QB","DEN","2026","2","JAX","18.5"
"16","Patrick Mahomes","QB","KC","2026","2","IND","18.5"
"17","James Cook","RB","BUF","2026","2","DET","18.4"
"18","Joe Burrow","QB","CIN","2026","2","HST","18.2"
"19","Drake Maye","QB","NE","2026","2","PIT","18.2"
"20","Kenneth Walker III","RB","KC","2026","2","IND","18.2"
"21","Matthew Stafford","QB","LA","2026","2","NYG","18.2"
"22","Jared Goff","QB","DET","2026","2","BUF","18.1"
"23","Justin Herbert","QB","LAC","2026","2","LV","17.8"
"24","Jordan Love","QB","GB","2026","2","NYJ","17.8"
"25","Ja'Marr Chase","WR","CIN","2026","2","HST","17.7"
"26","Javonte Williams","RB","DAL","2026","2","WAS","17.5"
"27","Ashton Jeanty","RB","LV","2026","2","LAC","17.3"
"28","C.J. Stroud","QB","HST","2026","2","CIN","17.3"
"29","Baker Mayfield","QB","TB","2026","2","CLV","17.1"
"30","Puka Nacua","WR","LA","2026","2","NYG","17.1"
"31","Trevor Lawrence","QB","JAX","2026","2","DEN","17.0"
"32","Malik Willis","QB","MIA","2026","2","SF","16.9"
"33","Tyler Shough","QB","NO","2026","2","BLT","16.8"
"34","CeeDee Lamb","WR","DAL","2026","2","WAS","16.7"
"35","Bucky Irving","RB","TB","2026","2","CLV","16.4"
"36","De'Von Achane","RB","MIA","2026","2","SF","16.2"
"37","Justin Jefferson","WR","MIN","2026","2","CHI","16.1"
"38","Chase Brown","RB","CIN","2026","2","HST","16.1"
"39","Bryce Young","QB","CAR","2026","2","ATL","16.0"
"40","Jaxon Smith-Njigba","WR","SEA","2026","2","ARZ","15.8"
"41","David Montgomery","RB","HST","2026","2","CIN","15.7"
"42","Saquon Barkley","RB","PHI","2026","2","TEN","15.5"
"43","Nico Collins","WR","HST","2026","2","CIN","15.4"
"44","Jacoby Brissett","QB","ARZ","2026","2","SEA","15.3"
"45","Rhamondre Stevenson","RB","NE","2026","2","PIT","15.2"
"46","Chris Olave","WR","NO","2026","2","BLT","15.0"
"47","Breece Hall","RB","NYJ","2026","2","GB","14.9"
"48","Rashee Rice","WR","KC","2026","2","IND","14.8"
"49","Carson Wentz","QB","MIN","2026","2","CHI","14.8"
"50","Aaron Rodgers","QB","PIT","2026","2","NE","14.5"
"51","D'Andre Swift","RB","CHI","2026","2","MIN","14.4"
"52","Kyren Williams","RB","LA","2026","2","NYG","14.2"
"53","Mike Evans","WR","SF","2026","2","MIA","14.1"
"54","Drew Lock","QB","SEA","2026","2","ARZ","14.1"
"55","Deshaun Watson","QB","CLV","2026","2","TB","14.1"
"56","Trey McBride","TE","ARZ","2026","2","SEA","14.0"
"57","Geno Smith","QB","NYJ","2026","2","GB","13.9"
"58","Drake London","WR","ATL","2026","2","CAR","13.8"
"59","Daniel Jones","QB","IND","2026","2","KC","13.7"
"60","DeVonta Smith","WR","PHI","2026","2","TEN","13.7"
"61","Omarion Hampton","RB","LAC","2026","2","LV","13.5"
"62","Christian Watson","WR","GB","2026","2","NYJ","13.5"
"63","Jaylen Waddle","WR","DEN","2026","2","JAX","13.4"
"64","Kirk Cousins","QB","LV","2026","2","LAC","13.3"
"65","George Pickens","WR","DAL","2026","2","WAS","13.2"
"66","Terry McLaurin","WR","WAS","2026","2","DAL","13.2"
"67","Chuba Hubbard","RB","CAR","2026","2","ATL","13.2"
"68","Malik Nabers","WR","NYG","2026","2","LA","13.1"
"69","Davante Adams","WR","LA","2026","2","NYG","13.0"
"70","Tetairoa McMillan","WR","CAR","2026","2","ATL","12.9"
"71","Jadarian Price","RB","SEA","2026","2","ARZ","12.9"
"72","DJ Moore","WR","BUF","2026","2","DET","12.8"
"73","Quentin Johnston","WR","LAC","2026","2","LV","12.8"
"74","Cooper Rush","QB","ATL","2026","2","CAR","12.7"
"75","Tee Higgins","WR","CIN","2026","2","HST","12.7"
"76","Garrett Wilson","WR","NYJ","2026","2","GB","12.7"
"77","DK Metcalf","WR","PIT","2026","2","NE","12.7"
"78","Quinshon Judkins","RB","CLV","2026","2","TB","12.5"
"79","Sam LaPorta","TE","DET","2026","2","BUF","12.5"
"80","Cam Skattebo","RB","NYG","2026","2","LA","12.3"
"81","Zay Flowers","WR","BLT","2026","2","NO","12.3"
"82","Jameson Williams","WR","DET","2026","2","BUF","12.3"
"83","MarShawn Lloyd","RB","GB","2026","2","NYJ","12.3"
"84","Cam Ward","QB","TEN","2026","2","PHI","12.2"
"85","Luther Burden III","WR","CHI","2026","2","MIN","12.1"
"86","Dallas Goedert","TE","PHI","2026","2","TEN","12.0"
"87","Jalen Coker","WR","CAR","2026","2","ATL","11.8"
"88","Travis Etienne","RB","NO","2026","2","BLT","11.7"
"89","Jaylen Warren","RB","PIT","2026","2","NE","11.7"
"90","Colston Loveland","TE","CHI","2026","2","MIN","11.6"
"91","Emeka Egbuka","WR","TB","2026","2","CLV","11.6"
"92","Stefon Diggs","WR","WAS","2026","2","DAL","11.6"
"93","Mark Andrews","TE","BLT","2026","2","NO","11.6"
"94","Travis Kelce","TE","KC","2026","2","IND","11.5"
"95","Parker Washington","WR","JAX","2026","2","DEN","11.3"
"96","Xavier Worthy","WR","KC","2026","2","IND","11.3"
"97","Tony Pollard","RB","TEN","2026","2","PHI","11.2"
"98","Michael Pittman","WR","PIT","2026","2","NE","11.2"
"99","Rico Dowdle","RB","PIT","2026","2","NE","11.1"
"100","Romeo Doubs","WR","NE","2026","2","PIT","11.0"
"101","Chris Godwin Jr.","WR","TB","2026","2","CLV","11.0"
"102","Michael Mayer","TE","LV","2026","2","LAC","10.9"
"103","Tre Tucker","WR","LV","2026","2","LAC","10.8"
"104","Matthew Golden","WR","GB","2026","2","NYJ","10.6"
"105","RJ Harvey","RB","DEN","2026","2","JAX","10.6"
"106","George Kittle","TE","SF","2026","2","MIA","10.5"
"107","Dalton Kincaid","TE","BUF","2026","2","DET","10.5"
"108","Courtland Sutton","WR","DEN","2026","2","JAX","10.4"
"109","Jacory Croskey-Merritt","RB","WAS","2026","2","DAL","10.4"
"110","Aaron Jones","RB","MIN","2026","2","CHI","10.3"
"111","J.K. Dobbins","RB","DEN","2026","2","JAX","10.3"
"112","Juwan Johnson","TE","NO","2026","2","BLT","10.3"
"113","Jeremiyah Love","RB","ARZ","2026","2","SEA","10.3"
"114","Brian Thomas Jr.","WR","JAX","2026","2","DEN","10.3"
"115","Devaughn Vele","WR","NO","2026","2","BLT","10.3"
"116","Marvin Harrison Jr.","WR","ARZ","2026","2","SEA","10.3"
"117","Bhayshul Tuten","RB","JAX","2026","2","DEN","10.3"
"118","Jakobi Meyers","WR","JAX","2026","2","DEN","10.1"
"119","Khalil Shakir","WR","BUF","2026","2","DET","10.1"
"120","Jake Ferguson","TE","DAL","2026","2","WAS","9.9"
"121","Tre Harris","WR","LAC","2026","2","LV","9.9"
"122","Kyle Pitts","TE","ATL","2026","2","CAR","9.9"
"123","Carnell Tate","WR","TEN","2026","2","PHI","9.8"
"124","Jordan Mason","RB","MIN","2026","2","CHI","9.8"
"125","Deebo Samuel Sr.","WR","SF","2026","2","MIA","9.8"
"126","Jayden Reed","WR","GB","2026","2","NYJ","9.8"
"127","San Francisco 49ers","DST","SF","2026","2","MIA","9.7"
"128","DeMario Douglas","WR","NE","2026","2","PIT","9.7"
"129","KC Concepcion","WR","CLV","2026","2","TB","9.6"
"130","Dalton Schultz","TE","HST","2026","2","CIN","9.6"
"131","Josh Downs","WR","IND","2026","2","KC","9.6"
"132","Kyle Monangai","RB","CHI","2026","2","MIN","9.5"
"133","Wan'Dale Robinson","WR","TEN","2026","2","PHI","9.5"
