,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,COV,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,,League Avg,,,,,,,60.30050761421322,2.987309644670051,53.124111675126905,0.550761421319797,11.569289340101529,1.45,0.18,2.2572588832487313,3.4213197969543145,10.862690355329951,4.33248730964467,9.611928934010155,7.87,10.54,0.41116751269035534,74.7,2.1472081218274113,5.22,0.8197969543147208,1.99,0.03807106598984772,0.03393401015228425,3.4263959390862944,0.09898477157360407,0.04568527918781726,0.027918781725888325,0.20812182741116753,0.07,34.61979695431476,0.39593908629441626,11.135786802030458,0.04568527918781726,8.3,0.4619289340101523,83.9,0.03299492385786802,10.1,0.02284263959390863,4.1,0.07106598984771574,0.04060913705583756,57.1,0.005076142131979695,0.04568527918781726,0.11,19.2,0.52,0.278,15.083756345177672,29.468781725888313,54.22969543147206,1.218274111675127,1.0728426395939084,1.0032994923857868,1.0728426395939084,1.0030203045685275,0.06982233502538067,0.36,0.34,1.0032994923857868
2026,1,Dalton Kincaid,BUF,TE,1,Cover 3,59.09090909090909,50,83.3,13,72.2,3,17.6,6.08,0.23,17.33,52,28.4,79,51.3,26.33,26.33,3,100,27,9,2,0.67,0,0.02,0,0,0,0,2,0.154,118.8,1,14.3,0,0,3,100,1,66.7,0,0,1,1,100,0,2,0.67,25,14.53,1.291,23.1,30.8,46.2,0,10.9,6.6,10.9,6.64,4.26,0.84,0.51,6.6
2026,2,Mike Gesicki,CIN,TE,1,Cover 3,70.58823529411765,71.42857142857143,66.7,12,66.7,5,31.3,5.42,0.42,12.2,61,61.6,65,56.5,13,21.67,3,60,19,6.33,4,1.33,0,0.03,0,1,1,0,3,0.25,104.2,4,40,0,0,4,80,1,66.7,0,0,1,0,0,0,0,0,50,4.3,0.94,16.7,83.3,0,0,9.5,9.8,9.5,9.77,-0.27,0.79,0.81,9.8
2026,3,Travis Kelce,KC,TE,1,Cover 0,4.166666666666666,20,100,1,100,1,100,59,1,5,5,100,59,100,59,59,1,100,54,54,51,51,0,0,0,0,0,0,1,1,118.8,1,100,0,0,1,100,0,100,0,0,0,0,0,0,1,1,100,52.52,5.104,0,100,0,0,6.9,1.7,6.9,1.74,5.16,6.9,1.74,1.7
2026,4,David Njoku,LAC,TE,1,Cover 6,52.94117647058824,80,66.7,9,60,4,30.8,5.78,0.44,7.25,29,24.4,52,49.5,13,13,4,100,23,5.75,9,2.25,0,0.01,0,0,0,0,2,0.222,118.8,2,22.2,0,0,4,100,0,0,0,0,1,1,100,0,0,0,50,5.12,-0.151,33.3,11.1,55.6,0,9.2,7.6,9.2,7.65,1.55,1.02,0.85,7.6
2026,5,Trey McBride,ARZ,TE,1,Cover 3,29.411764705882355,33.33333333333333,90.9,10,90.9,4,36.4,4.5,0.4,6.75,27,37.5,45,49.5,11.25,11.25,4,100,18,4.5,13,3.25,0,0.04,0,0,0,0,2,0.2,113.5,3,37.5,1,25,4,100,1,25,0,0,0,0,0,0,2,0.5,40,4.11,0.496,10,70,20,0,8.5,8.7,8.5,8.75,-0.25,0.85,0.87,8.7
2026,6,Jonnu Smith,GB,TE,1,Cover 4,11.76470588235294,33.33333333333333,42.9,2,28.6,1,16.7,21.5,0.5,19,19,25.3,43,28.7,43,43,1,100,24,24,7,7,0,0.28,0,0,0,0,1,0.5,118.8,1,20,0,0,1,100,0,100,0,0,0,0,0,0,0,0,33.3,32.4,3.483,0,50,50,0,5.3,4.9,5.3,4.95,0.35,2.65,2.47,4.9
2026,7,Dallas Goedert,PHI,TE,1,Cover 6,19.230769230769234,20,100,5,100,1,50,8.6,0.2,14,14,25,43,40.2,43,43,1,100,29,29,4,4,1,0.01,100,0,0,0,1,0.2,158.3,1,50,0,0,1,100,0,100,0,0,0,0,0,0,2,2,50,32.72,4.98,0,20,80,0,11.3,2.8,11.3,2.83,8.47,2.26,0.57,2.8
2026,8,Dalton Kincaid,BUF,TE,1,Cover 1,22.727272727272727,16.666666666666664,71.4,5,71.4,1,16.7,8,0.2,24,24,24.7,40,40.8,40,40,1,100,16,16,8,8,0,0.18,0,0,0,0,1,0.2,118.8,1,16.7,0,0,1,100,1,100,0,0,0,0,0,0,0,0,25,24.56,3.668,40,40,20,0,5,4.8,5,4.76,0.24,1,0.95,4.8
2026,9,Isaiah Likely,NYG,TE,1,Cover 1,26.08695652173913,37.5,100,6,100,3,60,6,0.5,9.67,29,54.7,36,81.8,12,12,3,100,7,2.33,0,0,0,0.02,0,0,0,0,3,0.5,116.7,3,60,0,0,3,100,0,0,0,0,1,1,100,0,0,0,60,3.64,1.314,33.3,66.7,0,0,6.6,5.2,6.6,5.24,1.36,1.1,0.87,5.2
2026,10,Sam LaPorta,DET,TE,1,Cover 3,51.515151515151516,57.14285714285714,78.3,17,73.9,4,19,2.06,0.24,5.67,17,15.5,35,26.9,8.75,11.67,3,75,18,6,8,2.67,0,0.18,0,1,0,0,1,0.059,101,2,14.3,1,25,3,75,0,0,0,0,0,0,0,0,0,0,26.7,3.5,0.761,11.8,29.4,58.8,0,6.5,6.5,6.5,6.52,-0.02,0.38,0.38,6.5
2026,11,Isaiah Likely,NYG,TE,1,Cover 4,30.434782608695656,37.5,70,7,70,3,33.3,4.71,0.43,11,33,55.9,33,40.2,11,11,3,100,3,1,0,0,1,1,100,3,1,1,2,0.286,152.1,2,50,0,0,3,100,0,0,0,0,1,1,100,0,0,0,50,1.93,1.733,0,85.7,14.3,0,12.3,11.4,12.3,11.4,0.9,1.76,1.63,11.4
2026,12,Oronde Gadsden,LAC,TE,1,Cover 3,40,100,25,2,25,2,25,16,1,3,6,7.7,32,42.1,16,16,2,100,26,13,6,3,0,0,0,0,0,0,1,0.5,118.8,2,25,0,0,2,100,0,50,0,0,0,0,0,0,0,0,100,9.68,0.171,50,0,50,0,5.2,3.4,5.2,3.35,1.85,2.6,1.68,3.4
2026,13,Trey McBride,ARZ,TE,1,Cover 6,11.76470588235294,25,100,4,100,3,100,7.75,0.75,8,24,100,31,100,10.33,15.5,2,66.7,15,7.5,8,4,0,0.01,0,1,0,0,1,0.25,100.7,3,100,0,0,2,66.7,0,0,0,0,0,0,0,0,0,0,100,2.81,0.355,0,100,0,0,5.1,4.1,5.1,4.12,0.98,1.27,1.03,4.1
2026,14,Tucker Kraft,GB,TE,1,Cover 3,22.727272727272727,16.666666666666664,53.8,5,38.5,1,8.3,6,0.2,19,19,14.4,30,29.7,30,30,1,100,11,11,3,3,0,0.02,0,0,0,0,1,0.2,118.8,1,10,0,0,1,100,0,100,0,0,0,0,0,0,0,0,16.7,19.4,1.858,0,60,40,0,4,3.5,4,3.48,0.52,0.8,0.7,3.5
2026,15,Juwan Johnson,NO,TE,1,Cover 3,40.816326530612244,33.33333333333333,84.6,20,76.9,2,8.7,1.35,0.1,16.5,33,15.5,27,16.6,13.5,27,1,50,2,2,0,0,0,0.24,0,1,1,0,1,0.05,95.8,2,14.3,0,0,2,100,1,100,0,0,1,0,0,0,0,0,11.8,4.86,0.685,5,65,30,0,3.7,5.1,3.7,5.06,-1.36,0.18,0.25,5.1
2026,16,Hunter Henry,NE,TE,1,Cover 6,54.54545454545454,100,100,12,70.6,3,23.1,2.17,0.25,3.67,11,8.8,26,29.5,8.67,8.67,3,100,15,5,7,2.33,0,0.01,0,0,0,0,1,0.083,102.8,2,22.2,1,33.3,3,100,0,0,0,0,1,1,100,0,1,0.33,23.1,1.25,0.033,0,16.7,50,33.3,5.6,4.9,5.6,4.88,0.72,0.47,0.41,4.9
2026,17,Tucker Kraft,GB,TE,1,Cover 2,36.36363636363637,50,72.7,8,72.7,3,30,2.88,0.38,12,36,42.9,23,22.5,7.67,23,1,33.3,9,9,4,4,0,0.01,0,0,0,0,1,0.125,61.8,2,28.6,0,0,1,33.3,0,100,0,0,0,0,0,0,0,0,42.9,-1.81,-0.065,0,25,75,0,3.3,2.9,3.3,2.86,0.44,0.41,0.36,2.9
2026,18,Dallas Goedert,PHI,TE,1,Cover 2,34.61538461538461,60,100,9,81.8,3,30,2.44,0.33,11.33,34,45.3,22,68.8,7.33,11,2,66.7,0,0,0,0,1,0.78,100,2,1,1,2,0.222,127.8,3,42.9,0,0,2,66.7,1,0,0,0,0,0,0,1,0,0,37.5,-0.03,0.93,0,44.4,55.6,0,10.2,8.9,10.2,8.93,1.27,1.13,0.99,8.9
2026,19,Mark Andrews,BLT,TE,1,Cover 1,42.857142857142854,50,76.9,9,69.2,3,33.3,2.44,0.33,5.67,17,17,22,13.7,7.33,11,2,66.7,10,5,4,2,0,0.01,0,0,0,0,1,0.111,88.2,3,37.5,0,0,2,66.7,0,0,0,0,0,0,0,0,0,0,37.5,0.65,0.367,44.4,33.3,22.2,0,4.2,4,4.2,3.95,0.25,0.47,0.44,4
2026,20,Josh Oliver,MIN,TE,1,Cover 6,22.22222222222222,50,28.6,2,28.6,2,50,11,1,8,16,42.1,22,57.9,11,11,2,100,6,3,3,1.5,0,0.01,0,0,0,0,1,0.5,112.5,1,50,0,0,2,100,0,0,0,0,0,0,0,0,0,0,100,3.63,0.561,0,0,100,0,4.2,4.1,4.2,4.08,0.12,2.1,2.04,4.1
2026,21,Cole Kmet,CHI,TE,1,Cover 3,44.44444444444444,66.66666666666666,47.6,8,38.1,2,12.5,2.75,0.25,22,44,30.6,22,14.7,11,22,1,50,0,0,0,0,1,0.7,100,0,1,1,1,0.125,129.2,2,20,0,0,1,50,2,100,0,0,1,1,100,1,0,0,33.3,-1.33,0.986,37.5,0,50,12.5,9.2,6.1,9.2,6.07,3.13,1.15,0.76,6.1
2026,22,Tommy Tremble,CAR,TE,1,Cover 1,50,66.66666666666666,61.1,10,55.6,2,12.5,2.2,0.2,7.5,15,11.7,22,36.1,11,11,2,100,7,3.5,3,1.5,0,0.01,0,0,0,0,2,0.2,112.5,1,11.1,0,0,2,100,0,0,0,0,0,0,0,0,0,0,25,3.88,1.079,0,40,60,0,4.2,3.9,4.2,3.86,0.34,0.42,0.39,3.9
2026,23,T.J. Hockenson,MIN,TE,1,Cover 3,19.047619047619047,75,100,4,80,3,60,5,0.75,2.33,7,30.4,20,52.6,6.67,6.67,3,100,13,4.33,3,1,0,0.01,0,0,0,0,1,0.25,94.4,2,66.7,1,33.3,3,100,0,0,0,0,1,1,100,0,0,0,60,0.61,0.185,0,75,25,0,5,4.3,5,4.28,0.72,1.25,1.07,4.3
2026,24,Evan Engram,DEN,TE,1,Cover 6,5,25,50,1,50,1,50,19,1,21,21,150,19,73.1,19,19,1,100,0,0,0,0,1,0.98,100,1,1,1,1,1,158.3,1,100,0,0,1,100,1,0,0,0,0,0,0,0,0,0,100,6.04,2.415,100,0,0,0,8.9,8.4,8.9,8.41,0.49,8.9,8.41,8.4
2026,25,Pat Freiermuth,PIT,TE,1,Cover 3,45.16129032258064,20,66.7,14,66.7,1,5,1.36,0.07,15,15,8.8,19,17.1,19,19,1,100,4,4,0,0,0,0.02,0,0,0,0,1,0.071,118.8,0,0,0,0,1,100,0,0,0,0,1,1,100,0,0,0,10,8.36,0.358,21.4,57.1,21.4,0,2.9,2.2,2.9,2.25,0.65,0.21,0.16,2.2
2026,26,Dalton Schultz,HST,TE,1,Cover 6,25.806451612903224,12.5,88.9,8,88.9,1,12.5,2.25,0.13,5,5,6.5,18,22.8,18,18,1,100,13,13,2,2,0,0,0,0,0,0,1,0.125,118.8,1,12.5,0,0,1,100,0,0,0,0,0,0,0,0,1,1,14.3,11.52,0.857,12.5,75,12.5,0,2.8,1.8,2.8,1.75,1.05,0.35,0.22,1.8
2026,27,Juwan Johnson,NO,TE,1,Cover 6,12.244897959183673,16.666666666666664,100,6,100,1,20,3,0.17,17,17,23.9,18,22,18,18,1,100,1,1,0,0,0,0.01,0,0,0,0,1,0.167,118.8,1,33.3,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,6.32,0.385,0,100,0,0,2.8,2.9,2.8,2.93,-0.13,0.47,0.49,2.9
2026,28,Darnell Washington,PIT,TE,1,Cover 3,66.66666666666666,100,66.7,10,47.6,2,10,1.8,0.2,2.5,5,2.9,18,16.2,9,9,2,100,13,6.5,10,5,0,0,0,0,0,0,1,0.1,104.2,1,10,0,0,2,100,0,0,0,0,0,0,0,0,1,0.5,15.4,2.65,0.318,0,30,70,0,3.8,3.4,3.8,3.39,0.41,0.38,0.34,3.4
2026,29,Darren Waller,CAR,TE,1,Cover 1,28.57142857142857,50,27.8,4,22.2,1,6.3,4.25,0.25,4,4,3.1,17,27.9,17,17,1,100,13,13,5,5,0,0,0,0,0,0,1,0.25,118.8,1,11.1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,10.93,1.085,0,75,25,0,2.7,1.7,2.7,1.67,1.03,0.68,0.42,1.7
2026,30,Dalton Schultz,HST,TE,1,Cover 2,12.903225806451612,37.5,100,4,80,3,60,4.25,0.75,5.33,16,88.9,17,65.4,5.67,8.5,2,66.7,6,3,3,1.5,0,0,0,0,0,0,0,0,81.3,3,60,0,0,2,66.7,0,0,0,0,2,2,100,0,0,0,60,-1.02,-0.129,0,50,50,0,3.7,2.4,3.7,2.41,1.29,0.93,0.6,2.4
2026,31,Mark Andrews,BLT,TE,1,Cover 2,4.761904761904762,16.666666666666664,100,1,33.3,1,33.3,17,1,13,13,26.5,17,50,17,17,1,100,4,4,3,3,0,0,0,0,0,0,1,1,118.8,1,50,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,7.04,2.14,0,100,0,0,2.7,2.5,2.7,2.47,0.23,2.7,2.47,2.5
2026,32,T.J. Hockenson,MIN,TE,1,Cover 6,28.57142857142857,25,85.7,6,85.7,1,25,2.67,0.17,16,16,42.1,16,42.1,16,16,1,100,0,0,0,0,1,0.39,100,1,1,1,1,0.167,158.3,1,50,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,5.81,3.096,0,83.3,16.7,0,8.6,4.4,8.6,4.44,4.16,1.43,0.74,4.4
2026,33,Marlin Klein,HST,TE,1,Cover 4,50,100,12.5,1,12.5,1,12.5,16,1,14,14,35.9,16,21.3,16,16,1,100,2,2,1,1,0,0,0,0,0,0,1,1,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,5.72,1.046,0,100,0,0,2.6,2.6,2.6,2.6,0,2.6,2.6,2.6
2026,34,Chig Okonkwo,WAS,TE,1,Cover 4,30,66.66666666666666,100,6,100,2,33.3,2.5,0.33,18.5,37,94.9,15,83.3,7.5,15,1,50,2,2,1,1,0,0.01,0,0,0,0,1,0.167,75,1,33.3,0,0,1,50,1,0,0,0,0,0,0,0,0,0,40,-5.2,0.716,0,83.3,16.7,0,2.5,2.3,2.5,2.27,0.23,0.42,0.38,2.3
2026,35,Michael Mayer,LV,TE,1,Cover 6,16.666666666666664,28.57142857142857,100,4,80,2,40,3.75,0.5,5,10,47.6,15,44.1,7.5,7.5,2,100,5,2.5,2,1,0,0,0,0,0,0,2,0.5,97.9,0,0,0,0,2,100,0,0,0,0,0,0,0,0,1,0.5,40,0.92,1.143,0,75,25,0,3.5,3.6,3.5,3.57,-0.07,0.88,0.89,3.6
2026,36,Kenyon Sadiq,NYJ,TE,1,Cover 4,41.66666666666667,66.66666666666666,55.6,5,55.6,2,22.2,3,0.4,-2.5,-5,-11.9,15,34.1,7.5,7.5,2,100,20,10,7,3.5,0,0.01,0,0,0,0,0,0,97.9,2,33.3,1,50,2,100,0,0,0,0,0,0,0,0,0,0,40,1.29,0.414,0,0,100,0,3.5,3.1,3.5,3.15,0.35,0.7,0.63,3.1
2026,37,Luke Farrell,SF,TE,1,Cover 4,35.714285714285715,50,60,5,50,1,11.1,2.8,0.2,2,2,3,14,18.2,14,14,1,100,12,12,4,4,0,0,0,0,0,0,1,0.2,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,20,7.63,1.653,0,0,100,0,2.4,1.5,2.4,1.48,0.92,0.48,0.3,1.5
2026,38,Blake Whiteheart,CLV,TE,1,Cover 3,22.22222222222222,100,33.3,2,22.2,1,12.5,7,0.5,6,6,10,14,23.3,14,14,1,100,8,8,3,3,0,0,0,0,0,0,1,0.5,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,50,6.91,1.046,0,0,100,0,2.4,1.8,2.4,1.84,0.56,1.2,0.92,1.8
2026,39,Brenton Strange,JAX,TE,1,Cover 4,14.285714285714285,33.33333333333333,50,2,50,1,25,7,0.5,16,16,51.6,14,41.2,14,14,1,100,0,0,0,0,1,0.94,100,1,1,1,1,0.5,158.3,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,50,3.81,2.129,0,0,100,0,8.4,7.7,8.4,7.65,0.75,4.2,3.83,7.7
