,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,COV,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,,League Avg,,,,,,,63.976427829698856,5.8753894080996885,62.689200415368674,1.1484942886812046,13.945379023883683,1.66,0.2,6.077248182762203,13.25233644859813,19.13001038421599,9.727933541017654,13.997611630321915,8.47,13.21,0.7362409138110073,64.1,3.034267912772586,4.12,1.0456905503634475,1.42,0.060228452751817235,0.06241952232606434,5.036240913811008,0.1360332294911734,0.07684319833852545,0.035306334371754934,0.45794392523364486,0.078,43.80228452751802,0.9335410176531672,15.729283489096566,0.08722741433021806,7.6,0.9003115264797508,78.4,0.19626168224299065,21.6,0.06542056074766354,5.7,0.23572170301142265,0.12980269989615784,55.1,0.020768431983385256,0.07061266874350987,0.1,22.4,0.19,0.296,61.24350986500518,37.923052959501554,0.3725856697819314,0.46095534787123577,2.0704049844236736,2.1111111111111103,1.5314641744548276,1.5575597092419515,-0.026095534787123658,0.35,0.36,2.1111111111111103
2026,1,Jaxon Smith-Njigba,SEA,WR,2,Cover 2,25,27.27272727272727,92.3,12,92.3,6,50,14.75,0.5,14.33,86,89.6,177,81.9,29.5,29.5,6,100,91,15.17,44,7.33,2,0.08,100,0,0,0,4,0.333,158.3,4,50,0,0,6,100,2,50,0,0,1,1,100,0,3,0.5,54.5,20.41,2.821,58.3,33.3,0,8.3,35.7,15.5,17.85,7.73,10.12,2.98,1.29,15.5
2026,2,Tee Higgins,CIN,WR,2,Cover 1,16.363636363636363,43.75,90,9,90,7,70,11.67,0.78,13.57,95,83.3,105,76.6,15,21,5,71.4,48,9.6,32,6.4,0,0.1,0,0,0,0,5,0.556,113.7,6,66.7,0,0,7,100,2,60,0,0,4,2,50,1,3,0.6,77.8,6.32,1.102,88.9,11.1,0,0,15.5,12.8,7.75,6.42,1.33,1.72,1.43,12.8
2026,3,Davante Adams,LA,WR,2,Cover 6,27.27272727272727,31.25,85.7,12,85.7,5,35.7,8.58,0.42,17,85,55.6,103,52.8,20.6,25.75,4,80,35,8.75,3,0.75,0,0.14,0,0,0,0,2,0.167,118.8,5,45.5,0,0,4,80,2,50,0,0,1,1,100,1,0,0,45.5,11.58,1.354,66.7,33.3,0,0,14.3,12.1,7.15,6.05,1.1,1.19,1.01,12.1
2026,4,Jalen Coker,CAR,WR,2,Cover 3,26.47058823529412,27.77777777777778,86.4,18,81.8,5,26.3,5.56,0.28,16.8,84,33.5,100,40.3,20,20,5,100,16,3.2,5,1,1,1.06,50,0,0,0,3,0.167,158.3,3,25,0,0,5,100,2,40,0,0,1,1,100,1,3,0.6,33.3,10.14,1.968,44.4,55.6,0,0,21,19.6,10.5,9.78,0.72,1.17,1.09,19.6
2026,5,Christian Watson,GB,WR,1,Cover 4,7.936507936507936,11.11111111111111,55.6,5,55.6,2,28.6,19.4,0.4,14,28,32.2,97,57.7,48.5,48.5,2,100,69,34.5,1,0.5,1,0.01,100,0,0,0,2,0.4,158.3,2,33.3,0,0,2,100,0,50,0,0,0,0,0,0,0,0,66.7,38.84,4.207,80,20,0,0,17.7,5.2,17.7,5.17,12.53,3.54,1.03,5.2
2026,6,Romeo Doubs,NE,WR,1,Cover 2,18.367346938775512,28.57142857142857,75,9,75,2,22.2,10.22,0.22,35.5,71,85.5,92,72.4,46,46,2,100,21,10.5,7,3.5,0,0.42,0,0,0,0,2,0.222,118.8,1,50,0,0,2,100,2,100,0,0,0,0,0,0,0,0,33.3,32.76,3.494,88.9,11.1,0,0,11.2,12.2,11.2,12.22,-1.02,1.24,1.36,12.2
2026,7,Rome Odunze,CHI,WR,2,Cover 3,43.63636363636363,71.42857142857143,71.4,24,68.6,5,17.9,3.67,0.21,18,90,33.6,88,39.1,17.6,22,4,80,3,0.75,3,0.75,0,0.17,0,0,0,0,3,0.125,118.8,2,12.5,0,0,5,100,2,50,0,0,4,3,75,1,0,0,23.8,7.65,1.135,70.8,29.2,0,0,12.8,9.1,6.4,4.57,1.83,0.53,0.38,9.1
2026,8,Caleb Douglas,MIA,WR,2,Cover 3,62,80,84.6,31,79.5,8,26.7,2.84,0.26,12,96,31.8,88,27.9,11,14.67,6,75,36,6,10,1.67,0,0.17,0,1,0,0,5,0.161,70.8,7,35,0,0,7,87.5,1,20,1,12.5,0,0,0,0,3,0.5,29.6,2.67,0.381,83.9,16.1,0,0,14.8,14.9,7.4,7.47,-0.07,0.48,0.48,14.9
