,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,,League Avg,,,,,,,,17.1171702284451,0.19,1.52,0.34,5.0589535740604274,0.2,1.42,0.34,11.355195283714075,0.19,1.62,0.33,9.145910095799557,0.2,1.55,0.33,7.971260132645542,0.19,1.49,0.35
2024,1,Ray-Ray McCloud,ATL,WR,1,5,TB,30.76923076923077,25.71428571428571,56,0.16,1.18,0.23,5,0.4,0,0,50,0.14,1.32,0.25,25,0.2,1.4,0.26,31,0.13,1,0.2
2024,2,Darnell Mooney,ATL,WR,1,5,TB,28.28282828282828,37.2093023255814,56,0.29,1.88,0.56,7,0.29,0.29,0.17,48,0.27,1.9,0.46,25,0.28,0.92,0.21,31,0.29,2.65,0.85
2024,3,Jaxon Smith-Njigba,SEA,WR,1,4,DET,22.97872340425532,25,54,0.22,0.94,0.24,17,0.41,1,0.28,34,0.15,1,0.25,25,0.24,0.68,0.19,29,0.21,1.17,0.29
2024,4,Amari Cooper,CLV,WR,1,1,DAL,23.853211009174313,16.9811320754717,52,0.17,0.31,0.07,9,0.22,1.11,0.22,43,0.16,0.14,0.04,26,0.27,0.62,0.14,26,0.08,0,0
2024,5,Allen Lazard,NYJ,WR,1,5,MIN,25.120772946859905,24.390243902439025,52,0.19,0.65,0.26,19,0.16,0.37,0.09,31,0.23,0.87,0.38,20,0.15,0.7,0.42,32,0.22,0.63,0.16
2024,6,Elijah Moore,CLV,WR,1,1,DAL,27.368421052631582,22.727272727272727,52,0.1,0.17,0.07,7,0.14,0,0,45,0.09,0.2,0.09,24,0.13,0.17,0.06,28,0.07,0.18,0.09
2024,7,Garrett Wilson,NYJ,WR,1,5,MIN,22.90748898678414,33.33333333333333,52,0.42,1.94,0.56,18,0.5,2.89,0.57,32,0.34,1.34,0.32,21,0.48,2.29,0.51,31,0.39,1.71,0.59
2024,8,Cooper Kupp,LA,WR,1,1,DET,72.46376811594203,77.77777777777779,50,0.42,2.2,0.62,22,0.32,0.86,0.54,25,0.52,3.64,0.76,31,0.45,2.32,0.72,19,0.37,2,0.46
2024,9,D.J. Moore,CHI,WR,1,3,IND,23.444976076555022,21.27659574468085,49,0.2,1.59,0.32,11,0.09,0.09,0.1,34,0.24,0.97,0.27,25,0.28,0.88,0.33,24,0.13,2.33,0.32
2024,10,DK Metcalf,SEA,WR,1,4,DET,20.76271186440678,22.22222222222222,49,0.24,2.12,0.36,15,0.27,1.93,0.26,31,0.19,2.26,0.39,23,0.35,2.96,0.47,26,0.15,1.38,0.25
2024,11,DK Metcalf,SEA,WR,1,5,NYG,20.33898305084746,12.962962962962962,48,0.15,1.15,0.2,13,0.08,0,0,33,0.18,1.67,0.29,33,0.15,0.73,0.13,15,0.13,2.07,0.34
