,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2026,,League Avg,,,,,,,,16.33606557377049,0.19,1.56,0.35,3.2336065573770494,0.19,1.59,0.38,12.389344262295081,0.19,1.62,0.33,8.020491803278688,0.19,1.65,0.35,8.315573770491802,0.19,1.48,0.35
2026,1,Devaughn Vele,NO,WR,1,1,DET,100,100,55,0.16,1.25,0.36,15,0.13,2.8,0.41,38,0.16,0.68,0.17,29,0.21,1.66,0.3,26,0.12,0.81,0.43
2026,2,Chris Olave,NO,WR,1,1,DET,100,100,51,0.25,3.57,0.55,14,0.07,0.64,0.14,36,0.33,4.81,0.73,24,0.17,2.5,0.38,27,0.33,4.52,0.71
2026,3,Juwan Johnson,NO,TE,1,1,DET,100,100,49,0.12,1.1,0.29,13,0.23,0.69,0.61,35,0.09,1.29,0.19,26,0.12,1.38,0.45,23,0.13,0.78,0.12
2026,4,Bryce Lance,NO,WR,1,1,DET,100,100,44,0.09,0.95,0.16,12,0.17,0.67,0.15,31,0.06,1.1,0.17,22,0.09,1.55,0.25,22,0.09,0.36,0.08
2026,5,DK Metcalf,PIT,WR,1,1,ATL,100,100,41,0.24,0.98,0.2,7,0.29,1.57,0.3,32,0.25,0.91,0.18,28,0.25,0.93,0.2,13,0.23,1.08,0.18
2026,6,Matthew Golden,GB,WR,1,1,MIN,100,100,40,0.28,2.38,0.39,2,0.5,0,0,33,0.21,2.64,0.42,13,0.23,1.54,0.23,27,0.3,2.78,0.46
2026,7,Amon-Ra St. Brown,DET,WR,1,1,NO,100,100,39,0.33,1.72,0.74,1,1,0,0,35,0.29,1.8,0.61,24,0.38,2.08,0.75,15,0.27,1.13,0.71
2026,8,Tetairoa McMillan,CAR,WR,1,1,CHI,100,100,39,0.21,1.92,0.32,17,0.18,1.06,0.16,20,0.25,2.85,0.48,23,0.13,0.65,0.11,16,0.31,3.75,0.63
