,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,,League Avg,,,,,,,68.20424710424713,4.544401544401544,58.58648648648651,0.8378378378378378,12.230501930501932,1.45,0.18,2.8213513513513515,5.204633204633205,11.416988416988419,6.590733590733591,12.827413127413125,7.87,10.54,0.6254826254826255,74.7,3.2664092664092665,5.22,1.247104247104247,1.99,0.05791505791505792,0.051853281853281835,4.568725868725869,0.15057915057915058,0.0694980694980695,0.04247104247104247,0.3166023166023166,0.07,42.170270270270315,0.6023166023166023,11.759845559845559,0.0694980694980695,8.3,0.7027027027027027,83.9,0.05019305019305019,10.1,0.03474903474903475,4.1,0.10810810810810811,0.06177606177606178,57.1,0.007722007722007722,0.0694980694980695,0.11,18.9,0.52,0.278,13.844787644787647,22.129729729729732,62.70656370656373,1.3204633204633205,1.6320463320463316,1.5270270270270272,1.6320463320463316,1.5260617760617758,0.10598455598455599,0.36,0.34,1.5270270270270272
2026,1,Dallas Goedert,PHI,TE,1,11,88.46153846153845,100,97.4,23,79.3,5,22.7,3.35,0.22,11.4,57,35,77,59.2,15.4,19.25,4,80,32,8,6,1.5,2,0.79,100,2,1,1,3,0.13,158.3,4,26.7,0,0,4,80,1,33.3,0,0,0,0,0,1,2,0.5,27.8,7.47,1.66,4.3,39.1,56.5,0,23.7,13.9,23.7,13.88,9.82,1.03,0.6,13.9
2026,2,Trey McBride,ARZ,TE,1,11,76.47058823529412,66.66666666666666,87,26,86.7,8,27.6,2.92,0.31,7,56,23.7,76,30.5,9.5,12.67,6,75,31,5.17,20,3.33,0,0.14,0,2,0,0,4,0.154,104.2,7,33.3,1,12.5,7,87.5,1,16.7,0,0,2,1,50,0,2,0.33,33.3,2.19,0.318,3.8,84.6,11.5,0,13.6,13.5,13.6,13.53,0.07,0.52,0.52,13.5
2026,3,Dalton Kincaid,BUF,TE,1,13,27.27272727272727,33.33333333333333,95.2,6,100,2,40,12.17,0.33,24,48,56.5,73,84.9,36.5,36.5,2,100,25,12.5,2,1,0,0.02,0,0,0,0,2,0.333,118.8,1,33.3,0,0,2,100,1,100,0,0,0,0,0,0,2,1,40,21.82,1.963,33.3,16.7,50,0,9.3,5.6,9.3,5.61,3.69,1.55,0.93,5.6
2026,4,Travis Kelce,KC,TE,1,11,58.333333333333336,60,69.7,14,70,3,18.8,5.07,0.21,3,9,15,71,43.8,23.67,23.67,3,100,62,20.67,55,18.33,0,0.01,0,0,0,0,2,0.143,118.8,3,25,0,0,3,100,0,33.3,0,0,0,0,0,0,1,0.33,30,17.47,1.99,0,42.9,57.1,0,10.1,5.1,10.1,5.12,4.98,0.72,0.37,5.1
2026,5,Mike Gesicki,CIN,TE,1,11,58.82352941176471,71.42857142857143,28.2,10,37,5,20,5.4,0.5,7,35,25.7,54,32.5,10.8,13.5,4,80,24,6,6,1.5,1,0.8,100,1,0,0,4,0.4,151.3,5,25,0,0,5,100,0,33.3,0,0,1,0,0,0,0,0,62.5,3.42,0.904,30,70,0,0,15.4,13.6,15.4,13.6,1.8,1.54,1.36,13.6
2026,6,Juwan Johnson,NO,TE,1,11,73.46938775510205,50,82.8,36,81.8,3,7.7,1.25,0.08,15.67,47,15,45,14.7,15,22.5,2,66.7,3,1.5,0,0,0,0.1,0,0,0,0,2,0.056,109.7,3,11.1,0,0,3,100,1,50,0,0,1,0,0,0,0,0,10.3,5.76,0.296,16.7,69.4,13.9,0,6.5,7.8,6.5,7.79,-1.29,0.18,0.22,7.8
2026,7,Jonnu Smith,GB,TE,1,13,5.88235294117647,33.33333333333333,20,1,25,1,25,43,1,19,19,44.2,43,54.4,43,43,1,100,24,24,7,7,0,0.28,0,0,0,0,1,1,118.8,1,33.3,0,0,1,100,0,100,0,0,0,0,0,0,0,0,100,32.4,3.483,0,0,100,0,5.3,4.9,5.3,4.95,0.35,5.3,4.95,4.9
2026,8,Dalton Kincaid,BUF,TE,1,11,50,33.33333333333333,73.9,11,57.9,2,11.1,3.64,0.18,15,30,14.4,40,20.1,20,40,1,50,16,16,8,8,0,0.19,0,0,0,0,1,0.091,95.8,2,20,0,0,2,100,1,100,1,50,0,0,0,0,0,0,16.7,8.73,1.553,27.3,27.3,45.5,0,5,6.6,5,6.58,-1.58,0.45,0.6,6.6
