,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,46.71683899556868,70.14327917282127,53.18966026587887,13.800590841949779,17.89438700147709,1.6,0.2,12.015051698670606,155.8109305760709,26.348153618906938,112.18168389955687,18.593796159527322,8.13,12.65,8.870014771048744,64.3,37.94830132939439,4.28,13.047267355982274,1.47,0.6957163958641064,0.6927917282127006,10.520088626292468,1.7474150664697194,1.0841949778434268,0.41654357459379615,5.38109305760709,0.077,87.22259970457898,10.9807976366322,20.666469719350083,1.0768094534711965,7.8,10.534711964549484,76.3,2.397341211225997,20.2,0.7474150664697193,5.4,2.4209748892171343,1.3367799113737076,55.2,0.22304283604135894,1.048744460856721,0.12,22.5,-0.16,0.274,68.18434268833091,30.847710487444605,0.34416543574593794,0.6252584933530281,24.262481536189064,24.274150664697203,3.291521418020687,3.2752437223042823,0.01627769571639577,0.35,0.35,24.274150664697203
2025,1,Puka Nacua,LA,WR,16,11,80.04484304932735,78.52760736196319,82.3,357,83.8,128,31.5,3.26,0.36,9.21,1179,32.4,1165,36.8,9.1,11.89,98,76.6,418,4.27,221,2.26,7,5.29,35,13,4,1,59,0.165,118.8,113,41.2,16,12.5,108,84.4,17,18,3,2.3,28,21,75,8,13,0.13,37.6,1.44,0.627,65,33.9,0.8,0.3,256.5,228.7,16.03,14.29,1.74,0.72,0.64,228.7
2025,2,George Pickens,DAL,WR,17,11,78.73070325900514,70.22900763358778,89,459,88.3,92,19.2,2.25,0.2,11.16,1027,26.7,1033,28.3,11.23,15.42,67,72.8,385,5.75,178,2.66,6,3.96,35.3,16,11,3,55,0.12,117.7,76,24.8,1,1.1,77,83.7,13,25.4,4,4.3,24,17,70.8,4,13,0.19,22.3,3,0.774,89.8,10.2,0,0,206.3,160.4,12.14,9.44,2.7,0.45,0.35,160.4
2025,3,Chris Olave,NO,WR,16,11,83.12387791741472,80.79470198675497,90.8,463,91.7,122,27.4,2.18,0.26,11.48,1400,39.3,1008,32.2,8.26,12,84,68.9,252,3,52,0.62,9,7.56,56.3,12,11,5,46,0.099,108.2,101,33.9,9,7.4,97,79.5,22,13,6,4.9,19,7,36.8,2,6,0.07,30.2,-0.08,0.327,51.6,48.2,0,0.2,238.8,236.6,14.93,14.79,0.14,0.52,0.51,236.6
2025,4,Nico Collins,HST,WR,15,11,83.4061135371179,79.66101694915254,72.2,382,80.6,94,22,2.57,0.25,12.73,1197,36.3,980,33.2,10.43,16.33,60,63.8,328,5.47,139,2.32,6,6.54,31.6,15,11,4,43,0.113,120,79,26.6,3,3.2,69,73.4,17,29.6,2,2.1,27,20,74.1,2,3,0.05,27.9,1.78,0.51,77.7,22.3,0,0,194,169.2,12.93,11.28,1.65,0.51,0.44,169.2
2025,5,Amon-Ra St. Brown,DET,WR,16,11,74.38330170777988,71.6867469879518,91.4,392,87.9,119,28.6,2.44,0.3,7.74,921,33.3,957,30.6,8.04,11.39,84,70.6,408,4.86,125,1.49,9,7.93,37.5,27,7,3,49,0.125,106,105,37.6,10,8.4,95,79.8,5,19.1,9,7.6,8,6,75,0,15,0.18,33.7,0.63,0.354,36,63.5,0,0.5,233.7,223.5,14.61,13.97,0.64,0.6,0.57,223.5
2025,6,Ja'Marr Chase,CIN,WR,16,11,70.30995106035888,67.40331491712708,92.8,431,95.1,122,28.9,2.18,0.28,8.29,1011,33.6,939,32.4,7.7,10.92,86,70.5,470,5.47,166,1.93,7,7.27,28,21,6,2,50,0.116,105.2,110,38.5,20,16.4,100,82,12,10.7,5,4.1,21,10,47.6,2,18,0.21,31.6,0.22,0.338,62.2,37.1,0.2,0.5,221.9,215.7,13.87,13.48,0.39,0.51,0.5,215.7
2025,7,Jameson Williams,DET,WR,17,11,74.10071942446042,74.74747474747475,97.6,412,92.4,74,17.8,2.12,0.18,13.03,964,34.9,873,27.9,11.8,18.19,48,64.9,361,7.52,136,2.83,6,3.75,25,7,3,1,37,0.09,126.2,51,18.3,6,8.1,62,83.8,15,41.3,11,14.9,6,3,50,0,9,0.19,19.8,2.93,0.635,75.2,24.5,0,0.2,171.3,158.9,10.08,9.35,0.73,0.42,0.39,158.9
2025,8,A.J. Brown,PHI,WR,15,11,79.33333333333333,79.16666666666666,87.5,357,93.5,95,29.1,2.36,0.27,10.83,1029,38.2,842,35.8,8.86,12.76,66,69.5,247,3.74,158,2.39,5,4.6,50,11,3,2,40,0.112,101.3,76,37.6,2,2.1,73,76.8,15,18.6,2,2.1,20,14,70,1,9,0.14,32.1,0.75,0.32,86.6,13.4,0,0,180.2,165.7,12.01,11.05,0.96,0.5,0.46,165.7
2025,9,Emeka Egbuka,TB,WR,17,11,84.98985801217039,83.46456692913385,82.2,419,78.9,106,23.3,2,0.25,12.48,1323,36.6,837,26.1,7.9,14.68,57,53.8,312,5.47,68,1.19,6,5.14,26.1,12,8,2,30,0.072,82.9,85,29.2,11,10.4,72,67.9,19,32.7,7,6.6,18,7,38.9,0,6,0.11,29.2,-0.83,0.104,61.3,38.7,0,0,176.7,175,10.39,10.3,0.09,0.42,0.42,175
2025,10,Tetairoa McMillan,CAR,WR,17,11,81.4176245210728,84.03361344537815,98.3,425,94,100,24.8,1.96,0.24,12.49,1249,44.8,834,31.8,8.34,14.89,56,56,221,3.95,63,1.13,7,7.32,36.8,15,11,5,46,0.108,86,73,30.4,3,3,78,78,18,30.4,11,11,19,6,31.6,0,6,0.11,28.7,-0.38,0.217,78.4,21.6,0,0,181.4,198.3,10.67,11.67,-1,0.43,0.47,198.3
2025,11,Courtland Sutton,DEN,WR,17,11,77.77777777777779,80.83333333333333,95.4,427,85.1,97,20.9,1.88,0.23,12.78,1240,37,803,27.8,8.28,13.61,59,60.8,207,3.51,104,1.76,4,4.28,22.2,10,7,2,43,0.101,92.4,73,25.4,1,1,74,76.3,19,25.5,6,6.2,19,10,52.6,0,6,0.1,23.1,-0.37,0.367,81.3,18.7,0,0,163.3,172.2,9.61,10.13,-0.52,0.38,0.4,172.2
2025,12,Jaxon Smith-Njigba,SEA,WR,17,11,56.158663883089766,56.05095541401274,95,269,95.1,88,33.6,2.96,0.33,10.09,888,50.7,796,41.1,9.05,12.44,64,72.7,254,3.97,93,1.45,5,4.8,41.7,8,5,2,38,0.141,109.8,73,44.8,9,10.2,72,81.8,11,22,3,3.4,12,5,41.7,1,8,0.13,37.9,1.08,0.431,70.3,27.9,1.1,0.7,173.6,171.6,10.21,10.09,0.12,0.65,0.64,171.6
2025,13,Stefon Diggs,NE,WR,17,11,73.56608478802993,74,79.8,295,79.3,74,23.7,2.67,0.25,9.32,690,23.5,787,26.5,10.64,13.12,60,81.1,299,4.98,110,1.83,1,3.36,5.6,7,2,0,41,0.139,104.2,56,25.8,2,2.7,64,86.5,10,26.8,3,4.1,9,7,77.8,1,12,0.2,30.2,2.92,0.652,44.7,54.9,0,0.3,144.7,147.5,8.51,8.68,-0.17,0.49,0.5,147.5
