,Player Details,Player Details,Player Details,Player Details,Player Details,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,,League Avg,,,,15.967213114754099,0.009,1.6,0.19,9.7,12.956147540983611,6.580327868852459,9.879098360655734,7.4,2.1,0.2,11.1,3.0737704918032787,2.0942622950819674,25.53688524590164,0.18442622950819673,31.14344262295082,3.1721311475409837,0.023,1.63,0.2,20.9,12.118852459016393,0.013,1.65,0.19,6.8,0.6762295081967213,-0.133,0.5,0.21,7.3,1.6967213114754098,-0.002,1,5.213114754098361,0.013,8.5,2.7745901639344264,0.028,7.8,2.4344262295081966,0.008,6.2
2026,1,Devaughn Vele,NO,WR,1,52,0.077,1.33,0.17,11.5,22.2,6.9,16.1,5.8,5.8,0,9.6,9,7,69,1,78,15,0.067,2.8,0.13,13.3,36,0.028,0.72,0.17,8.3,1,2,1,1,100,2,-0.5,0,23,0.087,8.7,6,0,16.7,5,0,0
2026,2,Chris Olave,NO,WR,1,49,0.143,3.71,0.27,16.3,29.6,8.2,23.2,10.2,6.1,0,8.2,13,10,182,0,237,14,-0.071,0.64,0.07,7.1,35,0.229,4.94,0.34,20,0,0,0,0,0,2,0,0,20,0.1,10,7,0.714,57.1,6,0.167,16.7
2026,3,Juwan Johnson,NO,TE,1,48,0.104,1.13,0.13,10.4,18.5,4.8,10.7,8.3,2.1,0,2.1,6,3,54,1,82,13,0.154,0.69,0.23,23.1,35,0.086,1.29,0.09,5.7,0,0,0,0,0,3,0,0,20,0.15,10,6,0,0,6,0,0
2026,4,Bryce Lance,NO,WR,1,42,-0.048,1,0.1,9.5,14.8,9,7.1,7.1,2.4,0,16.7,4,3,42,0,36,12,0.083,0.67,0.17,16.7,30,-0.1,1.13,0.07,6.7,0,0,0,0,0,2,0,0,18,0.111,11.1,5,-0.2,0,5,-0.8,0
2026,5,DK Metcalf,PIT,WR,1,41,0.098,0.98,0.24,26.8,61.1,6.2,24.4,24.4,2.4,0,19.5,10,4,40,0,194,7,0.286,1.57,0.29,42.9,32,0.094,0.91,0.25,25,2,-0.5,0,0,0,1,0,0,21,0.048,23.8,7,0.286,42.9,3,0,0
2026,6,Tetairoa McMillan,CAR,WR,1,39,-0.103,1.92,0.21,10.3,16.7,7.4,21.1,10.3,0,0,20.5,8,5,75,0,117,17,-0.235,1.06,0.18,5.9,20,0.1,2.85,0.25,15,2,-1,0,0,0,7,0.143,14.3,7,0.286,28.6,5,0,0,1,-1,0
2026,7,Matthew Golden,GB,WR,1,39,0,2.44,0.28,5.1,33.3,8.5,26.2,5.1,0,0,5.1,11,6,95,0,109,2,0.5,0,0.5,50,32,-0.031,2.72,0.22,0,5,0,1.6,0.6,20,9,0,0,11,0,0,7,0,0,5,-0.2,0
2026,8,Amon-Ra St. Brown,DET,WR,1,38,0.079,1.76,0.34,10.5,40,7.4,33.3,5.3,0,5.3,10.5,13,10,67,2,65,1,-2,0,1,0,34,0.176,1.85,0.29,11.8,3,-0.333,1.33,0.67,0,2,0,0,22,0.273,18.2,3,0,0,7,0,0
