,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,,League Avg,,,,,,,,15.845528455284553,0.044,1.62,0.2,10.9,12.721544715447147,6.40447154471545,9.78373983739837,8.4,2.1,0.3,9,3.105691056910569,2.097560975609756,25.63821138211382,0.17479674796747968,30.983739837398375,3.7439024390243905,0.074,1.3,0.21,22.1,11.508130081300813,0.037,1.76,0.19,7.4,0.5934959349593496,-0.007,0.55,0.16,6.8,2.2764227642276422,0.007,2.5,5.1138211382113825,0.045,8.9,2.2235772357723578,0.018,7.1,1.8943089430894309,0.075,9.4
2026,1,Xavier Hutchinson,HST,WR,1,2,CIN,90,100,45,0.067,0.82,0.18,17.8,27.6,6.7,14.3,13.3,2.2,2.2,15.6,8,3,37,0,118,11,-0.364,1.73,0.36,18.2,33,0.212,0.55,0.12,18.2,1,0,0,0,0,8,0,0,13,0.231,23.1,3,0,0,9,0.444,33.3
2026,2,Dalton Schultz,HST,TE,1,2,CIN,91.48936170212765,100,43,0.163,3.26,0.33,14,20.7,5.8,25,11.6,0,2.3,2.3,14,12,140,0,80,9,0.111,0,0,22.2,32,0.094,4.38,0.44,9.4,2,1.5,0,0,50,10,0,0,13,0.154,15.4,3,0,0,6,0.167,16.7
2026,3,DK Metcalf,PIT,WR,1,2,NE,97.72727272727273,100,43,0,0.63,0.21,9.3,36.4,4.6,22.5,9.3,0,0,9.3,9,4,27,0,55,24,0.083,0.38,0.17,16.7,19,-0.105,0.95,0.26,0,0,0,0,0,0,5,0,0,7,-0.143,0,6,-0.167,0,1,0,0
2026,4,Kayshon Boutte,HST,WR,1,2,CIN,93.47826086956522,100,43,-0.023,0.86,0.12,9.3,13.8,6.4,8.9,9.3,0,0,11.6,5,3,37,0,72,8,0,2.63,0.25,25,34,-0.029,0.47,0.06,5.9,1,0,0,1,0,10,0,0,13,0,15.4,3,0,0,8,-0.125,0
2026,5,Xavier Worthy,KC,WR,1,2,IND,97.67441860465115,100,42,-0.048,0.6,0.17,9.5,20,5.7,14.9,7.1,2.4,0,16.7,7,5,25,1,45,13,-0.154,0.38,0.15,15.4,29,0,0.69,0.17,6.9,0,0,0,0,0,11,0,0,11,0.091,18.2,4,-0.25,0,3,0,0
2026,6,Amon-Ra St. Brown,DET,WR,1,2,BUF,97.61904761904762,100,41,0,3.46,0.29,19.5,32,7.5,31.6,14.6,4.9,0,24.4,12,9,142,2,139,6,0.333,7.5,0.5,50,33,-0.091,2.67,0.24,12.1,2,0.5,4.5,0.5,50,6,-0.167,0,14,0.071,21.4,8,-0.375,0,5,0,20
2026,7,Jameson Williams,DET,WR,1,2,BUF,97.5609756097561,100,40,0.2,0.83,0.08,22.5,36,12.6,7.9,15,7.5,0,10,3,2,33,0,38,6,0,0,0.17,33.3,33,0.212,1,0.06,18.2,1,1,0,0,100,6,0,0,13,0,7.7,9,0.444,33.3,5,0.6,40
2026,8,Sam LaPorta,DET,TE,1,2,BUF,97.5,100,39,0,1.33,0.18,10.3,16,3.3,18.4,10.3,0,0,10.3,7,6,52,1,22,5,0,0,0,20,32,0.031,1.59,0.19,9.4,2,-0.5,0.5,0.5,0,6,-0.167,0,12,0,8.3,9,0.222,22.2,5,0,0
