,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,,56.91773356401387,4.92560553633218,56.87949826989625,1.3235294117647058,15.34273356401384,2.17,0.27,5.710051903114187,11.966262975778546,16.35103806228372,10.686851211072664,15.49697231833908,8.07,11.69,0.9143598615916955,69.1,4.374567474048443,4.78,1.3840830449826989,1.51,0.06487889273356401,0.06632352941176473,4.916262975778547,0.1782006920415225,0.09342560553633218,0.037197231833910036,0.523356401384083,0.106,52.1401384083044,1.0397923875432526,15.413408304498265,0.1314878892733564,9.9,1.0570934256055364,79.9,0.1695501730103806,18.7,0.05968858131487889,4.5,0.263840830449827,0.1583044982698962,60,0.015570934256055362,0.11418685121107267,0.12,24.2,0.28,0.334,44.928287197231825,45.206660899654004,9.43884083044983,0.4267301038062284,2.370155709342561,2.3148788927335606,2.3701730103806233,2.3158391003460244,0.054333910034602056,0.48,0.47,2.311332179930792
2025,1,Zay Flowers,BLT,WR,1,14,PIT,32,35.294117647058826,92.2,16,100,6,37.5,7,0.38,15.83,95,56.2,112,67.5,18.67,22.4,5,83.3,38,7.6,7,1.4,0,0.11,0,1,1,0,4,0.25,118.8,6,66.7,1,16.7,6,100,3,60,0,0,1,0,0,1,2,0.4,37.5,10.2,1.596,37.5,62.5,0,0,16.2,14.7,16.2,14.75,1.45,1.01,0.92,14.7
2025,2,Gunner Olszewski,NYG,WR,1,18,DAL,83.33333333333334,100,84.1,10,100,9,90,10.2,0.9,8.33,75,80.6,102,88.7,11.33,12.75,8,88.9,57,7.13,19,2.38,0,0.05,0,0,0,0,5,0.5,113.9,7,100,2,22.2,8,88.9,1,25,0,0,1,1,100,0,0,0,90,4.04,0.732,0,100,0,0,18.2,15.4,18.2,15.44,2.76,1.82,1.54,15.4
2025,3,Trey McBride,ARZ,TE,1,15,HST,15.789473684210526,20.51282051282051,92.1,9,100,8,88.9,10.56,0.89,3.25,26,61.9,95,100,11.88,11.88,8,100,69,8.63,9,1.13,1,0.03,100,1,0,0,4,0.444,155.7,5,83.3,1,12.5,8,100,0,37.5,0,0,0,0,0,0,1,0.13,88.9,5.45,0.847,0,100,0,0,23.5,13.9,23.5,13.85,9.65,2.61,1.54,13.9
2025,4,Parker Washington,JAX,WR,1,17,IND,44.44444444444444,42.857142857142854,80.9,16,100,9,56.3,5.94,0.56,10.89,98,56.3,95,60.1,10.56,13.57,7,77.8,39,5.57,15,2.14,0,0.21,0,2,1,0,3,0.188,71.1,8,61.5,0,0,8,88.9,3,33.3,1,11.1,1,0,0,0,1,0.14,56.3,2.53,0.398,25,75,0,0,16.5,18.7,16.5,18.73,-2.23,1.03,1.17,18.7
2025,5,Brandin Cooks,BUF,WR,1,17,PHI,33.33333333333333,75,52.1,4,33.3,3,25,23,0.75,28.67,86,86.9,92,73,30.67,30.67,3,100,6,2,0,0,0,0.03,0,0,0,0,3,0.75,118.8,3,27.3,0,0,3,100,2,66.7,0,0,1,1,100,1,0,0,75,19.16,2.612,0,100,0,0,12.2,8.2,12.2,8.2,4,3.05,2.05,8.2
2025,6,Puka Nacua,LA,WR,1,14,ARZ,18.75,33.33333333333333,46.3,9,100,7,77.8,10,0.78,11.14,78,85.7,90,89.1,12.86,22.5,4,57.1,25,6.25,13,3.25,1,1.05,50,0,0,0,4,0.444,141.4,6,100,0,0,5,71.4,2,75,1,14.3,2,2,100,1,0,0,77.8,4.63,0.755,11.1,88.9,0,0,19,17.5,19,17.53,1.47,2.11,1.95,17.5
2025,7,KaVontae Turpin,DAL,WR,1,17,WAS,5.555555555555555,14.285714285714285,16.1,1,14.3,1,14.3,86,1,49,49,50.5,86,52.8,86,86,1,100,37,37,0,0,1,0.31,100,0,0,0,1,1,158.3,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,100,71,7.967,0,100,0,0,15.6,9.1,15.6,9.08,6.52,15.6,9.08,9.1
2025,8,Wan'Dale Robinson,NYG,WR,1,17,LV,23.076923076923077,27.27272727272727,74.6,9,90,6,60,9.56,0.67,7,42,49.4,86,66.2,14.33,14.33,6,100,44,7.33,14,2.33,0,0.05,0,2,0,0,3,0.333,118.8,6,60,1,16.7,6,100,0,20,0,0,0,0,0,0,2,0.33,66.7,7,1.137,22.2,77.8,0,0,14.6,12.6,14.6,12.63,1.97,1.62,1.4,12.6
