,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,,54.9664298401421,6.618117229129663,52.54769094138542,1.8570159857904085,14.801243339253997,2.25,0.28,7.008108348134993,23.039964476021314,15.044316163410281,14.873001776198935,14.913321492007087,8.01,13.25,1.1225577264653641,60.4,4.558614564831261,4.06,1.6101243339253997,1.43,0.09680284191829484,0.09695381882770908,7.015808170515098,0.2211367673179396,0.15985790408525755,0.05950266429840142,0.7078152753108348,0.107,49.022202486678424,1.4600355239786855,14.783836589698062,0.11101243339253997,6,1.3738898756660747,74,0.35790408525754885,21,0.10746003552397869,5.8,0.3987566607460036,0.22202486678507993,55.7,0.03463587921847247,0.10568383658969804,0.09,25.3,-0.59,0.206,46.71065719360567,34.23898756660746,18.075932504440505,0.9766429840142097,3.192806394316164,3.206305506216693,3.192806394316164,3.206314387211371,-0.013507992895204277,0.48,0.48,3.201509769094135
2025,1,DeVonta Smith,PHI,WR,1,7,MIN,21.875,27.586206896551722,87.8,14,100,8,57.1,12.36,0.57,19.88,159,59.3,173,58.8,21.63,24.71,7,87.5,36,5.14,19,2.71,1,0.62,33.3,0,0,0,5,0.357,158.3,6,60,0,0,8,100,3,42.9,0,0,2,1,50,1,0,0,57.1,11.3,1.498,64.3,35.7,0,0,30.3,27.1,30.3,27.15,3.15,2.16,1.94,27.1
2025,2,Michael Wilson,ARZ,WR,1,11,SF,21.951219512195124,40,83.1,18,90,16,80,8.11,0.89,12.19,195,93.8,146,79.8,9.13,11.23,13,81.3,35,2.69,17,1.31,0,0.12,0,0,0,0,7,0.389,104.7,13,81.3,0,0,14,87.5,3,15.4,0,0,5,4,80,0,0,0,84.2,0.85,0.386,100,0,0,0,27.6,28.3,27.6,28.31,-0.71,1.53,1.57,28.3
2025,3,George Pickens,DAL,WR,1,11,LV,20.253164556962027,27.500000000000004,67.7,16,88.9,11,61.1,9,0.69,12.64,139,69.5,144,78.3,13.09,16,9,81.8,74,8.22,36,4,1,0.24,33.3,2,1,0,8,0.5,149.1,7,58.3,0,0,10,90.9,2,22.2,0,0,3,2,66.7,0,5,0.56,68.8,4.59,1.107,93.8,6.3,0,0,29.4,18.9,29.4,18.95,10.45,1.84,1.18,18.9
2025,4,Ja'Marr Chase,CIN,WR,1,7,PIT,35.064935064935064,43.90243902439025,98.6,27,100,18,66.7,4.85,0.67,7.56,136,60.4,131,54.8,7.28,10.08,13,72.2,74,5.69,22,1.69,1,0.49,50,2,1,1,7,0.259,111.1,14,66.7,4,22.2,15,83.3,0,0,2,11.1,3,2,66.7,0,2,0.15,66.7,-0.41,0.401,81.5,18.5,0,0,32.1,28.8,32.1,28.81,3.29,1.19,1.07,28.8
2025,5,A.J. Brown,PHI,WR,1,7,MIN,25.925925925925924,20.689655172413794,91.8,14,100,6,42.9,8.64,0.43,18.17,109,40.7,121,41.2,20.17,30.25,4,66.7,29,7.25,14,3.5,2,1.4,66.7,0,0,0,4,0.286,149.3,4,40,0,0,5,83.3,3,75,0,0,1,0,0,0,0,0,42.9,10.48,2.426,78.6,21.4,0,0,28.1,24.9,28.1,24.9,3.2,2.01,1.78,24.9
2025,6,Tee Higgins,CIN,WR,1,9,CHI,23.28767123287671,30,81.5,17,81,9,42.9,7.12,0.53,14.11,127,39.8,121,43.5,13.44,17.29,7,77.8,29,4.14,16,2.29,2,0.8,100,1,2,1,6,0.353,158.3,9,45,0,0,9,100,3,50,1,11.1,7,6,85.7,1,1,0.14,50,4.64,1.167,100,0,0,0,31.1,18.1,31.1,18.08,13.02,1.83,1.06,18.1
2025,7,Jameson Williams,DET,WR,1,10,WAS,22,43.75,86.8,11,84.6,7,53.8,10.82,0.64,10.43,73,68.9,119,62.6,17,19.83,6,85.7,57,9.5,12,2,1,0.63,100,1,0,0,6,0.545,158.3,7,53.8,0,0,7,100,1,40,1,14.3,0,0,0,0,3,0.5,63.6,8.98,1.464,90.9,9.1,0,0,23.9,19.9,23.9,19.88,4.02,2.17,1.81,19.9
2025,8,Alec Pierce,IND,WR,1,9,PIT,36.507936507936506,34.285714285714285,89.2,23,92,12,48,5,0.52,16,192,57.3,115,50.2,9.58,19.17,6,50,25,4.17,18,3,0,0.02,0,0,0,0,5,0.217,49,12,50,0,0,7,58.3,3,33.3,0,0,1,0,0,0,1,0.17,52.2,-0.19,0.23,87,13,0,0,17.5,17.8,17.5,17.84,-0.34,0.76,0.78,17.8
