,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,,League Avg,,,,,,,40.31645569620253,8.89873417721519,37.251898734177225,0,34.36708860759494,3.86,0.1518987341772152,0.3193670886075952,0.0759493670886076,1.6962025316455696,8.8,11.367088607594937,33.1,20.158227848101266,1.7,45.1,47.5,-3.121518987341772,1.85,39,2.02,52.2,1.4050632911392404,0.16,-0.179,-1.5886075949367087,4.974683544303797,55.9,18.772151898734176,0.02531645569620253,3.77,46.6,3.8607594936708862,43.4,15.481012658227849,0.12658227848101267,4.01,43,7.582278481012659,8.844303797468351,7.582278481012659,8.845696202531645,-1.2634177215189875
2026,1,James Cook,BUF,RB,1,2,DET,100,76.8,21,75,0,135,6.43,1,1.24,0,7,27.8,99,73.3,50,4.8,52.4,47.6,55.9,4.67,42.9,1.76,27.4,2,0.1,0.24,5,8,38.1,49,0,6.13,50,13,61.9,86,1,6.62,53.8,20.9,17.1,20.9,17.08,3.82
2026,2,Kenneth Walker,KC,RB,1,2,IND,100,82.1,24,88.9,0,117,4.88,0,1.98,0,7,14.3,41,35,100,0,58.3,41.7,21.3,3.13,16.7,1.75,35.9,9,0.38,0.034,0.8,17,70.8,92,0,5.41,64.7,7,29.2,25,0,3.57,42.9,23.8,30.3,23.8,30.35,-6.55
2026,3,Aaron Jones,MIN,RB,1,2,CHI,100,80.4,23,85.2,0,105,4.57,0,0.13,0,3,8.7,35,33.3,0,0,47.8,47.8,5.6,2.83,30.4,1.74,38.1,3,0.13,-0.102,-2.4,11,47.8,29,0,2.64,36.4,12,52.2,76,0,6.33,58.3,10.5,10.7,10.5,10.72,-0.22
2026,4,Omarion Hampton,LAC,RB,1,2,LV,100,62.9,23,74.2,0,94,4.09,1,0.77,1,6,9.1,27,28.7,50,4.3,52.2,34.8,-11.4,1.65,34.8,2.43,59.6,1,0.04,-0.479,-11,10,43.5,35,0,3.5,50,13,56.5,59,1,4.54,53.8,18.5,18.3,18.5,18.3,0.2
2026,5,Jonathan Taylor,IND,RB,1,2,KC,100,95.2,24,80,0,92,3.83,2,1.03,0,6,13.6,46,50,100,8.3,54.2,41.7,-7.9,2.21,50,1.63,42.4,2,0.08,0.159,3.8,14,58.3,42,0,3,50,10,41.7,50,2,5,60,29.2,22.7,29.2,22.71,6.49
2026,6,Emanuel Wilson,SEA,RB,1,2,ARZ,100,41.8,21,52.5,0,92,4.38,0,2.12,0,6,12.5,28,30.4,50,0,47.6,52.4,18.8,2.24,28.6,2.14,48.9,6,0.29,-0.186,-3.9,12,57.1,67,0,5.58,66.7,8,38.1,23,0,2.88,25,9.2,20,9.2,20.03,-10.83
2026,7,Bucky Irving,TB,RB,1,2,CLV,100,79,17,77.3,0,89,5.24,0,0.16,0,3,11.8,52,58.4,0,0,58.8,35.3,17.1,2.82,35.3,2.41,46.1,1,0.06,-0.008,-0.1,7,41.2,17,0,2.43,57.1,10,58.8,72,0,7.2,60,13,14.8,13,14.85,-1.85
2026,8,Kyren Williams,LA,RB,1,2,NYG,100,55,12,50,0,85,7.08,0,0.2,1,3,27.3,49,57.6,0,0,75,25,37.8,4.67,0,2.42,34.1,4,0.33,-0.326,-3.9,5,41.7,31,0,6.2,80,7,58.3,54,0,7.71,71.4,16.7,12.8,16.7,12.82,3.88
2026,9,Chase Brown,CIN,RB,1,2,HST,100,69.5,20,90.9,0,80,4,0,0.21,0,3,10,21,26.3,0,0,45,35,-9.3,1,40,3,75,3,0.15,-0.193,-3.9,14,70,57,0,4.07,42.9,6,30,23,0,3.83,50,11.2,14.9,11.2,14.87,-3.67
2026,10,Blake Corum,LA,RB,1,2,NYG,100,45,12,50,0,79,6.58,0,0.08,0,5,25,47,59.5,0,0,66.7,33.3,24.4,4.42,16.7,2.17,32.9,5,0.42,0.192,2.3,5,41.7,30,0,6,60,7,58.3,49,0,7,71.4,10.2,7.6,10.2,7.6,2.6
2026,11,TreVeyon Henderson,NE,RB,1,2,PIT,100,60.4,16,66.7,0,76,4.75,1,0.07,0,3,12.5,49,64.5,0,6.3,31.3,43.8,6.5,3.56,37.5,1.19,25,2,0.13,-0.1,-1.6,2,12.5,-5,0,-2.5,0,14,87.5,81,1,5.79,35.7,13.6,7.4,13.6,7.37,6.23
2026,12,De'Von Achane,MIA,RB,1,2,SF,100,76.8,20,71.4,0,74,3.7,0,0.95,0,2,5.9,17,23,100,0,30,50,-14.4,2.05,35,1.65,44.6,1,0.05,-0.194,-3.9,8,40,17,0,2.13,25,12,60,57,0,4.75,33.3,12.3,19.1,12.3,19.08,-6.78
2026,13,Bijan Robinson,ATL,RB,1,2,CAR,100,50.7,16,57.1,0,72,4.5,0,0.07,0,2,12.5,22,30.6,0,0,50,43.8,-1.3,1.5,31.3,3,66.7,1,0.06,-0.118,-1.9,12,75,65,0,5.42,66.7,4,25,7,0,1.75,0,11.1,12.6,11.1,12.64,-1.54
2026,14,Derrick Henry,BLT,RB,1,2,NO,100,53.6,16,88.9,0,68,4.25,1,0.85,0,5,0,0,0,100,6.3,87.5,18.8,4.3,2.25,37.5,2,47.1,3,0.19,0.182,2.9,10,62.5,46,1,4.6,90,6,37.5,22,0,3.67,83.3,17.7,16.2,17.7,16.17,1.53
2026,15,Bhayshul Tuten,JAX,RB,1,2,DEN,100,49.1,13,54.2,0,65,5,1,0.65,0,4,16.7,27,41.5,50,7.7,46.2,53.8,8.9,3.23,7.7,1.77,35.4,3,0.23,0.092,1.2,6,46.2,21,0,3.5,33.3,7,53.8,44,1,6.29,57.1,14.2,13.5,14.2,13.53,0.67
2026,16,Tony Pollard,TEN,RB,1,2,PHI,100,52.9,14,51.9,0,64,4.57,0,0.78,0,3,16.7,31,48.4,25,0,42.9,42.9,11.9,1.57,42.9,3,65.6,4,0.29,-0.012,-0.2,7,50,45,0,6.43,57.1,7,50,19,0,2.71,28.6,7.5,11.3,7.5,11.29,-3.79
2026,17,Chuba Hubbard,CAR,RB,1,2,ATL,100,61.7,12,60,0,53,4.42,0,0.34,0,4,10,12,22.6,0,0,50,16.7,2,1.42,33.3,3,67.9,2,0.17,0.014,0.2,4,33.3,17,0,4.25,50,8,66.7,36,0,4.5,50,14.4,15.4,14.4,15.36,-0.96
2026,18,Jahmyr Gibbs,DET,RB,1,2,BUF,100,82.3,16,88.9,0,52,3.25,0,0.37,0,2,13.3,26,50,0,0,31.3,68.8,-20.7,1.06,62.5,2.19,67.3,5,0.31,-0.158,-2.5,10,62.5,42,0,4.2,40,6,37.5,10,0,1.67,16.7,23.3,23.6,23.3,23.62,-0.32
2026,19,Jadarian Price,SEA,RB,1,2,ARZ,100,34.3,13,32.5,0,52,4,0,0.53,1,2,18.2,36,69.2,12.5,0,38.5,61.5,-1,1.08,30.8,2.92,73.1,4,0.31,-0.575,-7.5,11,84.6,45,0,4.09,36.4,2,15.4,7,0,3.5,50,6,9.8,6,9.77,-3.77
2026,20,Brian Robinson,ATL,RB,1,2,CAR,100,46.3,11,39.3,0,51,4.64,0,0.04,0,2,0,0,0,0,0,63.6,9.1,-1.4,2.18,18.2,2.45,52.9,1,0.09,0.074,0.8,8,72.7,40,0,5,62.5,3,27.3,11,0,3.67,66.7,8.7,8.7,8.7,8.74,-0.04
2026,21,Ashton Jeanty,LV,RB,1,2,LAC,100,81.7,21,84,0,48,2.29,0,1.79,0,1,0,0,0,100,0,28.6,66.7,-33.9,0.48,66.7,1.81,79.2,3,0.14,-0.583,-12.2,8,38.1,22,0,2.75,37.5,13,61.9,26,0,2,23.1,10.3,30.5,10.3,30.5,-20.2
2026,22,Kyle Monangai,CHI,RB,1,2,MIN,100,34.3,10,35.7,0,47,4.7,0,0.24,0,3,22.2,27,57.4,0,0,40,50,8.4,2.9,20,1.8,38.3,1,0.1,0.095,1,9,90,40,0,4.44,44.4,1,10,7,0,7,0,7.8,8.6,7.8,8.62,-0.82
2026,23,D'Andre Swift,CHI,RB,1,2,MIN,100,67.1,16,57.1,0,45,2.81,0,0.64,1,3,6.7,12,26.7,100,0,31.3,50,-18.9,1.25,50,1.56,55.6,2,0.13,-0.555,-8.9,15,93.8,39,0,2.6,33.3,1,6.3,6,0,6,0,13.9,18.9,13.9,18.88,-4.98
2026,24,Rhamondre Stevenson,NE,RB,1,2,PIT,100,35.8,6,25,0,43,7.17,0,0.04,1,3,16.7,24,55.8,0,0,66.7,33.3,16.7,3.83,16.7,3.33,46.5,2,0.33,0.303,1.8,4,66.7,39,0,9.75,75,1,16.7,2,0,2,0,4.6,6.3,4.6,6.29,-1.69
2026,25,Jaylen Warren,PIT,RB,1,2,NE,100,71.6,11,52.4,0,43,3.91,0,0.04,0,1,9.1,10,23.3,0,0,36.4,36.4,-9.9,1.82,36.4,2.09,53.5,3,0.27,-0.203,-2.2,7,63.6,19,0,2.71,28.6,4,36.4,24,0,6,50,9.7,8.6,9.7,8.63,1.07
2026,26,Rachaad White,WAS,RB,1,2,DAL,100,53.7,7,28,0,43,6.14,0,0.35,0,4,20,14,32.6,100,0,85.7,14.3,16.6,2.86,28.6,3.29,53.5,2,0.29,0.509,3.6,7,100,43,0,6.14,85.7,0,0,0,0,0,0,14.3,14.9,14.3,14.93,-0.63
2026,27,Jacory Croskey-Merritt,WAS,RB,1,2,DAL,100,34.3,12,48,0,43,3.58,0,0.11,0,0,0,0,0,0,0,50,41.7,-12.8,0.75,66.7,2.83,79.1,0,0,-0.116,-1.4,9,75,34,0,3.78,55.6,3,25,9,0,3,33.3,5.8,7.8,5.8,7.84,-2.04
2026,28,Tyjae Spears,TEN,RB,1,2,PHI,100,37.3,7,25.9,0,41,5.86,0,0.04,0,1,14.3,27,65.9,0,0,42.9,42.9,7.8,1.29,28.6,4.57,78,2,0.29,0.175,1.2,5,71.4,32,0,6.4,40,2,28.6,9,0,4.5,50,9,6.9,9,6.86,2.14
2026,29,Jonah Coleman,DEN,RB,1,2,JAX,100,42.4,10,40,0,39,3.9,1,0.51,0,3,25,24,61.5,25,10,40,60,1.1,3.4,30,0.5,12.8,0,0,-0.021,-0.2,7,70,33,0,4.71,42.9,3,30,6,1,2,33.3,14.8,11.7,14.8,11.7,3.1
2026,30,J.K. Dobbins,DEN,RB,1,2,JAX,100,30.5,10,40,0,36,3.6,0,1.61,0,1,14.3,15,41.7,75,0,50,50,2.4,2.1,40,1.5,41.7,1,0.1,-0.324,-3.2,5,50,29,0,5.8,80,5,50,7,0,1.4,20,3.6,13,3.6,13.02,-9.42
2026,31,Cam Skattebo,NYG,RB,1,2,LA,100,60,12,57.1,0,36,3,0,0.24,0,1,0,0,0,0,0,33.3,50,-19.3,1.08,33.3,1.92,63.9,1,0.08,-0.182,-2.2,6,50,15,0,2.5,33.3,6,50,21,0,3.5,33.3,9.5,13.3,9.5,13.31,-3.81
2026,32,Tank Bigsby,PHI,RB,1,2,TEN,100,33.3,13,43.3,0,33,2.54,1,0.35,0,2,0,0,0,100,7.7,38.5,53.8,-19.4,0.62,38.5,1.92,75.8,1,0.08,-0.133,-1.7,5,38.5,22,0,4.4,40,8,61.5,11,1,1.38,37.5,11.8,10.2,11.8,10.18,1.62
2026,33,Kaleb Johnson,GB,RB,1,2,NYJ,100,28,8,44.4,0,32,4,0,0.03,0,3,25,23,71.9,0,0,50,50,-4.7,1.13,37.5,2.88,71.9,4,0.5,-0.205,-1.6,4,50,13,0,3.25,25,4,50,19,0,4.75,75,3.2,3.9,3.2,3.87,-0.67
2026,34,Javonte Williams,DAL,RB,1,2,WAS,100,79.6,12,66.7,0,30,2.5,0,0.44,0,0,0,0,0,100,0,41.7,66.7,-18.4,0.67,41.7,1.83,73.3,2,0.17,-0.312,-3.7,9,75,21,0,2.33,44.4,3,25,9,0,3,33.3,8,12.2,8,12.2,-4.2
2026,35,Breece Hall,NYJ,RB,1,2,GB,100,65.3,16,69.6,0,29,1.81,0,0.08,0,2,6.3,14,48.3,0,0,37.5,68.8,-45.2,0.75,50,1.06,58.6,1,0.06,-0.439,-7,8,50,10,0,1.25,50,8,50,19,0,2.38,25,14.2,15.9,14.2,15.92,-1.72
2026,36,Jeremiyah Love,ARZ,RB,1,2,SEA,100,40.4,9,56.3,0,29,3.22,0,0.14,0,1,0,0,0,0,0,44.4,55.6,-17.5,1.78,33.3,1.44,44.8,0,0,-0.28,-2.5,4,44.4,17,0,4.25,75,5,55.6,12,0,2.4,20,7.5,10.3,7.5,10.34,-2.84
2026,37,Travis Etienne,NO,RB,1,2,BLT,100,53.1,8,33.3,0,25,3.13,0,0.03,0,1,0,0,0,0,0,50,37.5,-13.8,2,50,1.13,36,1,0.13,-0.084,-0.7,4,50,7,0,1.75,50,4,50,18,0,4.5,50,7.1,7.2,7.1,7.22,-0.12
2026,38,Kaelon Black,SF,RB,1,2,MIA,100,30.6,7,31.8,0,25,3.57,0,0.19,0,0,0,0,0,0,0,42.9,42.9,-8.1,0.86,42.9,2.71,76,2,0.29,-0.283,-2,7,100,25,0,3.57,42.9,0,0,0,0,0,0,2.5,4.4,2.5,4.43,-1.93
2026,39,Bam Knight,ARZ,RB,1,2,SEA,100,6.4,2,12.5,0,24,12,0,0.01,0,1,50,18,75,0,0,100,0,14.9,8,0,4,33.3,1,0.5,-0.563,-1.1,0,0,0,0,0,0,2,100,24,0,12,100,2.4,1,2.4,0.99,1.41
