,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2022,,League Avg,,,,,,,9.105791505791506,40.1027027027027,4.4,0.26872586872586873,0.050965250965250966,82.6,58.3,35.4,10.6,4.7,2.4,1,0.4200772200772201,18.643861003861,0.7297297297297297,24.539768339768337,1.4424710424710425,30.268030888030886,0,0,0,2.258687258687259,6.660772200772199,1.8185328185328185,13.298069498069498,5.682779922779923,7.31,5.89,80.5,0.06795366795366796,3.9623166023166037,0.11505791505791506,0.2857142857142857,0.011583011583011582,9.31374517374511,9.156138996139001,9.156046332046337
2022,1,Josh Jacobs,LV,RB,1,12,SEA,9.705882352941178,33,229,6.94,2,0,78.8,63.6,39.4,12.1,9.1,6.1,6.1,0,0,1,50,4,66.7,0,0,0,6,16.7,6,74,25.1,12.33,12.33,100,0,0,0,1,0,29.4,48.3,48.3
2022,2,Derrick Henry,TEN,RB,1,8,HST,9.169054441260744,32,219,6.84,2,0,84.4,62.5,50,21.9,9.4,6.3,3.1,1,50,1,50,5,83.3,0,0,0,1,10,1,9,16.4,9,9,100,0,0,0,0,0,21.5,35.8,35.8
2022,3,Austin Ekeler,LAC,RB,1,5,CLV,7.8431372549019605,16,173,10.81,1,0,93.8,75,50,31.3,25,12.5,6.3,0,0,1,25,2,33.3,0,0,0,4,11.8,4,26,11.4,6.5,6.5,100,1,100,1,2,0,17.1,35.9,35.9
2022,4,Rhamondre Stevenson,NE,RB,1,15,LV,9.047619047619047,19,172,9.05,1,0,100,84.2,52.6,26.3,21.1,15.8,5.3,1,100,1,100,1,50,0,0,0,4,12.9,2,-4,-3.6,-2,-1,50,0,0,0,0,0,16.3,24.8,24.8
2022,5,Kenneth Walker,SEA,RB,1,7,LAC,10.087719298245613,23,167,7.26,2,0,73.9,52.2,34.8,21.7,13,4.3,4.3,0,0,1,100,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,28.7,28.7
2022,6,D'Onta Foreman,CAR,RB,1,16,DET,10.344827586206897,21,165,7.86,1,0,81,57.1,42.9,23.8,23.8,19,4.8,1,50,2,50,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,22.5,22.5
2022,7,Saquon Barkley,NYG,RB,1,1,TEN,6.101694915254238,18,164,9.11,1,0,88.9,61.1,38.9,22.2,16.7,11.1,11.1,2,100,4,100,5,55.6,0,0,0,7,33.3,6,30,16,5,4.29,85.7,0,0,1,1,0,24.3,33.4,33.4
2022,8,Jonathan Taylor,IND,RB,1,1,HST,16.145833333333336,31,161,5.19,1,0,80.6,58.1,48.4,16.1,3.2,0,0,1,50,2,66.7,7,87.5,0,0,0,5,10,4,14,4,3.5,2.8,80,0,0,0,0,0,28.6,27.5,27.5
2022,9,Rhamondre Stevenson,NE,RB,1,5,DET,11.904761904761903,25,161,6.44,0,0,80,56,36,20,8,8,4,0,0,0,0,3,50,0,0,0,2,9.5,2,14,7.4,7,7,100,0,0,0,1,0,18.6,19.5,19.5
2022,10,Khalil Herbert,CHI,RB,1,3,HST,15.503875968992247,20,157,7.85,2,0,90,65,50,30,10,5,5,3,100,3,100,5,71.4,0,0,0,2,11.8,2,12,11.3,6,6,100,0,0,0,0,0,17,30.9,30.9
2022,11,Travis Etienne,JAX,RB,1,8,DEN,10.909090909090908,24,156,6.5,1,0,87.5,58.3,45.8,16.7,8.3,4.2,4.2,4,100,4,100,6,85.7,0,0,0,3,9.7,3,6,4.5,2,2,100,0,0,0,0,0,21.3,25.2,25.2
2022,12,Josh Jacobs,LV,RB,1,5,KC,6.176470588235294,21,154,7.33,1,0,100,66.7,57.1,19,9.5,9.5,4.8,1,100,1,100,1,50,0,0,0,5,16.7,5,39,16.2,7.8,7.8,100,0,0,0,0,0,18.8,30.3,30.3
2022,13,Joe Mixon,CIN,RB,1,9,CAR,10.476190476190476,22,153,6.95,4,0,86.4,68.2,45.5,22.7,13.6,9.1,0,3,50,6,66.7,7,58.3,0,0,0,4,12.9,4,58,25.4,14.5,14.5,100,1,100,0,3,0,24.9,55.1,55.1
2022,14,Saquon Barkley,NYG,RB,1,10,HST,11.864406779661017,35,152,4.34,1,0,88.6,48.6,34.3,11.4,5.7,2.9,0,2,100,2,66.7,3,60,0,0,0,1,5.9,1,8,4.1,8,8,100,0,0,0,0,0,21.4,23,23
2022,15,Rashaad Penny,SEA,RB,1,4,DET,29.82456140350877,17,151,8.88,2,0,76.5,52.9,47.1,23.5,23.5,17.6,11.8,0,0,1,33.3,1,25,0,0,0,1,3.3,1,6,1.9,6,6,100,0,0,0,0,0,10.8,28.7,28.7
2022,16,Jonathan Taylor,IND,RB,1,10,LV,11.458333333333332,22,147,6.68,1,0,86.4,72.7,40.9,9.1,4.5,4.5,4.5,1,50,1,50,2,50,0,0,0,2,7.1,2,16,7.2,8,8,100,0,0,1,1,0,16.4,24.3,24.3
2022,17,Saquon Barkley,NYG,RB,1,4,CHI,10.508474576271185,31,146,4.71,0,0,77.4,61.3,32.3,12.9,6.5,3.2,0,0,0,0,0,2,50,0,0,0,2,12.5,2,16,19.5,8,8,100,0,0,0,0,0,20.1,18.2,18.2
2022,18,Jamaal Williams,DET,RB,1,17,CHI,8.396946564885496,22,144,6.55,1,0,81.8,63.6,40.9,9.1,4.5,4.5,4.5,2,100,4,80,4,50,0,0,0,1,3.4,1,13,5.1,13,13,100,0,0,0,0,0,15.7,22.7,22.7
2022,19,Miles Sanders,PHI,RB,1,14,NYG,6.563706563706563,17,144,8.47,2,0,88.2,76.5,52.9,29.4,17.6,11.8,5.9,1,50,1,33.3,3,42.9,0,0,0,3,9.7,1,11,5.1,11,3.67,33.3,0,0,0,0,0,15.4,28.5,28.5
2022,20,Josh Jacobs,LV,RB,1,13,LAC,7.647058823529412,26,144,5.54,1,1,88.5,73.1,46.2,11.5,3.8,3.8,0,0,0,0,0,3,100,0,0,0,2,6.7,2,6,2.4,3,3,100,0,0,0,0,1,18.4,22,22
2022,21,Josh Jacobs,LV,RB,1,4,DEN,8.235294117647058,28,144,5.14,2,0,85.7,67.9,46.4,10.7,3.6,3.6,3.6,1,100,5,100,6,85.7,0,0,0,6,17.6,5,31,16.5,6.2,5.17,83.3,0,0,0,0,0,27.8,34.5,34.5
2022,22,D'Andre Swift,DET,RB,1,1,PHI,15.151515151515152,15,144,9.6,1,0,93.3,73.3,60,33.3,20,6.7,6.7,0,0,1,16.7,2,22.2,0,0,0,3,8.1,3,31,14.4,10.33,10.33,100,0,0,0,0,0,13.6,26.5,26.5
2022,23,Aaron Jones,GB,RB,1,8,BUF,9.389671361502346,20,143,7.15,0,0,95,85,60,20,5,5,5,0,0,0,0,0,0,0,0,0,5,16.7,4,14,6.9,3.5,2.8,80,0,0,0,1,0,18.3,19.7,19.7
2022,24,Miles Sanders,PHI,RB,1,12,GB,8.108108108108109,21,143,6.81,2,0,90.5,71.4,57.1,19,14.3,9.5,0,1,25,1,20,2,28.6,0,0,0,3,10.7,3,17,11.1,5.67,5.67,100,0,0,0,0,0,16.6,31,31
2022,25,Josh Jacobs,LV,RB,1,7,HST,5.88235294117647,20,143,7.15,3,0,85,85,70,35,5,0,0,1,100,2,100,3,100,0,0,0,4,14.8,3,12,5,4,3,75,0,0,0,0,0,18.4,36.5,36.5
2022,26,Cordarrelle Patterson,ATL,RB,1,3,SEA,11.805555555555555,17,141,8.29,1,0,94.1,82.4,52.9,23.5,23.5,5.9,5.9,0,0,0,0,2,40,0,0,0,1,5,1,12,5.2,12,12,100,0,0,0,0,0,11.6,22.3,22.3
2022,27,Nick Chubb,CLV,RB,1,1,CAR,7.28476821192053,22,141,6.41,0,0,90.9,72.7,50,18.2,13.6,9.1,0,0,0,1,100,2,33.3,0,0,0,1,2.9,1,2,1.4,2,2,100,0,0,0,0,0,14.1,15.3,15.3
2022,28,Dameon Pierce,HST,RB,1,9,PHI,12.272727272727273,27,139,5.15,0,0,85.2,74.1,44.4,11.1,3.7,3.7,3.7,0,0,1,100,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,13.9,13.9
2022,29,Tyler Allgeier,ATL,RB,1,15,NO,8.095238095238095,17,139,8.18,1,0,100,88.2,64.7,17.6,11.8,5.9,5.9,1,50,1,33.3,3,37.5,0,0,0,1,3.8,1,-3,-3.1,-3,-3,100,0,0,0,0,0,12.4,22.6,22.6
