,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2026,,League Avg,,,,,,,8.89873417721519,34.36708860759494,3.86,0.1518987341772152,0.0759493670886076,81.5,54.9,33.4,8.1,3.6,1.6,0.4,0.4810126582278481,20.158227848101266,0.7721518987341772,25.184810126582278,1.4683544303797469,28.35569620253164,0,0,0,2.0759493670886076,6.450632911392403,1.7721518987341771,12.08860759493671,5.412658227848101,6.82,5.82,85.4,0.05063291139240506,1.6873417721518988,0.0759493670886076,0.2911392405063291,0.012658227848101266,8.956962025316454,7.582278481012659,7.582278481012659
2026,1,James Cook,BUF,RB,1,2,DET,100,21,135,6.43,1,0,95.2,42.9,33.3,23.8,14.3,14.3,4.8,2,50,3,60,4,50,0,0,0,3,9.7,1,4,1.6,4,1.33,33.3,0,0,1,1,0,18.9,20.9,20.9
2026,2,Kenneth Walker,KC,RB,1,2,IND,100,24,117,4.88,0,0,87.5,62.5,45.8,12.5,4.2,0,0,3,100,3,100,5,100,0,0,0,8,17,6,61,16,10.17,7.63,75,0,0,0,2,0,29.5,23.8,23.8
2026,3,Aaron Jones,MIN,RB,1,2,CHI,100,23,105,4.57,0,0,78.3,65.2,39.1,8.7,8.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,10.5,10.5
2026,4,Omarion Hampton,LAC,RB,1,2,LV,100,23,94,4.09,1,1,82.6,60.9,39.1,8.7,4.3,0,0,1,50,1,50,2,66.7,0,0,0,2,7.4,2,21,10.9,10.5,10.5,100,0,0,0,0,0,16.1,18.5,18.5
2026,5,Jonathan Taylor,IND,RB,1,2,KC,100,24,92,3.83,2,0,70.8,58.3,33.3,12.5,4.2,4.2,0,2,100,2,100,5,83.3,0,0,0,4,12.9,4,40,19,10,10,100,0,0,0,0,0,22,29.2,29.2
2026,6,Emanuel Wilson,SEA,RB,1,2,ARZ,100,21,92,4.38,0,0,85.7,57.1,42.9,9.5,4.8,0,0,4,50,5,50,7,46.7,0,0,0,1,3.8,0,0,0,0,0,0,0,0,0,1,0,18.4,9.2,9.2
2026,7,Bucky Irving,TB,RB,1,2,CLV,100,17,89,5.24,0,0,82.4,64.7,35.3,11.8,5.9,5.9,5.9,0,0,0,0,1,25,0,0,0,4,11.8,4,1,0.5,0.25,0.25,100,0,0,0,2,0,16.8,13,13
2026,8,Kyren Williams,LA,RB,1,2,NYG,100,12,85,7.08,0,1,100,91.7,58.3,25,16.7,8.3,0,0,0,1,100,2,66.7,0,0,0,2,6.5,2,12,3.7,6,6,100,1,25,1,1,0,11.3,16.7,16.7
2026,9,Chase Brown,CIN,RB,1,2,HST,100,20,80,4,0,0,85,65,50,10,0,0,0,0,0,0,0,1,100,0,0,0,3,9.7,3,2,1,0.67,0.67,100,0,0,0,0,0,15.3,11.2,11.2
2026,10,Blake Corum,LA,RB,1,2,NYG,100,12,79,6.58,0,0,100,66.7,58.3,25,16.7,0,0,0,0,0,0,0,0,0,0,0,1,3.2,1,13,4,13,13,100,0,0,0,0,0,7.5,10.2,10.2
2026,11,TreVeyon Henderson,NE,RB,1,2,PIT,100,16,76,4.75,1,0,68.8,50,43.8,12.5,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13.6,13.6
2026,12,De'Von Achane,MIA,RB,1,2,SF,100,20,74,3.7,0,0,75,55,40,5,5,0,0,1,100,3,75,4,50,0,0,0,6,26.1,3,19,9.6,6.33,3.17,50,0,0,0,0,0,22.2,12.3,12.3
2026,13,Bijan Robinson,ATL,RB,1,2,CAR,100,16,72,4.5,0,0,100,62.5,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,4,12.5,3,9,6.2,3,2.25,75,0,0,0,0,0,14,11.1,11.1
2026,14,Derrick Henry,BLT,RB,1,2,NO,100,16,68,4.25,1,0,87.5,68.8,62.5,0,0,0,0,1,100,2,100,5,100,0,0,0,3,9.7,3,19,8.1,6.33,6.33,100,0,0,0,0,0,16.5,17.7,17.7
2026,15,Bhayshul Tuten,JAX,RB,1,2,DEN,100,13,65,5,1,0,92.3,61.5,38.5,15.4,7.7,0,0,1,50,1,50,2,66.7,0,0,0,2,6.9,2,-3,-1.6,-1.5,-1.5,100,0,0,1,1,0,11.8,14.2,14.2
2026,16,Tony Pollard,TEN,RB,1,2,PHI,100,14,64,4.57,0,0,78.6,57.1,35.7,14.3,7.1,0,0,1,25,3,42.9,5,45.5,0,0,0,1,5,1,1,0.5,1,1,100,0,0,0,0,0,12.5,7.5,7.5
2026,17,Chuba Hubbard,CAR,RB,1,2,ATL,100,12,53,4.42,0,0,91.7,83.3,41.7,8.3,0,0,0,0,0,2,66.7,3,42.9,0,0,0,2,5.6,2,11,3.8,5.5,5.5,100,1,33.3,1,1,0,12.2,14.4,14.4
2026,18,Jahmyr Gibbs,DET,RB,1,2,BUF,100,16,52,3.25,0,0,50,31.3,31.3,12.5,6.3,0,0,0,0,1,100,3,75,0,0,0,7,18.4,6,61,18.7,10.17,8.71,85.7,1,25,0,2,0,22.4,23.3,23.3
2026,19,Jadarian Price,SEA,RB,1,2,ARZ,100,13,52,4,0,1,69.2,46.2,23.1,15.4,7.7,7.7,0,1,12.5,2,20,3,20,0,0,0,2,7.7,1,8,3.4,8,4,50,0,0,0,0,0,11.9,6,6
