,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2022,,League Avg,,,,,,,44.98898128898126,2.916839916839917,46.76268191268197,0,14.317047817047817,4.91,0.034303534303534305,0.040519750519750604,0.02079002079002079,0.6205821205821206,12.1,5.612266112266112,39.2,2.8066528066528065,1.2,50,39.3,0.17089397089397307,1.9,36.9,3.01,61.4,0.6164241164241164,0.21,-0.025,-0.07245322245322251,1.524948024948025,52.3,6.769230769230769,0.016632016632016633,4.44,48.2,1.3742203742203742,47.1,7.4313929313929314,0.017671517671517672,5.41,51.9,4.342411642411637,4.377962577962573,4.342370062370057,4.378513513513509,-0.036143451143451216
2022,1,Saquon Barkley,NYG,RB,1,1,TEN,16.176470588235293,70.6,11,64.7,0,153,13.91,0,0.06,0,5,40,129,84.3,0,0,63.6,27.3,96.3,4.82,27.3,9.09,65.4,6,0.55,0.704,7.7,4,36.4,19,0,4.75,25,7,63.6,134,0,19.14,85.7,19.6,10.7,19.6,10.66,8.94
2022,2,Travis Etienne,JAX,RB,1,8,DEN,15.686274509803921,73,8,72.7,0,92,11.5,0,0.05,0,4,37.5,72,78.3,0,0,75,25,53.1,3.75,25,7.75,67.4,1,0.13,0.641,5.1,3,37.5,29,0,9.67,100,5,62.5,63,0,12.6,60,11.2,7.2,11.2,7.24,3.96
2022,3,Josh Jacobs,LV,RB,1,4,DEN,12.087912087912088,88.1,11,78.6,0,86,7.82,1,0.57,0,4,20,53,61.6,0,9.1,72.7,18.2,34.7,1.55,45.5,6.27,80.2,3,0.27,0.245,2.7,4,36.4,56,0,14,100,7,63.6,30,1,4.29,57.1,22.7,16.6,22.7,16.56,6.14
2022,4,Jonathan Taylor,IND,RB,1,1,HST,19.736842105263158,65.4,15,93.8,0,84,5.6,0,0.1,0,3,13.3,30,35.7,0,0,66.7,33.3,10.3,2.73,26.7,2.87,51.2,3,0.2,0.235,3.5,8,53.3,35,0,4.38,62.5,7,46.7,49,0,7,71.4,11,11.1,11,11.06,-0.06
2022,5,Rhamondre Stevenson,NE,RB,1,15,LV,8.695652173913043,79.2,6,85.7,0,83,13.83,1,0.05,0,2,50,69,83.1,0,16.7,83.3,0,49.2,8.33,16.7,5.5,39.8,3,0.5,-0.652,-3.9,1,16.7,4,0,4,100,5,83.3,79,1,15.8,80,14.8,5.2,14.8,5.15,9.65
2022,6,Miles Sanders,PHI,RB,1,12,GB,11.494252873563218,50,10,76.9,0,82,8.2,0,0.34,0,2,20,39,47.6,0,0,80,10,25.3,3.6,20,4.6,56.1,4,0.4,0.325,3.2,4,40,21,0,5.25,75,6,60,61,0,10.17,83.3,8.2,7.7,8.2,7.72,0.48
2022,7,Jamaal Williams,DET,RB,1,4,SEA,22.857142857142858,46.2,8,72.7,0,78,9.75,1,0.02,0,3,12.5,51,65.4,0,12.5,50,25,38.3,2.38,12.5,7.38,75.6,2,0.25,0.603,4.8,3,37.5,12,0,4,66.7,5,62.5,66,1,13.2,40,13.8,7,13.8,7,6.8
2022,8,Joe Mixon,CIN,RB,1,5,BLT,14.666666666666666,67.4,11,84.6,0,75,6.82,0,0.01,0,4,27.3,32,42.7,0,0,81.8,18.2,21.8,3.91,18.2,2.91,42.7,2,0.18,0.387,4.3,1,9.1,10,0,10,100,10,90.9,65,0,6.5,80,11.5,10,11.5,10.01,1.49
2022,9,Zonovan Knight,NYJ,RB,1,13,MIN,36.84210526315789,50,7,70,0,74,10.57,0,0.23,0,1,16.7,48,64.9,50,0,71.4,42.9,42.3,3.29,28.6,7.29,68.9,3,0.43,0.301,2.1,3,42.9,16,0,5.33,100,4,57.1,58,0,14.5,50,10.3,7.8,10.3,7.83,2.47
2022,10,Samaje Perine,CIN,RB,1,13,KC,39.473684210526315,81,15,88.2,0,71,4.73,0,0.18,0,2,7.1,10,14.1,0,0,53.3,46.7,2.4,2.13,26.7,2.6,54.9,10,0.67,-0.057,-0.9,4,26.7,17,0,4.25,75,11,73.3,54,0,4.91,45.5,18,17.2,18,17.16,0.84
2022,11,Tony Pollard,DAL,RB,1,13,IND,9.090909090909092,55.2,4,50,0,71,17.75,2,0.54,0,4,100,69,97.2,100,50,100,0,55.2,14.25,0,3.5,19.7,2,0.5,1.649,6.6,1,25,2,1,2,100,3,75,69,1,23,100,22.6,10,22.6,10.05,12.55
2022,12,Saquon Barkley,NYG,RB,1,16,MIN,14.705882352941178,92,10,83.3,0,67,6.7,1,0.04,0,4,10,27,40.3,0,10,70,20,21.3,2.5,10,4.2,62.7,3,0.3,0.466,4.7,10,100,67,1,6.7,70,0,0,0,0,0,0,22.6,15.4,22.6,15.44,7.16
2022,13,Josh Jacobs,LV,RB,1,12,SEA,16.483516483516482,70,15,78.9,0,65,4.33,0,0.08,0,4,6.7,12,18.5,0,0,53.3,33.3,-4.6,1.67,26.7,2.67,61.5,1,0.07,-0.126,-1.9,7,46.7,32,0,4.57,42.9,8,53.3,33,0,4.13,62.5,14.8,14.2,14.8,14.22,0.58
2022,14,Aaron Jones,GB,RB,1,2,CHI,6.666666666666667,69,4,40,0,62,15.5,1,0.37,0,2,50,51,82.3,0,25,75,25,41.4,3.25,50,12.25,79,5,1.25,1.679,6.7,1,25,36,0,36,100,3,75,26,1,8.67,66.7,25,13.3,25,13.28,11.72
2022,15,Josh Jacobs,LV,RB,1,7,HST,9.89010989010989,73.3,9,75,0,62,6.89,2,0.48,0,6,42.9,38,61.3,100,22.2,88.9,11.1,21.7,2.44,33.3,4.44,64.5,5,0.56,0.296,2.7,1,11.1,13,0,13,100,8,88.9,49,2,6.13,87.5,21,9.9,21,9.91,11.09
2022,16,Chuba Hubbard,CAR,RB,1,7,TB,16.666666666666664,73.7,7,77.8,0,59,8.43,1,0.15,0,3,28.6,30,50.8,0,14.3,71.4,14.3,23.9,3.43,28.6,5,59.3,3,0.43,0.686,4.8,6,85.7,53,1,8.83,66.7,1,14.3,6,0,6,100,14.9,8.5,14.9,8.45,6.45
2022,17,Derrick Henry,TEN,RB,1,16,HST,7.894736842105263,54.2,3,60,0,57,19,1,0.7,0,3,33.3,48,84.2,0,33.3,100,0,34.6,1.33,66.7,17.67,93,1,0.33,1.429,4.3,0,0,0,0,0,0,3,100,57,1,19,100,13.2,7.6,13.2,7.58,5.62
2022,18,Zack Moss,IND,RB,1,17,NYG,21.951219512195124,48.8,9,52.9,0,57,6.33,0,0.01,0,2,22.2,22,38.6,0,0,44.4,22.2,9.2,1.67,44.4,4.67,73.7,3,0.33,0.224,2,4,44.4,28,0,7,25,5,55.6,29,0,5.8,60,5.7,4.8,5.7,4.81,0.89
