,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2025,,League Avg,,,,,,,44.00245700245704,8.067158067158067,40.39312039312057,0,33.91728091728092,4.2,0.29484029484029484,0.2976085176085152,0.04013104013104013,1.8902538902538903,10.5,13.638820638820638,40.2,23.13161343161343,3.7,49.5,47.2,1.2073710073710109,2.01,38.3,2.19,52.2,1.1916461916461916,0.15,-0.056,-0.4488943488943492,4.398034398034398,54.5,18.470925470925472,0.11547911547911548,4.2,48.2,3.5511875511875513,44,14.879606879606879,0.17444717444717445,4.19,50.7,6.769860769860793,6.623587223587212,6.769844389844414,6.623407043407046,0.14643734643734535
2025,1,James Cook,BUF,RB,1,8,CAR,6.36042402826855,61.5,18,64.3,0,207,11.5,2,0.37,0,9,38.9,154,74.4,0,11.1,77.8,22.2,116.6,9.06,22.2,2.44,21.3,6,0.33,0.813,14.6,15,83.3,137,1,9.13,80,3,16.7,70,1,23.33,66.7,32.7,11.2,32.7,11.25,21.45
2025,2,Derrick Henry,BLT,RB,1,17,GB,11.469534050179211,73.3,32,74.4,0,205,6.41,4,3.16,0,13,15.4,79,38.5,100,12.5,68.8,25,89.6,3.72,15.6,2.69,42,8,0.25,0.555,17.8,19,59.4,148,1,7.79,63.2,13,40.6,57,3,4.38,76.9,44.5,30.5,44.5,30.5,14
2025,3,Bijan Robinson,ATL,RB,1,17,LA,9.361702127659575,77.3,22,68.8,0,195,8.86,1,0.09,0,4,15,134,68.7,100,4.5,50,40.9,105.4,1.18,40.9,7.68,86.7,11,0.5,0.224,4.9,18,81.8,176,1,9.78,50,3,13.6,16,0,5.33,66.7,39.9,23.5,39.9,23.48,16.42
2025,4,Jahmyr Gibbs,DET,RB,1,12,NYG,4.090909090909091,60.6,9,64.3,0,191,21.22,2,0.02,0,4,33.3,167,87.4,0,22.2,77.8,22.2,151.6,10.33,11.1,10.89,51.3,6,0.67,1.442,13,5,55.6,63,1,12.6,60,4,44.4,128,1,32,100,41.1,11,41.1,10.97,30.13
2025,5,Jonathan Taylor,IND,RB,1,10,ATL,10.080645161290322,91.7,25,89.3,0,184,7.36,3,1.57,0,8,13,106,57.6,100,12,64,32,82.4,5.52,20,1.84,25,4,0.16,0.367,9.2,4,16,11,0,2.75,50,21,84,173,3,8.24,66.7,43.6,24.3,43.6,24.34,19.26
2025,6,Derrick Henry,BLT,RB,1,1,BUF,5.734767025089606,65.8,16,66.7,0,153,9.56,2,0.13,1,4,25,142,92.8,0,12.5,37.5,62.5,85.8,4.69,37.5,4.88,51,3,0.19,0.152,2.4,11,68.8,108,1,9.82,27.3,5,31.3,45,1,9,60,28.6,9.2,28.6,9.21,19.39
2025,7,Ray Davis,BUF,RB,1,18,NYJ,38.46153846153847,68.3,20,54.1,0,149,7.45,0,0.33,0,7,25,80,53.7,0,0,80,20,63.7,4.4,10,3.05,40.9,3,0.15,0.329,6.6,10,50,95,0,9.5,90,10,50,54,0,5.4,70,25.2,17.8,25.2,17.83,7.37
2025,8,Kyle Monangai,CHI,RB,1,9,CIN,14.285714285714285,82.7,22,78.6,0,148,6.73,0,0.33,0,5,15.8,70,47.3,100,0,68.2,40.9,65,2.77,18.2,3.95,58.8,3,0.14,0.322,7.1,12,54.5,61,0,5.08,66.7,9,40.9,74,0,8.22,66.7,17.9,15,17.9,14.97,2.93
