,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,CONCEPT,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,,League Avg,,,,,,65.84823529411764,2.772549019607843,64.7270588235294,0,12.270588235294118,4.43,0.10588235294117647,0.08682352941176476,0.00784313725490196,0.6745098039215687,11.5,4.690196078431373,38.2,10.980392156862745,3.8,52.2,42.3,0.49921568627450946,2.08,35.4,2.34,53,0.48627450980392156,0.18,-0.031,-0.08745098039215694,1.5647058823529412,56.4,6.643137254901961,0.043137254901960784,4.25,50.1,1.1803921568627451,42.6,5.52156862745098,0.06274509803921569,4.68,54.5,1.854509803921569,1.7003921568627431,1.854509803921569,1.6996470588235293,0.15486274509803974
2026,1,Derrick Henry,BLT,RB,1,Outside Zone,62.5,83.3,15,83.3,0,106,7.07,3,0.69,0,6,23.1,65,61.3,100,20,66.7,33.3,44,3.87,20,3.2,45.3,2,0.13,0.429,6.4,15,100,106,3,7.07,66.7,0,0,0,0,0,0,28.6,10.3,28.6,10.34,18.26
2026,2,D'Andre Swift,CHI,RB,1,Outside Zone,72.22222222222221,65,13,65,0,80,6.15,0,0.22,0,2,9.1,32,40,100,0,53.8,23.1,28.3,2.69,23.1,3.46,56.3,5,0.38,0.148,1.9,13,100,80,0,6.15,53.8,0,0,0,0,0,0,8,6.5,8,6.49,1.51
2026,3,Jahmyr Gibbs,DET,RB,1,Outside Zone,41.37931034482759,100,12,100,0,75,6.25,0,0.11,0,5,27.3,43,57.3,100,0,66.7,33.3,25.6,4.83,25,1.42,22.7,5,0.42,0.203,2.4,12,100,75,0,6.25,66.7,0,0,0,0,0,0,7.5,5.6,7.5,5.63,1.87
2026,4,Kenneth Walker,KC,RB,1,Power,26.08695652173913,75,6,75,0,74,12.33,1,0.14,0,3,16.7,60,81.1,0,16.7,50,50,52.7,0.67,66.7,11.67,94.6,3,0.5,1.086,6.5,0,0,0,0,0,0,6,100,74,1,12.33,50,13.4,3,13.4,2.97,10.43
2026,5,Kyle Monangai,CHI,RB,1,Man/Duo,20,28.6,2,28.6,0,68,34,1,0.03,0,1,50,61,89.7,0,50,100,0,57.1,5,0,29,85.3,1,0.5,2.734,5.5,0,0,0,0,0,0,2,100,68,1,34,100,12.8,1.2,12.8,1.24,11.56
2026,6,Jonathan Taylor,IND,RB,1,Outside Zone,47.368421052631575,100,9,100,0,54,6,1,1.03,0,4,50,49,90.7,100,11.1,66.7,33.3,22.9,3.11,33.3,2.89,48.1,3,0.33,0.139,1.3,9,100,54,1,6,66.7,0,0,0,0,0,0,11.4,9.3,11.4,9.27,2.13
2026,7,Saquon Barkley,PHI,RB,1,Inside Zone,26.666666666666668,100,4,100,0,51,12.75,0,0.01,0,1,25,42,82.4,0,0,50,25,30.8,10.25,25,2.5,19.6,4,1,0.637,2.5,4,100,51,0,12.75,50,0,0,0,0,0,0,5.1,2.1,5.1,2.06,3.04
2026,8,Jadarian Price,SEA,RB,1,Outside Zone,80,72.7,8,72.7,0,45,5.63,0,0.01,0,3,25,25,55.6,0,0,75,25,11.7,2.75,37.5,2.88,51.1,2,0.25,0.112,0.9,8,100,45,0,5.63,75,0,0,0,0,0,0,4.5,3.4,4.5,3.37,1.13
2026,9,D'Andre Swift,CHI,RB,1,Man/Duo,27.77777777777778,71.4,5,71.4,0,44,8.8,3,1.8,0,3,33.3,28,63.6,100,60,100,0,29.5,3.6,0,5.2,59.1,1,0.2,1.46,7.3,0,0,0,0,0,0,5,100,44,3,8.8,100,22.4,12.3,22.4,12.26,10.14
2026,10,Bijan Robinson,ATL,RB,1,Outside Zone,47.61904761904761,71.4,10,71.4,0,44,4.4,0,0.02,0,4,10,20,45.5,0,0,50,50,-0.3,2.1,40,2.3,52.3,2,0.2,0.105,1,10,100,44,0,4.4,50,0,0,0,0,0,0,4.4,4.5,4.4,4.54,-0.14
2026,11,Kenneth Walker,KC,RB,1,Inside Zone,26.08695652173913,85.7,6,85.7,0,42,7,0,0.01,0,1,16.7,28,66.7,0,0,33.3,66.7,14.3,0.17,50,6.83,97.6,6,1,-0.181,-1.1,6,100,42,0,7,33.3,0,0,0,0,0,0,4.2,2.8,4.2,2.82,1.38
2026,12,Jordan Mason,MIN,RB,1,Outside Zone,46.666666666666664,70,7,70,0,41,5.86,0,0.06,0,1,14.3,28,68.3,0,0,42.9,42.9,10.1,4.14,42.9,1.71,29.3,0,0,-0.083,-0.6,7,100,41,0,5.86,42.9,0,0,0,0,0,0,4.1,3.4,4.1,3.43,0.67
2026,13,Bhayshul Tuten,JAX,RB,1,Outside Zone,40,66.7,6,66.7,0,41,6.83,0,0.07,0,2,33.3,24,58.5,0,0,83.3,16.7,-1.6,4.5,16.7,2.33,34.1,3,0.5,0.288,1.7,6,100,41,0,6.83,83.3,0,0,0,0,0,0,4.1,4.7,4.1,4.69,-0.59
