,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,,League Avg,,,,,,54.81167512690355,3.5888324873096447,55.434517766497486,0,15.883248730964468,4.43,0.13705583756345177,0.1124365482233503,0.030456852791878174,0.8730964467005076,11.5,6.071065989847716,38.2,13.748223350253808,3.8,52.2,42.3,0.6502538071065976,2.08,35.4,2.34,53,0.6294416243654822,0.18,-0.031,-0.11116751269035541,2.0253807106598987,56.4,8.598984771573605,0.05583756345177665,4.25,50.1,1.5279187817258884,42.6,7.147208121827411,0.08121827411167512,4.68,54.5,2.380203045685278,2.1984771573604043,2.380203045685278,2.200050761421319,0.18015228426395954
2026,1,Jahmyr Gibbs,DET,RB,1,11,44.827586206896555,64.4,13,92.9,0,107,8.23,0,0.17,1,9,50,79,73.8,100,0,76.9,15.4,49.2,6.38,7.7,1.85,22.4,1,0.08,0.357,4.6,5,38.5,49,0,9.8,100,8,61.5,58,0,7.25,62.5,9.7,6.8,9.7,6.83,2.87
2026,2,Kyle Monangai,CHI,RB,1,11,50,44.7,5,27.8,0,84,16.8,1,0.07,0,2,40,75,89.3,0,20,60,20,60.6,3.2,20,13.6,81,1,0.2,1.208,6,4,80,23,0,5.75,50,1,20,61,1,61,100,14.4,2.7,14.4,2.74,11.66
2026,3,Kenneth Walker,KC,RB,1,13,30.434782608695656,77.8,7,77.8,0,83,11.86,1,0.15,0,5,16.7,60,72.3,0,14.3,71.4,28.6,61.8,1.71,28.6,10.14,85.5,4,0.57,1.542,10.8,1,14.3,3,0,3,0,6,85.7,80,1,13.33,83.3,14.3,3,14.3,3,11.3
2026,4,Derrick Henry,BLT,RB,1,12,58.333333333333336,90,14,100,0,77,5.5,1,0.34,0,3,16.7,43,55.8,0,7.1,50,57.1,14.3,1.86,35.7,3.64,66.2,2,0.14,0.161,2.3,9,64.3,64,1,7.11,55.6,5,35.7,13,0,2.6,40,13.7,8.3,13.7,8.3,5.4
2026,5,D'Andre Swift,CHI,RB,1,11,61.111111111111114,55.3,11,61.1,0,72,6.55,2,2,0,4,14.3,32,44.4,75,18.2,72.7,9.1,36.7,3,9.1,3.55,54.2,4,0.36,0.433,4.8,8,72.7,65,0,8.13,62.5,3,27.3,7,2,2.33,100,19.2,15.5,19.2,15.54,3.66
2026,6,Saquon Barkley,PHI,RB,1,11,46.666666666666664,71.1,7,77.8,0,66,9.43,0,0.02,0,2,14.3,42,63.6,0,0,71.4,28.6,32.7,7.14,28.6,2.29,24.2,5,0.71,0.419,2.9,5,71.4,54,0,10.8,60,1,14.3,4,0,4,100,6.6,3.4,6.6,3.42,3.18
2026,7,Christian McCaffrey,SF,RB,1,21,80,55.6,8,47.1,0,57,7.13,0,0.26,0,2,28.6,30,52.6,0,0,75,37.5,21.4,5.13,0,2,28.1,3,0.38,0.33,2.6,7,87.5,41,0,5.86,71.4,1,12.5,16,0,16,100,5.7,5.1,5.7,5.11,0.59
2026,8,Jonathan Taylor,IND,RB,1,11,57.89473684210527,85,11,100,0,56,5.09,2,1.04,1,5,37.5,32,57.1,100,18.2,72.7,18.2,15.9,2.45,27.3,2.64,51.8,2,0.18,0.351,3.9,8,72.7,27,2,3.38,62.5,3,27.3,29,0,9.67,100,16.6,10.2,16.6,10.23,6.37
