,Team Details,Team Details,Team Details,Splits,Splits,Splits,Record,Record,Record,Record,Record,Record,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Drives,Drives,Drives,Drives,Drives,Drives,EPA,EPA,EPA,EPA,EPA,Success,Success,Success,Explosive,Explosive,Explosive,Turnovers,Turnovers,Coverage,Coverage,Coverage,Coverage,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Penalties,Penalties,Penalties,Fantasy,Fantasy,Fantasy,Fantasy
Season,Rank,Name,G,WEEK,OPP,PLAY %,W-L-T,WIN %,PF,PA,DIFF,TO +/-,PLAYS,Y/P,TOP,PACE,AVG START,DR,PTS/DR,SCR %,TD %,FG %,PUNT %,EPA,EPA/P,EPA/DR,EPA/DB,EPA/RU,SUCC %,PASS SUCC %,RUSH SUCC %,EXP %,PASS EXP %,RUSH EXP %,TO,TO/DR %,MAN %,ZONE %,1-HIGH %,2-HIGH %,BASE %,SUB %,PRESS %,BLITZ %,BOX,PASS %,PROE,PEN,PEN YDS,PEN EPA,QB FPG,RB FPG,WR FPG,TE FPG
2022,,League Avg,,,,,0,50,21.881918819188193,21.881918819188193,0,0,62.981549815498155,5.400456995547223,1812.9114391143912,28.784801968596206,28.576884082460296,10.918819188191883,1.9205812774586006,36.26225076039202,20.986819871578234,15.275430888813787,36.95505238256167,-1.0449302828950668,-0.01659105382379676,-0.09569993466190034,0.015182953666003645,-0.06309298250782396,47.13791891258495,45.9819446499926,48.82446271455358,10.484589913397862,8.847864017560646,12.61637709845319,1.2361623616236161,11.321392362284556,25.830003453209017,69.4785654383109,53.56420502195254,46.435794978047454,25.41046088894101,73.3933388061452,32.149375955798924,22.934241033989444,6.69496892224698,59.383056011249124,0.19799393358334014,2.2878228782287824,21.177121771217713,2.577228851510448,17.024797047970484,22.26177121771218,32.91136531365313,12.039114391143913
2022,1,New England Patriots,1,9,IND,5.499541704857928,1-0,100,26,3,23,0,60,2.0166666666666666,1728,28.8,30.799999999999997,15,0.2,6.666666666666667,0,6.666666666666667,53.333333333333336,-37.91078501306,-0.6318464168843333,-2.527385667537333,-0.6513570194180952,-0.5863216776388889,30,33.33333333333333,22.22222222222222,3.3333333333333335,2.631578947368421,4.545454545454546,1,6.666666666666667,33.33333333333333,64.28571428571429,66.66666666666666,33.33333333333333,6.666666666666667,93.33333333333333,38.095238095238095,28.57142857142857,6.066666666666666,70,2.9552218266666705,2,20,3.0480053854999998,7.0200000000000005,12.6,12.1,4.5
2022,2,Los Angeles Chargers,1,16,IND,4.990019960079841,1-0,100,20,3,17,1,50,3.46,1553,31.06,30.5,10,0.3,10,0,10,30,-28.619407838636,-0.57238815677272,-2.8619407838636,-0.6864175702596111,-0.27916966494928575,36,30.555555555555557,50,2.083333333333333,0,7.142857142857142,3,30,22.22222222222222,77.77777777777779,44.44444444444444,55.55555555555556,16,84,41.66666666666667,33.33333333333333,6.12,72,4.0181934760000075,3,40,2.9362059571,2.72,12.3,17.4,8.5
2022,3,Jacksonville Jaguars,1,17,HST,6.0578661844484625,1-0,100,31,3,28,-1,67,4.134328358208955,1814,27.074626865671643,23.07692307692308,13,0.23076923076923078,7.6923076923076925,0,7.6923076923076925,46.15384615384615,-33.93897816173,-0.5065519128616418,-2.6106906278253845,-0.5341958204306123,-0.4312990533683333,35.82089552238806,32.6530612244898,44.44444444444444,7.575757575757576,6.666666666666667,9.523809523809524,1,7.6923076923076925,30.612244897959183,67.3469387755102,65.3061224489796,34.69387755102041,13.432835820895523,86.56716417910447,44.89795918367347,16.3265306122449,6.776119402985074,73.13432835820896,1.9134870089552256,2,30,1.5717680494,11.44,15.4,21,12.4
2022,4,Washington Commanders,1,18,DAL,6.613226452905812,1-0,100,26,6,20,1,66,2.757575757575758,1416,21.454545454545453,22.599999999999994,15,0.4,6.666666666666667,6.666666666666667,0,66.66666666666666,-31.80166372238,-0.4818433897330303,-2.120110914825333,-0.4057007477330953,-0.6150930132329167,31.818181818181817,33.33333333333333,29.166666666666668,0,0,0,1,6.666666666666667,0,100,33.33333333333333,66.66666666666666,1.5384615384615385,98.46153846153847,30.952380952380953,21.428571428571427,6.015384615384615,63.63636363636363,-6.800323530303035,0,0,0,9.72,4.8,24.1,8.7
2022,5,Arizona Cardinals,1,4,CAR,4.744186046511628,1-0,100,26,16,10,2,51,4.313725490196078,1270,24.901960784313726,26.727272727272734,11,0.9090909090909091,18.181818181818183,9.090909090909092,9.090909090909092,36.36363636363637,-23.50964496959,-0.4609734307762745,-2.137240451780909,-0.32542018363605263,-0.8572059993400001,43.13725490196079,44.73684210526316,38.46153846153847,8.16326530612245,2.7777777777777777,23.076923076923077,3,27.27272727272727,7.894736842105263,92.10526315789474,60.526315789473685,39.473684210526315,68.62745098039215,31.372549019607842,23.684210526315788,31.57894736842105,6.352941176470588,74.50980392156863,10.345732368627445,1,11,2.051043686,8.879999999999999,26,17.7,8
2022,6,Jacksonville Jaguars,1,2,IND,4.3399638336347195,1-0,100,24,0,24,3,48,4.541666666666667,1285,26.770833333333332,29.63636363636364,11,0,0,0,0,45.45454545454545,-20.980514610608,-0.4370940543876667,-1.907319510055273,-0.5814055306514286,-0.04856315675446155,29.166666666666668,31.428571428571427,23.076923076923077,9.523809523809524,6.896551724137931,15.384615384615385,3,27.27272727272727,22.857142857142858,62.857142857142854,37.142857142857146,62.857142857142854,31.25,68.75,48.57142857142857,22.857142857142858,6.5,72.91666666666666,-0.1497329458333289,1,4,0.5471369121,4.8,14.7,20.900000000000002,5.3
2022,7,Cleveland Browns,1,13,HST,5.859750240153699,1-0,100,27,14,13,2,61,4.639344262295082,1668,27.34426229508197,25.64285714285714,14,0.8571428571428571,21.428571428571427,7.142857142857142,14.285714285714285,50,-26.55459663429,-0.4353212562998361,-1.8967569024492856,-0.46748085306230774,-0.3783110620390909,40.98360655737705,38.46153846153847,45.45454545454545,5.555555555555555,5.88235294117647,5,3,21.428571428571427,20.51282051282051,74.35897435897436,51.28205128205128,48.717948717948715,40.98360655737705,57.377049180327866,38.46153846153847,17.94871794871795,6.786885245901639,63.934426229508205,3.757724190163935,1,15,1.061356124,9.14,16.6,23.9,13.7
2022,8,New England Patriots,1,5,DET,5.866177818515124,1-0,100,29,0,29,1,64,4.875,1695,26.484375,31,10,0,0,0,0,20,-27.4932590815318,-0.4295821731489344,-2.74932590815318,-0.5522512279228204,-0.238218447701672,42.1875,35.8974358974359,52,13.793103448275861,16.129032258064516,11.11111111111111,2,20,56.41025641025641,35.8974358974359,66.66666666666666,33.33333333333333,6.25,93.75,25.64102564102564,35.8974358974359,6.75,60.9375,-6.885483137500003,3,27,3.1050390963,7.86,19.2,30.5,1.6
2022,9,Buffalo Bills,1,16,CHI,5.917753259779338,1-0,100,35,13,22,-1,59,3.542372881355932,1861,31.54237288135593,34.53846153846153,13,1,23.076923076923077,7.6923076923076925,15.384615384615385,30.76923076923077,-24.965634589881,-0.42314634898103387,-1.920433429990846,-0.30379121143303034,-0.5746355620227308,33.89830508474576,36.36363636363637,30.76923076923077,7.142857142857142,7.142857142857142,7.142857142857142,2,15.384615384615385,12.121212121212121,75.75757575757575,36.36363636363637,63.63636363636363,16.94915254237288,83.05084745762711,24.242424242424242,9.090909090909092,6.423728813559322,55.932203389830505,-11.622521325423724,3,22,1.8132958731,9.860000000000001,13.7,21.7,8.9
