"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Washington Football Team","QB","17","665","597","400","4520","34","100.8","83","476","5.734939759036145","5","","","","","","22.317647058823532","379.40000000000003"
"2","Kansas City Chiefs","QB","17","673","606","398","4442","26","91.3","76","389","5.118421052631579","7","","","11","","","20.451764705882358","347.68000000000006"
"3","Atlanta Falcons","QB","17","620","572","387","4046","31","97.3","92","426","4.630434782608695","4","","","","","","20.320000000000004","345.44000000000005"
"4","Baltimore Ravens","QB","17","668","620","397","4986","31","99.6","41","125","3.048780487804878","2","","","","","","19.82","336.94"
"5","New York Jets","QB","17","641","583","399","4611","27","102.5","71","298","4.197183098591549","3","","","","","","19.60235294117647","333.24"
"6","Minnesota Vikings","QB","17","710","625","400","4643","29","91.2","63","336","5.333333333333333","1","","","","","","19.43058823529412","330.32000000000005"
"7","Green Bay Packers","QB","17","679","599","377","3943","30","86.1","74","454","6.135135135135135","3","","","","","","18.889411764705883","321.12"
"8","Indianapolis Colts","QB","17","661","596","390","4203","32","90.6","72","382","5.305555555555555","","","","7","","","18.82470588235294","320.02"
"9","Houston Texans","QB","17","599","546","363","4342","27","94.1","68","176","2.588235294117647","5","","","","","","18.663529411764706","317.28000000000003"
"10","Detroit Lions","QB","17","604","543","359","4361","31","101.2","74","267","3.608108108108108","","","","","","","18.59647058823529","316.14"
"11","Tampa Bay Buccaneers","QB","17","760","676","443","4302","26","85.6","84","399","4.75","3","","","","","","18.587058823529414","315.98"
"12","Tennessee Titans","QB","17","699","625","393","4474","24","86.4","59","207","3.5084745762711864","5","","","","","","18.33294117647059","311.66"
"13","Jacksonville Jaguars","QB","17","603","543","377","4111","24","100.8","64","331","5.171875","4","","","","","","18.267058823529414","310.54"
"14","Chicago Bears","QB","17","545","477","314","3623","31","103.3","60","202","3.3666666666666667","5","","","","","","18.12470588235294","308.12"
"15","Los Angeles Chargers","QB","17","623","557","356","3991","27","93.1","58","294","5.068965517241379","3","1","1","1","1","","18.06705882352941","307.14"
"16","San Francisco 49ers","QB","17","621","540","369","3815","25","97","64","362","5.65625","4","1","1","-4","-4","","18.02352941176471","306.40000000000003"
"17","Las Vegas Raiders","QB","17","672","604","399","3980","29","96.5","67","279","4.164179104477612","1","","","","","","17.947058823529414","305.1"
"18","Cincinnati Bengals","QB","17","690","625","419","4487","26","93.1","57","252","4.421052631578948","1","","","","","","17.863529411764706","303.68"
"19","Seattle Seahawks","QB","17","720","658","443","4766","24","93.6","59","231","3.9152542372881354","","","","","","","17.749411764705883","301.74"
"20","Philadelphia Eagles","QB","17","645","589","409","3976","28","95.4","66","175","2.6515151515151514","4","","","","","","17.737647058823526","301.53999999999996"
"21","Arizona Cardinals","QB","17","624","559","365","3835","30","93.3","59","260","4.406779661016949","3","","","","","","17.670588235294115","300.4"
"22","Dallas Cowboys","QB","17","678","608","362","4321","24","76.7","75","315","4.2","4","","","","","","17.667058823529413","300.34000000000003"
"23","Pittsburgh Steelers","QB","17","649","562","355","3977","24","88.8","74","394","5.324324324324325","3","","","","","","17.381176470588237","295.48"
"24","Cleveland Browns","QB","17","638","575","367","3712","29","89.6","67","207","3.08955223880597","3","","","","","","17.01058823529412","289.18"
"25","New Orleans Saints","QB","17","670","591","369","4131","20","81.8","71","287","4.042253521126761","5","","","","","","16.70235294117647","283.94"
"26","Carolina Panthers","QB","17","567","514","336","3543","26","94.8","68","246","3.6176470588235294","3","1","1","16","16","","16.701176470588237","283.92"
"27","Miami Dolphins","QB","17","674","605","373","4251","23","85.8","62","216","3.4838709677419355","3","1","","","","","16.625882352941176","282.64"
"28","Los Angeles Rams","QB","17","703","622","414","4435","16","83.1","58","292","5.0344827586206895","4","","","","","","16.447058823529414","279.6"
"29","Denver Broncos","QB","17","631","562","341","3901","22","85","74","308","4.162162162162162","2","","","","","","16.16705882352941","274.84"
"30","New York Giants","QB","17","663","606","399","4013","27","90.5","49","201","4.1020408163265305","","","","","","","15.97764705882353","271.62"
"31","New England Patriots","QB","17","599","538","319","3437","21","73.3","65","259","3.9846153846153847","1","","","","","","13.434117647058823","228.38"
"32","Buffalo Bills","QB","17","604","529","297","3047","12","65.5","77","292","3.792207792207792","5","","","","","","12.475294117647058","212.07999999999998"
