"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Houston Texans","RB","17","","","","","","","462","2412","5.220779220779221","22","104","84","616","5.923076923076923","3","31.5764705882353","536.8000000000001"
"2","Arizona Cardinals","RB","17","","","","","","","355","1662","4.68169014084507","16","116","100","784","6.758620689655173","6","27.976470588235294","475.6"
"3","Chicago Bears","RB","17","","","","","","","412","2082","5.053398058252427","20","87","73","552","6.344827586206897","3","27.67058823529412","470.40000000000003"
"4","Las Vegas Raiders","RB","17","","","","","","","376","1675","4.454787234042553","15","123","100","818","6.650406504065041","5","27.429411764705883","466.3"
"5","Seattle Seahawks","RB","17","1","1","","","","","417","1951","4.678657074340528","13","104","89","726","6.980769230769231","4","26.864705882352943","456.70000000000005"
"6","Los Angeles Chargers","RB","17","","","","","","","386","2158","5.590673575129534","14","70","62","438","6.257142857142857","5","25.447058823529414","432.6"
"7","Cleveland Browns","RB","17","","","","","","","394","1988","5.0456852791878175","16","92","75","470","5.108695652173913","2","25.04705882352941","425.8"
"8","Indianapolis Colts","RB","17","","","","","","","407","1663","4.085995085995086","13","109","91","640","5.871559633027523","3","24.429411764705883","415.3"
"9","Green Bay Packers","RB","17","2","2","2","4","1","118.8","392","1925","4.910714285714286","13","82","65","519","6.329268292682927","2","23.797647058823525","404.55999999999995"
"10","Denver Broncos","RB","17","","","","","","","361","1612","4.465373961218837","10","112","90","670","5.982142857142857","4","23.482352941176472","399.20000000000005"
"11","Minnesota Vikings","RB","17","","","","","","","379","1512","3.9894459102902373","12","111","88","657","5.918918918918919","3","23.111764705882354","392.90000000000003"
"12","Jacksonville Jaguars","RB","17","","","","","","","358","1409","3.935754189944134","12","131","102","773","5.900763358778626","","23.07058823529412","392.20000000000005"
"13","Los Angeles Rams","RB","17","1","1","1","34","1","158.3","385","1632","4.238961038961039","11","97","77","629","6.484536082474227","2","22.674117647058825","385.46000000000004"
"14","Kansas City Chiefs","RB","17","","","","","","","322","1380","4.285714285714286","6","114","102","736","6.456140350877193","4","21.91764705882353","372.6"
"15","New York Giants","RB","17","","","","","","","385","2019","5.244155844155844","13","64","45","377","5.890625","2","21.917647058823526","372.59999999999997"
"16","Philadelphia Eagles","RB","17","1","1","1","4","","83.3","343","1498","4.36734693877551","12","104","83","532","5.115384615384615","2","21.715294117647062","369.16"
"17","Miami Dolphins","RB","17","","","","","","","311","1152","3.7041800643086815","11","109","88","666","6.110091743119266","5","21.458823529411767","364.8"
"18","Atlanta Falcons","RB","17","","","","","","","402","1788","4.447761194029851","10","76","64","450","5.921052631578948","3","21.400000000000002","363.8"
"19","Carolina Panthers","RB","17","","","","","","","374","1640","4.385026737967914","11","86","67","428","4.976744186046512","4","21.341176470588238","362.8"
"20","New York Jets","RB","17","","","","","","","389","1641","4.218508997429306","7","113","84","623","5.513274336283186","1","21.082352941176474","358.40000000000003"
"21","Baltimore Ravens","RB","17","","","","","","","336","1327","3.949404761904762","8","110","91","714","6.490909090909091","2","20.77058823529412","353.1"
"22","New Orleans Saints","RB","17","","","","","","","394","1765","4.479695431472082","8","85","66","413","4.858823529411764","3","20.75294117647059","352.8"
"23","Pittsburgh Steelers","RB","17","","","","","","","359","1534","4.272980501392758","7","81","64","523","6.45679012345679","6","20.452941176470592","347.70000000000005"
"24","Cincinnati Bengals","RB","16","","","","","","","335","1311","3.9134328358208954","9","98","70","493","5.030612244897959","3","20.2125","323.4"
"25","Buffalo Bills","RB","16","","","","","","","319","1401","4.391849529780564","9","89","71","456","5.123595505617978","2","20.10625","321.7"
"26","Tampa Bay Buccaneers","RB","17","","","","","","","363","1613","4.443526170798898","7","76","63","386","5.078947368421052","4","19.22941176470588","326.9"
"27","Detroit Lions","RB","17","1","","","","","","354","1682","4.751412429378531","14","58","44","322","5.551724137931035","","19.082352941176474","324.40000000000003"
"28","New England Patriots","RB","17","","","","","","","353","1349","3.821529745042493","3","106","82","635","5.990566037735849","2","18.141176470588235","308.4"
"29","Dallas Cowboys","RB","17","","","","","","","411","1721","4.18734793187348","6","72","61","434","6.027777777777778","","18.08823529411765","307.5"
"30","Washington Commanders","RB","17","","","","","","","336","1351","4.020833333333333","7","76","56","384","5.052631578947368","6","18.029411764705884","306.5"
"31","Tennessee Titans","RB","17","1","1","","","","39.6","315","1068","3.3904761904761904","6","104","87","572","5.5","1","17.41176470588235","296"
"32","San Francisco 49ers","RB","17","1","1","","","","","307","1012","3.2964169381107493","7","117","86","523","4.47008547008547","","16.264705882352942","276.5"
