"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","17","","","","","","","2","3","1.5","","139","111","1114","8.014388489208633","10","16.629411764705882","282.7"
"2","Las Vegas Raiders","TE","17","","","","","","","","","","","133","102","1097","8.24812030075188","9","15.570588235294117","264.7"
"3","Los Angeles Rams","TE","17","","","","","","","5","10","2","","137","106","1104","8.058394160583942","7","15.258823529411764","259.4"
"4","Indianapolis Colts","TE","17","","","","","","","1","","","","121","101","987","8.15702479338843","9","15.041176470588235","255.7"
"5","Kansas City Chiefs","TE","17","","","","","","","1","2","2","","132","106","1191","9.022727272727273","5","14.958823529411765","254.3"
"6","Carolina Panthers","TE","17","1","1","","","","39.6","10","54","5.4","1","106","83","920","8.679245283018869","11","14.847058823529412","252.4"
"7","Pittsburgh Steelers","TE","17","","","","","","","1","1","1","","140","106","959","6.85","7","14.411764705882353","245"
"8","Tampa Bay Buccaneers","TE","17","","","","","","","1","3","3","","131","102","1144","8.732824427480915","5","14.394117647058822","244.7"
"9","Cleveland Browns","TE","17","2","2","1","18","","41.7","9","150","16.666666666666668","3","119","83","833","7","6","13.765882352941176","234.02"
"10","Jacksonville Jaguars","TE","17","","","","","","","1","17","17","","118","87","933","7.906779661016949","8","13.529411764705882","230"
"11","Miami Dolphins","TE","17","","","","","","","1","-3","-3","","133","98","950","7.142857142857143","5","13.1","222.7"
"12","Baltimore Ravens","TE","17","","","","","","","1","1","1","","124","93","963","7.766129032258065","5","12.905882352941177","219.4"
"13","Green Bay Packers","TE","17","","","","","","","","","","","120","93","970","8.083333333333334","4","12.588235294117647","214"
"14","Atlanta Falcons","TE","17","","","","","","","10","38","3.8","2","106","77","828","7.811320754716981","6","12.447058823529414","211.60000000000002"
"15","Chicago Bears","TE","17","","","","","","","1","2","2","1","110","83","1011","9.190909090909091","4","12.429411764705883","211.3"
"16","Buffalo Bills","TE","17","","","","","","","","","","","126","92","817","6.484126984126984","5","12.1","205.7"
"17","Denver Broncos","TE","17","","","","","","","1","-4","-4","","134","95","799","5.962686567164179","5","11.970588235294118","203.5"
"18","New England Patriots","TE","17","","","","","","","2","-1","-0.5","","119","87","854","7.176470588235294","5","11.841176470588236","201.3"
"19","Seattle Seahawks","TE","17","","","","","","","","","","","115","85","876","7.6173913043478265","4","11.564705882352943","196.60000000000002"
"20","Minnesota Vikings","TE","17","","","","","","","","","","","115","88","880","7.6521739130434785","3","11.470588235294118","195"
"21","Houston Texans","TE","17","","","","","","","","","","","105","73","709","6.752380952380952","8","11.347058823529412","192.9"
"22","New Orleans Saints","TE","17","","","","","","","2","1","0.5","","105","82","962","9.161904761904761","2","11.311764705882354","192.3"
"23","Washington Commanders","TE","17","","","","","","","","","","","91","68","678","7.450549450549451","8","10.929411764705883","185.8"
"24","New York Jets","TE","17","","","","","","","","","","","114","82","738","6.473684210526316","5","10.870588235294118","184.8"
"25","Los Angeles Chargers","TE","17","1","1","1","3","","79.2","6","18","3","","123","91","775","6.300813008130081","2","10.73058823529412","182.42000000000002"
"26","Dallas Cowboys","TE","17","","","","","","","3","18","6","","86","65","711","8.267441860465116","7","10.464705882352941","177.9"
"27","San Francisco 49ers","TE","17","","","","","","","","","","","101","76","688","6.811881188118812","5","10.282352941176471","174.8"
"28","Arizona Cardinals","TE","17","","","","","","","1","2","2","","105","80","719","6.847619047619047","2","9.770588235294118","166.10000000000002"
"29","Philadelphia Eagles","TE","17","","","","","","","1","2","2","","96","68","591","6.15625","5","9.311764705882354","158.3"
"30","Tennessee Titans","TE","17","","","","","","","","","","","95","70","636","6.6947368421052635","4","9.270588235294117","157.6"
"31","New York Giants","TE","17","","","","","","","","","","","81","66","675","8.333333333333334","4","9.264705882352942","157.5"
"32","Detroit Lions","TE","17","","","","","","","2","-2","-1","","103","68","665","6.456310679611651","3","8.9","151.3"
