"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","17","2025","Cincinnati","Bengals","1","1","0","0","0","39.6","3","6","2.00","0","162","116","1444","8.91","16","21.0","357.0"
"2","Arizona Cardinals","TE","17","2025","Arizona","Cardinals","0","0","0","0","0","","2","3","1.50","0","140","107","1166","8.33","11","17.0","288.9"
"3","Pittsburgh Steelers","TE","17","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","135","106","1121","8.30","11","16.7","283.3"
"4","Miami Dolphins","TE","17","2025","Miami","Dolphins","0","0","0","0","0","","9","27","3.00","2","139","108","1134","8.16","8","16.7","283.1"
"5","Washington Commanders","TE","17","2025","Washington","Commanders","0","0","0","0","0","","1","1","1.00","1","112","86","1040","9.29","12","15.9","270.1"
"6","Tampa Bay Buccaneers","TE","17","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","5","-2","-0.40","0","128","100","969","7.57","12","15.8","268.7"
"7","New York Jets","TE","17","2025","New York","Jets","1","1","1","38","1","158.3","16","55","3.44","0","126","95","949","7.53","10","15.3","259.9"
"8","Indianapolis Colts","TE","17","2025","Indianapolis","Colts","0","0","0","0","0","","6","8","1.33","0","137","102","1186","8.66","6","15.3","259.4"
"9","San Francisco 49ers","TE","17","2025","San Francisco","49ers","0","0","0","0","0","","2","2","1.00","0","141","99","968","6.87","10","14.9","254.0"
"10","Jacksonville Jaguars","TE","17","2025","Jacksonville","Jaguars","0","0","0","0","0","","2","8","4.00","0","146","104","1004","6.88","8","14.8","252.2"
"11","Seattle Seahawks","TE","17","2025","Seattle","Seahawks","0","0","0","0","0","","1","1","1.00","0","142","105","1080","7.61","6","14.8","251.1"
"12","Tennessee Titans","TE","17","2025","Tennessee","Titans","0","0","0","0","0","","3","0","","0","115","92","947","8.23","9","14.2","240.7"
"13","New England Patriots","TE","17","2025","New England","Patriots","0","0","0","0","0","","3","6","2.00","1","131","97","971","7.41","6","13.9","235.7"
"14","Detroit Lions","TE","17","2025","Detroit","Lions","0","0","0","0","0","","4","32","8.00","0","128","88","932","7.28","8","13.8","234.4"
"15","Carolina Panthers","TE","17","2025","Carolina","Panthers","1","1","0","0","0","39.6","9","22","2.44","0","111","87","1019","9.18","7","13.7","233.1"
"16","Denver Broncos","TE","17","2025","Denver","Broncos","0","0","0","0","0","","2","-4","-2.00","0","139","95","1015","7.30","6","13.7","232.1"
"17","Los Angeles Rams","TE","17","2025","Los Angeles","Rams","1","1","0","0","0","39.6","12","37","3.08","1","121","92","775","6.40","7","13.1","223.2"
"18","Chicago Bears","TE","17","2025","Chicago","Bears","0","0","0","0","0","","6","5","0.83","0","124","98","876","7.06","6","13.1","222.1"
"19","Cleveland Browns","TE","17","2025","Cleveland","Browns","0","0","0","0","0","","8","80","10.00","1","116","86","887","7.65","5","12.8","217.7"
"20","New Orleans Saints","TE","17","2025","New Orleans","Saints","0","0","0","0","0","","1","2","2.00","0","120","89","869","7.24","6","12.5","212.1"
"21","Houston Texans","TE","17","2025","Houston","Texans","0","0","0","0","0","","2","2","1.00","0","118","87","775","6.57","8","12.4","210.7"
"22","Dallas Cowboys","TE","17","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","114","90","879","7.71","5","12.3","209.9"
"23","Green Bay Packers","TE","17","2025","Green Bay","Packers","0","0","0","0","0","","1","0","","0","124","94","759","6.12","6","12.1","205.9"
"24","Baltimore Ravens","TE","17","2025","Baltimore","Ravens","0","0","0","0","0","","7","9","1.29","1","111","83","794","7.15","4","11.4","193.3"
"25","New York Giants","TE","17","2025","New York","Giants","1","1","1","19","0","118.8","7","-4","-0.57","0","109","82","807","7.40","5","11.4","193.1"
"26","Kansas City Chiefs","TE","17","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","99","82","809","8.17","4","11.0","187.1"
"27","Minnesota Vikings","TE","17","2025","Minnesota","Vikings","0","0","0","0","0","","2","4","2.00","0","103","75","719","6.98","6","10.7","182.3"
"28","Los Angeles Chargers","TE","17","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","91","70","717","7.88","6","10.5","177.7"
"29","Atlanta Falcons","TE","17","2025","Atlanta","Falcons","2","2","0","0","0","39.6","10","17","1.70","0","102","72","816","8.00","3","10.3","174.3"
"30","Las Vegas Raiders","TE","17","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","1","4","4.00","0","94","69","656","6.98","6","10.1","171.0"
"31","Philadelphia Eagles","TE","17","2025","Philadelphia","Eagles","0","0","0","0","0","","1","1","1.00","0","100","67","507","5.07","4","8.3","141.8"
"32","Buffalo Bills","TE","17","2025","Buffalo","Bills","0","0","0","0","0","","2","3","1.50","1","72","46","504","7.00","4","7.6","128.7"
