"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Tennessee Titans","WR","17","2","1","1","4","","83.3","7","22","3.142857142857143","","361","247","3199","8.861495844875346","20","40.485882352941175","688.26"
"2","Minnesota Vikings","WR","17","1","1","","","","39.6","13","150","11.538461538461538","1","366","250","3266","8.923497267759563","13","39.62352941176471","673.6"
"3","Detroit Lions","WR","17","","","","","","","21","106","5.0476190476190474","","343","228","3235","9.431486880466473","15","38.358823529411765","652.1"
"4","Carolina Panthers","WR","17","","","","","","","29","174","6","1","341","244","2957","8.671554252199414","15","38.35882352941176","652.0999999999999"
"5","San Francisco 49ers","WR","17","","","","","","","13","81","6.230769230769231","2","324","221","2847","8.787037037037036","16","36.51764705882353","620.8"
"6","Dallas Cowboys","WR","17","1","1","","","","39.6","20","148","7.4","","313","204","2663","8.507987220447284","22","36.358823529411765","618.1"
"7","Buffalo Bills","WR","16","","","","","","","5","28","5.6","","310","202","2573","8.3","18","35.56875","569.1"
"8","Tampa Bay Buccaneers","WR","17","","","","","","","25","135","5.4","3","336","214","2533","7.538690476190476","16","35.10588235294117","596.8"
"9","Kansas City Chiefs","WR","17","1","1","","","","39.6","3","-1","-0.3333333333333333","","323","223","2548","7.8885448916408665","20","35.1","596.7"
"10","Atlanta Falcons","WR","17","","","","","","","20","96","4.8","1","320","212","2631","8.221875","16","34.629411764705885","588.7"
"11","Los Angeles Rams","WR","17","","","","","","","8","57","7.125","","324","231","2729","8.42283950617284","13","34.62352941176471","588.6"
"12","Baltimore Ravens","WR","17","1","","","","","","7","-4","-0.5714285714285714","","342","229","2875","8.40643274853801","12","34.476470588235294","586.1"
"13","New England Patriots","WR","17","1","1","1","11","","112.5","13","92","7.076923076923077","2","333","207","2688","8.072072072072071","15","34.32","583.44"
"14","Miami Dolphins","WR","17","1","1","1","23","","118.8","15","41","2.7333333333333334","1","349","224","2626","7.5243553008595985","11","33.212941176470586","564.62"
"15","Las Vegas Raiders","WR","17","","","","","","","11","52","4.7272727272727275","1","301","207","2659","8.83388704318937","13","33.182352941176475","564.1"
"16","Chicago Bears","WR","17","1","1","1","23","","118.8","27","210","7.777777777777778","2","270","184","2658","9.844444444444445","13","33.101176470588236","562.72"
"17","New York Giants","WR","17","1","1","","","","39.6","18","83","4.611111111111111","","346","214","2589","7.482658959537572","13","32.65882352941177","555.2"
"18","Pittsburgh Steelers","WR","17","1","1","1","2","1","118.8","2","3","1.5","","300","182","2644","8.813333333333333","17","32.63411764705882","554.78"
"19","Washington Commanders","WR","17","","","","","","","11","194","17.636363636363637","1","292","187","2525","8.647260273972602","15","32.34705882352941","549.9"
"20","Jacksonville Jaguars","WR","17","","","","","","","17","68","4","","310","197","2377","7.667741935483871","18","32.205882352941174","547.5"
"21","Green Bay Packers","WR","17","1","","","","","","14","64","4.571428571428571","2","276","187","2488","9.014492753623188","13","31.07058823529412","528.2"
"22","Indianapolis Colts","WR","17","","","","","","","19","87","4.578947368421052","","293","198","2338","7.979522184300341","15","31.029411764705884","527.5"
"23","New Orleans Saints","WR","17","","","","","","","15","48","3.2","2","303","194","2470","8.151815181518153","12","30.92941176470588","525.8"
"24","Cincinnati Bengals","WR","16","1","1","","","","","21","164","7.809523809523809","1","276","169","2388","8.652173913043478","11","30.8875","494.2"
"25","Arizona Cardinals","WR","17","","","","","","","9","76","8.444444444444445","2","310","211","2275","7.338709677419355","11","30.711764705882356","522.1"
"26","Philadelphia Eagles","WR","17","1","1","1","1","1","118.8","17","70","4.117647058823529","","298","183","2205","7.399328859060403","16","30.090588235294117","511.53999999999996"
"27","Los Angeles Chargers","WR","17","1","","","","","","11","72","6.545454545454546","","286","182","2371","8.29020979020979","14","29.78235294117647","506.3"
"28","Cleveland Browns","WR","17","2","","","","","","15","101","6.733333333333333","1","274","169","2258","8.24087591240876","15","29.523529411764706","501.9"
"29","Denver Broncos","WR","17","1","1","","","","","14","58","4.142857142857143","","309","199","2072","6.705501618122978","9","27.294117647058822","464"
"30","Houston Texans","WR","17","","","","","","","23","166","7.217391304347826","1","267","175","2331","8.730337078651685","6","27.158823529411766","461.70000000000005"
"31","Seattle Seahawks","WR","17","","","","","","","18","166","9.222222222222221","1","279","171","1996","7.154121863799283","11","26.835294117647063","456.20000000000005"
"32","New York Jets","WR","17","1","","","","","","20","95","4.75","","281","168","1857","6.608540925266904","10","24.835294117647063","422.20000000000005"
