"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","17","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","188","126","2057","10.94","18","25.9","439.7"
"2","Atlanta Falcons","WR","17","2025","Atlanta","Falcons","0","0","0","0","0","","0","0","","0","203","125","1673","8.24","17","23.2","394.3"
"3","Tennessee Titans","WR","17","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","189","132","1948","10.31","10","22.8","386.8"
"4","Baltimore Ravens","WR","17","2025","Baltimore","Ravens","0","0","0","0","0","","0","0","","0","245","146","1997","8.15","7","22.7","386.7"
"5","Los Angeles Rams","WR","17","2025","Los Angeles","Rams","0","0","0","0","0","","0","0","","0","207","129","1909","9.22","11","22.6","383.9"
"6","Detroit Lions","WR","17","2025","Detroit","Lions","1","1","1","33","1","158.3","0","0","","0","205","121","1782","8.69","13","22.4","381.5"
"7","Green Bay Packers","WR","17","2025","Green Bay","Packers","0","0","0","0","0","","0","0","","0","201","131","1749","8.70","12","22.2","377.9"
"8","Pittsburgh Steelers","WR","17","2025","Pittsburgh","Steelers","0","0","0","0","0","","0","0","","0","219","138","1769","8.08","10","22.1","374.9"
"9","Jacksonville Jaguars","WR","17","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","226","138","1638","7.25","11","21.6","366.8"
"10","Tampa Bay Buccaneers","WR","17","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","210","128","1797","8.56","10","21.5","365.7"
"11","Indianapolis Colts","WR","17","2025","Indianapolis","Colts","0","0","0","0","0","","0","0","","0","212","133","1674","7.90","10","21.1","358.4"
"12","New York Giants","WR","17","2025","New York","Giants","0","0","0","0","0","","0","0","","0","193","121","1615","8.37","11","20.5","348.5"
"13","Las Vegas Raiders","WR","17","2025","Las Vegas","Raiders","0","0","0","0","0","","0","0","","0","192","130","1630","8.49","9","20.4","346.0"
"14","Washington Commanders","WR","17","2025","Washington","Commanders","0","0","0","0","0","","0","0","","0","186","117","1564","8.41","11","20.0","339.4"
"15","New Orleans Saints","WR","17","2025","New Orleans","Saints","0","0","0","0","0","","0","0","","0","174","106","1401","8.05","13","19.0","323.1"
"16","Chicago Bears","WR","17","2025","Chicago","Bears","0","0","0","0","0","","0","0","","0","172","111","1656","9.63","7","18.7","318.6"
"17","Arizona Cardinals","WR","17","2025","Arizona","Cardinals","0","0","0","0","0","","0","0","","0","179","118","1532","8.56","7","18.4","313.2"
"18","Miami Dolphins","WR","17","2025","Miami","Dolphins","0","0","0","0","0","","0","0","","0","167","107","1392","8.34","11","18.4","312.2"
"19","Cleveland Browns","WR","17","2025","Cleveland","Browns","0","0","0","0","0","","0","0","","0","164","100","1333","8.13","13","18.3","311.3"
"20","Philadelphia Eagles","WR","17","2025","Philadelphia","Eagles","0","0","0","0","0","","0","0","","0","203","116","1636","8.06","5","18.2","309.6"
"21","New England Patriots","WR","17","2025","New England","Patriots","0","0","0","0","0","","0","0","","0","177","106","1444","8.16","10","18.2","309.4"
"22","Carolina Panthers","WR","17","2025","Carolina","Panthers","0","0","0","0","0","","0","0","","0","169","104","1332","7.88","10","17.5","297.2"
"23","New York Jets","WR","17","2025","New York","Jets","0","0","0","0","0","","0","0","","0","175","104","1373","7.85","9","17.4","295.3"
"24","Los Angeles Chargers","WR","17","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","188","109","1434","7.63","7","17.3","294.4"
"25","Kansas City Chiefs","WR","17","2025","Kansas City","Chiefs","0","0","0","0","0","","0","0","","0","174","108","1442","8.29","7","17.3","294.2"
"26","San Francisco 49ers","WR","17","2025","San Francisco","49ers","0","0","0","0","0","","0","0","","0","174","116","1461","8.40","5","17.2","292.1"
"27","Denver Broncos","WR","17","2025","Denver","Broncos","0","0","0","0","0","","0","0","","0","206","120","1377","6.68","5","16.9","287.7"
"28","Houston Texans","WR","17","2025","Houston","Texans","0","0","0","0","0","","0","0","","0","172","90","1337","7.77","9","16.3","277.7"
"29","Minnesota Vikings","WR","17","2025","Minnesota","Vikings","0","0","0","0","0","","0","0","","0","132","88","1377","10.43","9","16.3","277.7"
"30","Seattle Seahawks","WR","17","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","193","107","1165","6.04","9","16.3","277.5"
"31","Buffalo Bills","WR","17","2025","Buffalo","Bills","1","1","0","0","0","","0","0","","0","149","97","1271","8.53","8","15.9","271.1"
"32","Cincinnati Bengals","WR","17","2025","Cincinnati","Bengals","1","1","1","2","1","118.8","0","0","","0","162","94","1242","7.67","4","14.5","246.3"
