Rank,Name,G,DB,ATT,CMP,YDS,TD,INT,Rush_ATT,Rush_YDS,Rush_TD,RTE,TM_TGT,REC,Rec_YDS,Rec_TD,Pa2PT,Ru2PT,2PT,FP_per_G,FP,PaFP,RuFP,RecFP
1,"Los Angeles Rams",17,628,598,388,4707,46,8,465,2152,17,2594,568,388,4707,46,0,0,0,62.5,1062.5,362.3,314.2,1132.7
2,"Buffalo Bills",17,585,495,344,3981,29,10,547,2714,30,2492,468,344,3981,29,2,0,2,62.1,1055.6,268.2,446.4,918.1
3,"Dallas Cowboys",17,684,624,419,4735,31,12,465,2136,18,2954,586,419,4735,31,3,0,4,61.2,1041.0,306.4,316.6,1081.5
4,"Detroit Lions",17,626,582,394,4567,35,8,442,2041,21,2618,530,394,4567,35,0,1,1,60.8,1033.8,311.7,328.1,1060.7
5,"New England Patriots",17,613,502,361,4459,31,8,494,2191,22,2671,472,361,4459,31,1,2,3,59.1,1004.5,293.4,351.1,993.9
6,"Indianapolis Colts",17,601,547,360,4085,25,14,442,2007,27,2568,512,360,4085,25,1,1,2,56.9,967.1,247.4,363.7,918.5
7,"Chicago Bears",17,642,574,334,3991,28,7,505,2451,19,2689,512,334,3991,28,1,2,3,56.5,959.7,265.6,361.1,902.1
8,"San Francisco 49ers",17,627,574,398,4318,33,16,481,1817,15,2788,532,398,4318,33,2,0,2,56.3,956.4,288.7,271.7,1029.8
9,"Denver Broncos",17,672,613,388,3931,25,11,456,2018,18,2731,570,388,3931,25,4,0,4,55.6,946.0,253.2,307.8,938.1
10,"Jacksonville Jaguars",17,646,563,344,4026,29,12,489,1956,22,2717,523,344,4026,29,0,1,1,54.9,932.6,263.0,326.6,919.6
11,"Cincinnati Bengals",17,690,640,412,4244,36,17,381,1591,11,3050,595,412,4244,36,2,0,2,54.8,930.9,299.8,223.1,1052.4
12,"Arizona Cardinals",17,746,649,427,4354,29,11,366,1583,9,3319,599,427,4354,29,1,0,1,53.6,910.5,277.2,209.3,1037.4
13,"New York Giants",17,625,526,323,3703,21,10,511,2195,22,2669,479,323,3703,21,2,1,3,52.7,895.6,224.1,351.5,821.3
14,"Seattle Seahawks",17,522,481,325,4063,25,15,507,2096,19,2182,435,325,4063,25,2,1,3,52.3,889.1,246.5,322.6,882.3
15,"Green Bay Packers",17,553,489,328,3845,26,7,492,2037,18,2324,451,328,3845,26,2,0,2,52.3,888.5,252.8,307.7,872.5
16,"Baltimore Ravens",17,504,422,278,3278,23,11,507,2662,23,2138,392,278,3278,23,1,0,1,52.0,884.3,211.1,400.2,741.8
17,"Los Angeles Chargers",17,685,569,367,3953,26,14,466,2067,10,2927,526,367,3953,26,0,1,1,51.6,876.8,246.1,267.7,916.3
18,"Kansas City Chiefs",17,689,584,363,3947,23,12,430,1812,15,2864,531,363,3947,23,2,0,2,51.4,873.1,240.9,269.2,899.7
19,"Pittsburgh Steelers",17,594,550,365,3632,26,9,407,1756,16,2490,510,365,3632,26,1,0,1,51.3,872.9,240.3,271.6,883.2
20,"Tampa Bay Buccaneers",17,639,558,351,3755,26,11,472,1947,13,2684,529,351,3755,26,2,0,2,50.9,865.9,244.2,271.7,885.5
21,"Atlanta Falcons",17,586,545,332,3703,19,8,477,2138,17,2479,502,332,3703,19,1,1,2,50.5,857.9,216.1,313.8,816.3
22,"Philadelphia Eagles",17,575,497,318,3498,26,7,478,1988,17,2465,458,318,3498,26,0,1,1,50.0,849.7,235.9,300.8,821.8
23,"Houston Texans",17,646,582,364,3956,24,9,475,1852,9,2723,542,364,3956,24,1,0,1,49.8,847.4,247.2,239.2,903.6
24,"Washington Commanders",17,570,469,287,3329,19,12,484,2290,20,2391,424,287,3329,19,2,1,3,48.7,828.2,199.2,344.0,737.9
25,"New Orleans Saints",17,676,591,397,4027,19,12,435,1603,9,2936,554,397,4027,19,0,1,1,48.6,826.4,223.1,212.3,908.7
26,"Miami Dolphins",17,532,479,322,3322,23,18,432,2044,14,2128,452,322,3322,23,1,0,2,48.0,815.3,207.9,286.4,792.2
27,"Carolina Panthers",17,584,515,329,3304,24,12,461,1977,9,2580,458,329,3304,24,1,0,1,46.3,787.9,215.2,246.7,803.4
28,"Minnesota Vikings",17,572,484,298,3208,18,21,410,1841,15,2383,449,298,3208,18,2,0,2,43.9,746.4,180.3,272.1,729.8
29,"New York Jets",17,611,494,298,2784,15,13,456,2096,11,2579,450,298,2784,15,4,2,6,43.2,734.0,163.4,274.6,674.4
30,"Tennessee Titans",17,649,570,340,3241,15,8,378,1589,9,2685,512,340,3241,15,0,0,0,42.6,723.5,174.6,210.9,753.1
31,"Cleveland Browns",17,641,558,323,3152,16,18,421,1649,10,2770,499,323,3152,16,0,1,1,42.1,715.0,169.1,225.9,732.2
32,"Las Vegas Raiders",17,601,515,340,3315,20,19,369,1317,5,2560,479,340,3315,20,1,0,1,40.8,693.3,194.6,159.7,793.5
