Overall_Rank,Name,Team,POS,POS_Rank,Games,FP_total,XFP_total,TGT_total,TGT_per_game,aDOT_mean,AYshare_mean,years_in_data,XGB_FP,Comp_FP,Comp_Names,Proj_FP_2026,OC_Stable,Scheme_Adj,Manual_Adj,Total_Adj,Adj_Note,Proj_FP_Adj,Tier
1,Amon-Ra St. Brown,DET,WR,1,17,324.0,315.0,166,9.764705882352942,7.782352941176471,38.8235294117647,5,331.4,,,331.4,0,0.0,0.0,0.0,,331.4,1
2,Bijan Robinson,ATL,RB,1,17,373.8,317.8,98,5.764705882352941,0.2882352941176471,1.4235294117647057,3,330.4,,,330.4,0,-0.0596,0.05,-0.0126,"Kevin Stefanski: YPRR 1.59 vs 1.65, fit=100%, translation=45% | Manual: Tua to ATL — better passing game opens RPO and run lanes (+5%)",326.2,1
2,Jaxon Smith-Njigba,SEA,WR,2,17,360.90000000000003,301.1,157,9.235294117647058,11.370588235294118,50.45294117647059,3,326.2,,,326.2,0,0.0,0.0,0.0,,326.2,1
4,Jahmyr Gibbs,DET,RB,2,17,367.9,286.3,93,5.470588235294118,0.7470588235294118,1.7,3,325.8,,,325.8,0,0.0,0.0,0.0,,325.8,1
6,De'Von Achane,MIA,RB,3,16,322.8,267.3,85,5.3125,-0.15625,0.6,2,357.9,264.0,"Christian McCaffrey (2023): 393FP, Breece Hall (2024): 243FP, Saquon Barkley (2023): 225FP, Joe Mixon (2023): 267FP, Bijan Robinson (2025): 374FP, Alvin Kamara (2023): 233FP, Rachaad White (2024): 203FP, Travis Etienne (2024): 131FP",325.0,0,-0.085,0.0,-0.085,"Bobby Slowik: YPRR 1.31 vs 1.72, fit=90%, translation=38% | Manual: nan (+0%)",297.4,2
5,Puka Nacua,LA,WR,3,16,376.0,289.5,163,10.1875,9.1875,31.48125,3,314.3,,,314.3,0,0.0,0.0,0.0,,314.3,1
7,Chase Brown,CIN,RB,4,17,282.6,283.3,87,5.117647058823529,0.2647058823529412,0.40588235294117647,3,291.1,,,291.1,1,0.0,0.0,0.0,,291.1,2
8,Derrick Henry,BLT,RB,5,17,282.5,233.2,19,1.1176470588235294,0.7647058823529411,0.40588235294117647,5,279.3,,,279.3,0,0.0,0.0,0.0,,279.3,2
9,James Cook,BUF,RB,6,16,303.7,251.4,40,2.5,0.28125,0.35,4,272.1,,,272.1,0,0.0,0.0,0.0,,272.1,2
10,Jonathan Taylor,IND,RB,7,17,363.3,303.9,54,3.176470588235294,-0.6588235294117647,-0.9176470588235294,5,269.4,,,269.4,1,0.0,0.0,0.0,,269.4,2
