"NAME","ID","POS","Team","ADP","OVERALL","POSITION"
"Jahmyr Gibbs","1214154","RB","DET","1.1","1","RB1"
"Bijan Robinson","1228244","RB","ATL","2.1","2","RB2"
"Ja'Marr Chase","1109979","WR","CIN","3.0","3","WR1"
"Puka Nacua","1162128","WR","LA","4.3","4","WR2"
"Jaxon Smith-Njigba","1214087","WR","SEA","5.4","5","WR3"
"Christian McCaffrey","830517","RB","SF","6.7","6","RB3"
"Jonathan Taylor","1065406","RB","IND","7.8","7","RB4"
"Amon-Ra St. Brown","1127106","WR","DET","7.0","8","WR4"
"James Cook","1131012","RB","BUF","9.0","9","RB5"
"Justin Jefferson","1069535","WR","MIN","10.5","10","WR5"
"CeeDee Lamb","1062020","WR","DAL","11.2","11","WR6"
"Saquon Barkley","883302","RB","PHI","13.7","12","RB6"
"Ashton Jeanty","1379646","RB","LV","12.8","13","RB7"
"De'Von Achane","1231820","RB","MIA","15.8","14","RB8"
"Kenneth Walker III","1164402","RB","KC","14.0","15","RB9"
"Chase Brown","1123379","RB","CIN","14.6","16","RB10"
"A.J. Brown","944826","WR","NE","18.4","17","WR7"
"Derrick Henry","732145","RB","BLT","19.0","18","RB11"
"Drake London","1178741","WR","ATL","21.7","19","WR8"
"Omarion Hampton","1398572","RB","LAC","17.8","20","RB12"
"Brock Bowers","1285917","TE","LV","19.5","21","TE1"
"Malik Nabers","1286059","WR","NYG","22.7","22","WR9"
"Nico Collins","1074698","WR","HST","25.9","23","WR10"
"George Pickens","1172053","WR","DAL","23.5","24","WR11"
"Rashee Rice","1173538","WR","KC","25.1","25","WR12"
"Chris Olave","1122592","WR","NO","26.7","26","WR13"
"DeVonta Smith","1060262","WR","PHI","29.8","27","WR14"
"Josh Allen","868199","QB","BUF","28.5","28","QB1"
"Trey McBride","1108161","TE","ARZ","26.8","29","TE2"
"Kyren Williams","1167361","RB","LA","29.1","30","RB13"
"Javonte Williams","1107881","RB","DAL","34.1","31","RB14"
"Zay Flowers","1177053","WR","BLT","32.0","32","WR15"
"Breece Hall","1162537","RB","NYJ","37.5","33","RB15"
"Tee Higgins","978579","WR","CIN","36.2","34","WR16"
"Jeremiyah Love","1451501","RB","ARZ","31.3","35","RB16"
"Ladd McConkey","1218643","WR","LAC","33.2","36","WR17"
"Garrett Wilson","1164889","WR","NYJ","38.6","37","WR18"
"Emeka Egbuka","1287825","WR","TB","34.7","38","WR19"
"Jaylen Waddle","1125749","WR","DEN","39.5","39","WR20"
"Josh Jacobs","944416","RB","GB","45.9","40","RB17"
"David Montgomery","946739","RB","HST","46.7","41","RB18"
"Tetairoa McMillan","1380576","WR","CAR","42.5","42","WR21"
"DJ Moore","877790","WR","BUF","42.7","43","WR22"
"Davante Adams","611417","WR","LA","49.9","44","WR23"
"Travis Etienne","978577","RB","NO","44.0","45","RB19"
"Colston Loveland","1378821","TE","CHI","39.9","46","TE3"
"Bhayshul Tuten","1327169","RB","JAX","50.8","47","RB20"
"Jameson Williams","1175184","WR","DET","53.1","48","WR24"
"Terry McLaurin","836116","WR","WAS","52.1","49","WR25"
"Cam Skattebo","1280316","RB","NYG","41.5","50","RB21"
"Mike Evans","593587","WR","SF","55.2","51","WR26"
"Quinshon Judkins","1383807","RB","CLV","53.7","52","RB22"
"D'Andre Swift","1069808","RB","CHI","46.6","53","RB23"
"Luther Burden III","1377732","WR","CHI","48.9","54","WR27"
"Lamar Jackson","877745","QB","BLT","56.3","55","QB2"
"Parker Washington","1229074","WR","JAX","52.0","56","WR28"
"Christian Watson","1067918","WR","GB","56.9","57","WR29"
"Rome Odunze","1213727","WR","CHI","58.1","58","WR30"
"Bucky Irving","1287923","RB","TB","57.0","59","RB24"
"Tyler Warren","1229083","TE","IND","58.4","60","TE4"
"Drake Maye","1286803","QB","NE","67.6","61","QB3"
"Carnell Tate","1441839","WR","TEN","64.9","62","WR31"
"Joe Burrow","878785","QB","CIN","62.4","63","QB4"
"Brian Thomas Jr.","1286064","WR","JAX","66.4","64","WR32"
"TreVeyon Henderson","1287837","RB","NE","61.7","65","RB25"
"Jayden Daniels","1161228","QB","WAS","73.8","66","QB5"
"Rhamondre Stevenson","1174682","RB","NE","68.6","67","RB26"
